Talk_2021.8.24 13:11-88.txt
저장한 날짜 : 2021. 8. 24. 13:14



2021년 8월 9일 월요일
2021. 8. 9. 08:27, 원준오빠 : 나도모르게 든든댄스 든든대앤 든든댄
2021. 8. 14. 16:36, 정우 : 간다간다
2021. 8. 14. 16:36, abyss오재 : 이러는거개꿀딲이네
2021. 8. 14. 16:36, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 16:36, abyss오재 : 내일은 일좀해야겠따
2021. 8. 14. 16:36, abyss오재 : 월욜날 놀려면
2021. 8. 14. 16:36, abyss오재 : 하
2021. 8. 14. 16:36, 정우 : 하
2021. 8. 14. 16:36, 정우 : 아니
2021. 8. 14. 16:36, 정우 : 내일일을왜함
2021. 8. 14. 16:36, 정우 : 화요일에하셈
2021. 8. 14. 16:37, abyss오재 : 화욜까지
2021. 8. 14. 16:37, abyss오재 : 내야해서...
2021. 8. 14. 16:37, 정우 : 화요일에해서내
2021. 8. 14. 16:37, abyss오재 : ㅎ;;개쌓임
2021. 8. 14. 16:37, abyss오재 : 그렇게할수없는양인덧;
2021. 8. 14. 16:37, 정우 : ㅠ
2021. 8. 14. 16:37, 정우 : 기상청이랑 쟤랑
2021. 8. 14. 16:37, 정우 : 같이신고ㄱ
2021. 8. 14. 16:37, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 16:37, abyss오재 : 하,,
2021. 8. 14. 16:37, abyss오재 : ㅇㅋ
2021. 8. 14. 16:38, 정우 : 지금
2021. 8. 14. 16:38, 정우 : 하고있음?
2021. 8. 14. 16:38, abyss오재 : ㅇㅇ
2021. 8. 14. 16:38, 정우 : 몇라임
2021. 8. 14. 16:39, abyss오재 : 6-2
2021. 8. 14. 16:39, 정우 : 아
2021. 8. 14. 16:39, 정우 : 그럼좀기다림
2021. 8. 14. 16:49, abyss오재 : 터놀
2021. 8. 14. 16:49, abyss오재 : 아종우
2021. 8. 14. 16:49, abyss오재 : 이정우
2021. 8. 14. 16:49, abyss오재 : 등장해봐
2021. 8. 14. 16:49, 정우 : ㅇㅇ
2021. 8. 14. 16:49, abyss오재 : 원준이형
2021. 8. 14. 16:49, abyss오재 : 커피사온대
2021. 8. 14. 16:54, abyss오재 : 사진
2021. 8. 14. 16:54, abyss오재 : 신고바로 박음
2021. 8. 14. 16:56, 정우 : 굿
2021. 8. 14. 16:58, abyss오재 : 이정우
2021. 8. 14. 16:58, abyss오재 : 말안들리지
2021. 8. 14. 17:02, 정우 : ㅇㅇ
2021. 8. 14. 17:03, abyss오재 : 이정우
2021. 8. 14. 17:03, abyss오재 : 욕하는중인데
2021. 8. 14. 17:03, abyss오재 : 다행;
2021. 8. 14. 17:03, abyss오재 : 허허;;
2021. 8. 14. 17:03, 정우 : 왜ㅡㅡ
2021. 8. 14. 17:03, abyss오재 : ㅈㅅㅈㅅ;
2021. 8. 14. 17:12, 경민 : ㅎㅇㅎㅇ
2021. 8. 14. 17:14, 정우 : ㅎ7등
2021. 8. 14. 17:14, 정우 : 요즘 개못하네ㄹㅇ
2021. 8. 14. 17:14, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:14, 경민 : 나도
2021. 8. 14. 17:14, 경민 : 패치하고나서
2021. 8. 14. 17:14, 경민 : 계속꼴박해서
2021. 8. 14. 17:14, 경민 : 개빡쳐서끔
2021. 8. 14. 17:15, abyss오재 : 하,,너무몰아놨따
2021. 8. 14. 17:15, abyss오재 : 5등만족
2021. 8. 14. 17:15, 정우 : ㅠ난 안만족
2021. 8. 14. 17:16, 정우 : 아니요즘 의문인거
2021. 8. 14. 17:16, 정우 : 남들 아무도안하는거 나혼자 하고있는데
2021. 8. 14. 17:16, 정우 : 그거마저 잘안나오면
2021. 8. 14. 17:16, 정우 : 하지말라는건가.....??
2021. 8. 14. 17:16, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:16, abyss오재 : 걍안나오는거지뭐
2021. 8. 14. 17:16, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:16, 정우 : 너무안나옴ㅠ
2021. 8. 14. 17:16, abyss오재 : 근데
2021. 8. 14. 17:16, abyss오재 : ㄴㅣ뭐했는데
2021. 8. 14. 17:16, abyss오재 : 악동아니었음?
2021. 8. 14. 17:16, abyss오재 : 나7악동이었는뎁
2021. 8. 14. 17:16, 정우 : 악동너무많아서
2021. 8. 14. 17:16, abyss오재 : 아
2021. 8. 14. 17:16, 정우 : 기병대로 갈아탐
2021. 8. 14. 17:16, 정우 : 포병대랑
2021. 8. 14. 17:16, abyss오재 : 기병대아까누구있었던거같은데
2021. 8. 14. 17:16, 정우 : 나
2021. 8. 14. 17:16, abyss오재 : 너였꾼
2021. 8. 14. 17:16, abyss오재 : 피 1이랑 1남음
2021. 8. 14. 17:16, abyss오재 : ㄹㅇ 마지막
2021. 8. 14. 17:17, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:17, 정우 : 과연
2021. 8. 14. 17:17, 정우 : 두구두구두구두구
2021. 8. 14. 17:17, abyss오재 : ㄷㄱㄷㄱㄷㄱㄷㄱ
2021. 8. 14. 17:17, abyss오재 : ㅇ=죳내ㅔ
2021. 8. 14. 17:17, 정우 : ㄲㅂ
2021. 8. 14. 17:17, abyss오재 : ㅇㅈㅇ
2021. 8. 14. 17:17, abyss오재 : ㅊㅂㅊㅂ
2021. 8. 14. 17:18, 정우 : ?
2021. 8. 14. 17:18, abyss오재 : 충분충분
2021. 8. 14. 17:18, abyss오재 : 이란뜻
2021. 8. 14. 17:18, 정우 : ??
2021. 8. 14. 17:18, abyss오재 : ㄲ
2021. 8. 14. 17:18, abyss오재 : 시작안하노
2021. 8. 14. 17:18, 정우 : 기다리셈
2021. 8. 14. 17:18, abyss오재 : ㅇㅋㅇㅋ
2021. 8. 14. 17:18, 정우 : ㅅㅂ똥컴
2021. 8. 14. 17:18, 원준오빠 : ㅇㅋㅇㅋ
2021. 8. 14. 17:18, 원준오빠 : 똥컴ㄹㅅㅍ함
2021. 8. 14. 17:18, 정우 : 아니이거뭔데
2021. 8. 14. 17:18, 원준오빠 : 저냑 초밥땡기네
2021. 8. 14. 17:18, abyss오재 : 뭐가
2021. 8. 14. 17:18, abyss오재 : 초밥;
2021. 8. 14. 17:18, abyss오재 : ㅁㅊ
2021. 8. 14. 17:18, abyss오재 : 충분충분?
2021. 8. 14. 17:18, abyss오재 : 왜
2021. 8. 14. 17:18, abyss오재 : 뭐가
2021. 8. 14. 17:18, 원준오빠 : ㅊㅂㅊㅂ
2021. 8. 14. 17:18, 정우 : 갑자기왜
2021. 8. 14. 17:18, abyss오재 : 원준이형 2등
2021. 8. 14. 17:18, 정우 : 충분?
2021. 8. 14. 17:18, abyss오재 : 한거
2021. 8. 14. 17:18, abyss오재 : 충분충분
2021. 8. 14. 17:19, 정우 : 난왜부름?
2021. 8. 14. 17:19, 원준오빠 : 저거 표정님
2021. 8. 14. 17:19, 원준오빠 : 표정임
2021. 8. 14. 17:19, abyss오재 : 몰라?
2021. 8. 14. 17:19, abyss오재 : ㅇㅇ
2021. 8. 14. 17:19, 원준오빠 : ㅇㅅㅇ
2021. 8. 14. 17:19, 정우 : ㅡㅡ
2021. 8. 14. 17:19, abyss오재 : ㅇㅈㅇㅈ
2021. 8. 14. 17:19, 원준오빠 : 이성우씨
2021. 8. 14. 17:19, abyss오재 : 이라고치다가
2021. 8. 14. 17:19, abyss오재 : ㅈ하나마지막에못친거같은데
2021. 8. 14. 17:19, 원준오빠 : 이선의
2021. 8. 14. 17:19, 정우 : 헷갈리게
2021. 8. 14. 17:19, 정우 : 하지마셈
2021. 8. 14. 17:19, abyss오재 : 원준이형이싸운드로 충분충분해서
2021. 8. 14. 17:19, abyss오재 : ㅇㅈㅇㅈ
2021. 8. 14. 17:19, abyss오재 : 한다음에
2021. 8. 14. 17:19, 원준오빠 : 이선우
2021. 8. 14. 17:19, abyss오재 : ㅊㅂㅊㅂ
2021. 8. 14. 17:19, abyss오재 : 라고한건데
2021. 8. 14. 17:19, abyss오재 : 하나못침
2021. 8. 14. 17:19, 원준오빠 : 이세아
2021. 8. 14. 17:19, abyss오재 : 이수아
2021. 8. 14. 17:19, abyss오재 : 이송이
2021. 8. 14. 17:19, 정우 : 아씨발 왜결과창안나와
2021. 8. 14. 17:19, 원준오빠 : 이솔이
2021. 8. 14. 17:19, abyss오재 : 이승아
2021. 8. 14. 17:19, abyss오재 : 이송아
2021. 8. 14. 17:19, abyss오재 : 오승아
2021. 8. 14. 17:20, 원준오빠 : 옹ㄹ
2021. 8. 14. 17:20, abyss오재 : 이성아
2021. 8. 14. 17:20, 원준오빠 : 샵검색 : #오승아
2021. 8. 14. 17:20, abyss오재 : 옹성우
2021. 8. 14. 17:20, abyss오재 : 어떰
2021. 8. 14. 17:20, abyss오재 : ㅇㅅㅇ
2021. 8. 14. 17:20, abyss오재 : 응송아
2021. 8. 14. 17:20, abyss오재 : 우슬이
2021. 8. 14. 17:20, abyss오재 : 이슬이
2021. 8. 14. 17:20, 원준오빠 : 올
2021. 8. 14. 17:20, abyss오재 : 자퀴왕
2021. 8. 14. 17:20, 정우 : ㅅㅂ껐다킨다
2021. 8. 14. 17:20, 정우 : 심하네
2021. 8. 14. 17:20, abyss오재 : ㅇㅋㅇㅋ
2021. 8. 14. 17:22, 정우 : ㅊㄷㅈ
2021. 8. 14. 17:23, abyss오재 : ㄲㄱ
2021. 8. 14. 17:23, 정우 : 점수
2021. 8. 14. 17:23, 정우 : 2천대가겠누
2021. 8. 14. 17:23, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:23, 정우 : 와 휴가시작할때만해도
2021. 8. 14. 17:23, 정우 : 3300대였던거같은데
2021. 8. 14. 17:23, abyss오재 : 기ㅐ꿀
2021. 8. 14. 17:23, 정우 : 주식이랑 내점수랑
2021. 8. 14. 17:23, 정우 : 비슷하네
2021. 8. 14. 17:23, 정우 : 휴가동안10프로빠지는거
2021. 8. 14. 17:23, abyss오재 : 좋네
2021. 8. 14. 17:24, 정우 : 개꿀
2021. 8. 14. 17:25, abyss오재 : 재생술사간다
2021. 8. 14. 17:26, 정우 : 재생간다며ㅡㅡ
2021. 8. 14. 17:26, abyss오재 : 재생인데
2021. 8. 14. 17:26, abyss오재 : 블라디미르
2021. 8. 14. 17:27, abyss오재 : ;;
2021. 8. 14. 17:27, abyss오재 : 별2개가 안나오는데아직
2021. 8. 14. 17:27, abyss오재 : ㅠ;;
2021. 8. 14. 17:27, abyss오재 : 재생 + 군단감
2021. 8. 14. 17:27, abyss오재 : 정정함
2021. 8. 14. 17:27, 정우 : 재생
2021. 8. 14. 17:27, 정우 : 내가간아
2021. 8. 14. 17:27, 정우 : 내가간다
2021. 8. 14. 17:27, 정우 : 어떰
2021. 8. 14. 17:27, abyss오재 : 뜨자
2021. 8. 14. 17:27, abyss오재 : 오셈
2021. 8. 14. 17:27, 정우 : 방금졌잖아
2021. 8. 14. 17:27, 정우 : ㅅㅂ
2021. 8. 14. 17:27, abyss오재 : 다음만날떄까지
2021. 8. 14. 17:27, abyss오재 : 커서와라
2021. 8. 14. 17:27, 정우 : ㅇㅋ
2021. 8. 14. 17:27, abyss오재 : 아직일라운드일뿐
2021. 8. 14. 17:42, 정우 : 하.............
2021. 8. 14. 17:42, abyss오재 : 나조합
2021. 8. 14. 17:42, abyss오재 : 개많아;
2021. 8. 14. 17:42, 정우 : ㄹㅇ
2021. 8. 14. 17:42, 정우 : 하 리븐 하나만..........
2021. 8. 14. 17:42, 정우 : ㅠ
2021. 8. 14. 17:42, 정우 : 쩝
2021. 8. 14. 17:42, 정우 : 제가허접인걸
2021. 8. 14. 17:43, 정우 : 누굴탓하겠습니까
2021. 8. 14. 17:43, 정우 : 아이거 2천대로 내려갔겠네
2021. 8. 14. 17:43, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:43, abyss오재 : 사진
2021. 8. 14. 17:44, abyss오재 : 아싸2등
2021. 8. 14. 17:45, 정우 : ㅊㅋㅊㅋ
2021. 8. 14. 17:45, 정우 : 둘다잘하네
2021. 8. 14. 17:45, abyss오재 : ㄱㅅㄱㅅ
2021. 8. 14. 17:45, abyss오재 : ㄲㄲㄲㄲ
2021. 8. 14. 17:45, 정우 : 오
2021. 8. 14. 17:45, 정우 : 3006
2021. 8. 14. 17:45, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:45, abyss오재 : ㅌㅋㅌㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:45, abyss오재 : 올라가보자고
2021. 8. 14. 17:45, 정우 : 내려갈거같은데
2021. 8. 14. 17:45, 정우 : ㅠ
2021. 8. 14. 17:45, abyss오재 : 바로잡히네
2021. 8. 14. 17:45, 정우 : ?
2021. 8. 14. 17:45, 정우 : 나왜
2021. 8. 14. 17:45, 정우 : 꺼짐
2021. 8. 14. 17:45, abyss오재 : ?
2021. 8. 14. 17:45, 원준오빠 : ㅇㅋ기다림
2021. 8. 14. 17:45, abyss오재 : 니
2021. 8. 14. 17:45, 정우 : ???????????????????????
2021. 8. 14. 17:45, abyss오재 : 점점점으로뜬다
2021. 8. 14. 17:45, abyss오재 : 갑자기
2021. 8. 14. 17:45, abyss오재 : 시작안됨
2021. 8. 14. 17:45, abyss오재 : 오셈
2021. 8. 14. 17:45, 정우 : 이씨발
2021. 8. 14. 17:45, 원준오빠 : 아니 컴이 꺼짐?
2021. 8. 14. 17:45, 정우 : 똥컴
2021. 8. 14. 17:45, 정우 : 아니
2021. 8. 14. 17:45, 정우 : 롤체가 꺼짐
2021. 8. 14. 17:45, 원준오빠 : ㅇㅎ
2021. 8. 14. 17:45, 정우 : ㅠ
2021. 8. 14. 17:45, abyss오재 : ㅠ
2021. 8. 14. 17:45, abyss오재 : 컴
2021. 8. 14. 17:45, 원준오빠 : ㄱㅊㄱㅊ
2021. 8. 14. 17:45, abyss오재 : 강퇴시켜놓음
2021. 8. 14. 17:45, 원준오빠 : 컴컴
2021. 8. 14. 17:45, abyss오재 : 귀신강퇴
2021. 8. 14. 17:46, 원준오빠 : 구신;
2021. 8. 14. 17:46, 정우 : 이번판도 4등안에못들면
2021. 8. 14. 17:46, 정우 : 내가알아서 나감
2021. 8. 14. 17:46, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:46, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:46, abyss오재 : 그냥하셈;;
2021. 8. 14. 17:46, abyss오재 : 즐겜러
2021. 8. 14. 17:46, abyss오재 : 안됨?
2021. 8. 14. 17:46, 원준오빠 : ㅎ마자
2021. 8. 14. 17:46, abyss오재 : 안되면
2021. 8. 14. 17:46, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:46, abyss오재 : 나가쉠
2021. 8. 14. 17:46, 정우 : 아니 그냥하는데
2021. 8. 14. 17:46, 정우 : 그래도
2021. 8. 14. 17:46, abyss오재 : 자기를다스리러
2021. 8. 14. 17:46, 정우 : 흐름
2021. 8. 14. 17:46, 정우 : 끊어줘야함
2021. 8. 14. 17:46, abyss오재 : 떠나는거지뭐
2021. 8. 14. 17:46, abyss오재 : ㅇㅋㅇㅋ
2021. 8. 14. 17:46, 정우 : 그 즐겜인데
2021. 8. 14. 17:46, 정우 : 마지노선이란 말이지
2021. 8. 14. 17:46, 정우 : 3000이
2021. 8. 14. 17:46, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:47, abyss오재 : ㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:47, 정우 : 불러불러
2021. 8. 14. 17:48, abyss오재 : 아 간만에
2021. 8. 14. 17:48, abyss오재 : 예능 다조질수있느 주말이네?
2021. 8. 14. 17:48, abyss오재 : 올림픽끝나서
2021. 8. 14. 17:48, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:48, abyss오재 : 간만에
2021. 8. 14. 17:48, abyss오재 : 본시간에 예능을 조져야하나
2021. 8. 14. 17:48, abyss오재 : 아
2021. 8. 14. 17:48, abyss오재 : 누워서조져야지침댕세ㅓ
2021. 8. 14. 17:49, 정우 : 우쒸
2021. 8. 14. 17:49, 정우 : 나만못먹음
2021. 8. 14. 17:49, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:49, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:49, 정우 : 시작이
2021. 8. 14. 17:49, abyss오재 : 이판끝나고
2021. 8. 14. 17:49, 정우 : 영불안하다
2021. 8. 14. 17:49, abyss오재 : 전설이바꾸라고말좀
2021. 8. 14. 17:49, abyss오재 : ㅠ
2021. 8. 14. 17:49, 정우 : 하 컴터
2021. 8. 14. 17:49, 정우 : 클릭도 잘안돼
2021. 8. 14. 17:49, 정우 : 진짜
2021. 8. 14. 17:49, 정우 : 킹받게하네
2021. 8. 14. 17:49, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:50, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:50, abyss오재 : 아이패드 ㄱ
2021. 8. 14. 17:51, 정우 : ㄹㅇ그래야겠음
2021. 8. 14. 17:53, abyss오재 : 내꺼지렸음
2021. 8. 14. 17:53, abyss오재 : 근데발렸네;
2021. 8. 14. 17:53, 정우 : 꽉잡아~~~~~~~~~~~
2021. 8. 14. 17:53, 정우 : 내려간다~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
2021. 8. 14. 17:54, abyss오재 : 와 지금 내조합
2021. 8. 14. 17:54, abyss오재 : 개깔끔함
2021. 8. 14. 17:54, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 17:54, 정우 : ㅇㅈ
2021. 8. 14. 17:54, abyss오재 : 마평온다
2021. 8. 14. 17:54, 정우 : 오우
2021. 8. 14. 17:54, 정우 : 전패각
2021. 8. 14. 17:54, 정우 : 나오는데?
2021. 8. 14. 17:56, 정우 : 오예 한판이김
2021. 8. 14. 17:57, abyss오재 : 사진
2021. 8. 14. 18:02, 정우 : ㅎ
2021. 8. 14. 18:02, 정우 : 꼴찌네
2021. 8. 14. 18:02, abyss오재 : ㅠ;;
2021. 8. 14. 18:02, 정우 : 티비나볼래 난........
2021. 8. 14. 18:02, 정우 : ㅂㅇㅂㅇ
2021. 8. 14. 18:02, abyss오재 : ㅂㅇㅂㅇ
2021. 8. 14. 18:03, 정우 : 어렵다어려워
2021. 8. 14. 18:03, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 18:07, abyss오재 : 케
2021. 8. 14. 18:07, abyss오재 : ㅅ일등
2021. 8. 14. 18:07, abyss오재 : 막판갈기고 ㅇㅖ능조진다
2021. 8. 14. 18:11, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 18:11, 정우 : ㅊㅋㅊㅋ
2021. 8. 14. 18:11, abyss오재 : ㄱㅅㄱㅅ
2021. 8. 14. 18:12, 정우 : 아
2021. 8. 14. 18:12, 정우 : 왜케 계속지는데 짜증나는지
2021. 8. 14. 18:12, 정우 : 알았음
2021. 8. 14. 18:12, abyss오재 : ㄱ
2021. 8. 14. 18:13, 정우 : 최근10판중 4등내에 들너간거
2021. 8. 14. 18:13, 정우 : 3등한번
2021. 8. 14. 18:13, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 18:13, 정우 : 이러면;;;;;;;;재미없지ㅅㅂ
2021. 8. 14. 18:13, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 18:13, 정우 : 이모티콘 
2021. 8. 14. 18:13, 정우 : 이모티콘 
2021. 8. 14. 18:14, 경민 : 이정우가
2021. 8. 14. 18:15, 경민 : 오재훈보다
2021. 8. 14. 18:15, 경민 : 못함
2021. 8. 14. 18:15, 경민 : ?
2021. 8. 14. 18:15, abyss오재 : 내가이번판은
2021. 8. 14. 18:15, abyss오재 : 꼴찌찍고나올듯
2021. 8. 14. 18:15, abyss오재 : ㅎ;
2021. 8. 14. 18:16, abyss오재 : ㅅㅂ
2021. 8. 14. 18:16, abyss오재 : ㅠ
2021. 8. 14. 18:16, 정우 : ㅇㅇ
2021. 8. 14. 18:23, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하
2021. 8. 14. 18:23, abyss오재 : 7등
2021. 8. 14. 18:23, abyss오재 : 기분좋게끌껄
2021. 8. 14. 18:23, abyss오재 : 하
2021. 8. 14. 18:25, abyss오재 : 오늘
2021. 8. 14. 18:25, abyss오재 : 놀뭐
2021. 8. 14. 18:25, abyss오재 : 모함
2021. 8. 14. 18:25, abyss오재 : ?
2021. 8. 14. 18:25, abyss오재 : 아시는분
2021. 8. 14. 18:25, 정우 : 모름
2021. 8. 14. 18:25, abyss오재 : 너무4주만이네
2021. 8. 14. 18:25, abyss오재 : 흠
2021. 8. 14. 18:26, 정우 : 근데
2021. 8. 14. 18:26, 정우 : 지난주에 안했음?
2021. 8. 14. 18:26, abyss오재 : 아?유재석
2021. 8. 14. 18:26, abyss오재 : 그거걸려서안하나보다
2021. 8. 14. 18:26, abyss오재 : ㅇㅇ
2021. 8. 14. 18:26, abyss오재 : 지난주까지 올림픽기간
2021. 8. 14. 18:26, 정우 : ㅇㅎ
2021. 8. 14. 18:26, 정우 : 근데 지난주에
2021. 8. 14. 18:26, 정우 : 올림픽 폐회식말고 뭐안했던거같은데
2021. 8. 14. 18:26, 정우 : 아
2021. 8. 14. 18:27, 정우 : 놀토는 티비엔이라 그런건가
2021. 8. 14. 18:27, abyss오재 : 엥오늘안하나
2021. 8. 14. 18:27, 정우 : 헷갈리네
2021. 8. 14. 18:27, abyss오재 : ㅇㅇ티비엔은 맨날함
2021. 8. 14. 18:27, abyss오재 : 하는지안하는지
2021. 8. 14. 18:27, abyss오재 : 티비틀어보면되겠지뭐
2021. 8. 14. 18:27, abyss오재 : 틀어봐야지
2021. 8. 14. 18:27, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 18:28, 정우 : 근데결국
2021. 8. 14. 18:28, 정우 : 오늘뭐 나간다만난다하더니
2021. 8. 14. 18:28, 정우 : 집에만있네
2021. 8. 14. 18:28, abyss오재 : 그러게
2021. 8. 14. 18:28, abyss오재 : 나혼산 스페셜하네
2021. 8. 14. 18:28, abyss오재 : 쒸익,,
2021. 8. 14. 18:28, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 18:28, 정우 : 하 나도
2021. 8. 14. 18:28, 정우 : 휴가 이렇개 보내는게
2021. 8. 14. 18:28, 정우 : 맞나?
2021. 8. 14. 18:28, abyss오재 : ㅇㅇ
2021. 8. 14. 18:28, 정우 : ㅇㅋ
2021. 8. 14. 18:28, abyss오재 : 그게맞을걸
2021. 8. 14. 18:28, 정우 : 그럼이렇게 걍보냄
2021. 8. 14. 18:28, abyss오재 : ㅇㅋㅇㅋ
2021. 8. 14. 18:29, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 18:29, 정우 : 내일 스타필드나 한번가봄
2021. 8. 14. 18:29, abyss오재 : 좋네
2021. 8. 14. 18:29, abyss오재 : 와나딲3천점이다;
2021. 8. 14. 18:30, 정우 : 머리도자를까
2021. 8. 14. 18:30, 정우 : 오
2021. 8. 14. 18:30, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 18:30, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 18:30, abyss오재 : 아피곤해죽겟네
2021. 8. 14. 18:30, abyss오재 : 하품쏟아지는중
2021. 8. 14. 18:30, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 18:30, 정우 : 나는낮에
2021. 8. 14. 18:30, 정우 : ㄹㅇ개잤기때문에
2021. 8. 14. 18:30, 정우 : 이제ㄱㅊ
2021. 8. 14. 18:30, abyss오재 : 아오늘겜좀
2021. 8. 14. 18:30, abyss오재 : 많이한듯
2021. 8. 14. 18:31, abyss오재 : 아커피머셔서
2021. 8. 14. 18:31, abyss오재 : 뒷골땡기네 ㄹㅇ
2021. 8. 14. 18:34, abyss오재 : 백심신청하신분들
2021. 8. 14. 18:34, abyss오재 : 어케하는지좀링크좀 ㅠ
2021. 8. 14. 18:34, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 18:34, 정우 : 오
2021. 8. 14. 18:34, 정우 : 니오늘 신청이냐
2021. 8. 14. 18:34, abyss오재 : ㅇㅇㅇ
2021. 8. 14. 18:44, 빠충 : 그거 걍
2021. 8. 14. 18:44, 빠충 : 구글에 백신예약 치면
2021. 8. 14. 18:44, 빠충 : 나옴
2021. 8. 14. 18:44, abyss오재 : 오홍 ㄱㅅ
2021. 8. 14. 18:44, 빠충 : 백신 예약 10부제 치고 나온대로 하셈
2021. 8. 14. 18:44, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 8. 14. 18:44, abyss오재 : 오케
2021. 8. 14. 18:44, abyss오재 : 굿굿
