Talk_2021.8.24 13:11-58.txt
저장한 날짜 : 2021. 8. 24. 13:12



2019년 11월 27일 수요일
2019. 11. 27. 14:35, (알 수 없음) : 환기필요
2019. 12. 10. 02:18, (알 수 없음) : 아니
2019. 12. 10. 02:18, (알 수 없음) : ㅋㅋㅋㅋㅋㅅㅂ
2019. 12. 10. 02:18, (알 수 없음) : 와존나이쁘네
2019. 12. 10. 02:18, (알 수 없음) : 집가고싶다
2019. 12. 10. 02:18, (알 수 없음) : 와
2019. 12. 10. 02:18, (알 수 없음) : 시발ㅈㄴ나이쁘다
2019. 12. 10. 02:18, (알 수 없음) : 미친
2019. 12. 10. 02:51, (알 수 없음) : 집간다
2019. 12. 10. 03:26, 재환오빠 : 거기지금 네시반이구나
2019. 12. 10. 03:26, 재환오빠 : 세시반이구나
2019. 12. 10. 03:38, (알 수 없음) : 넥
2019. 12. 10. 03:38, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 03:38, (알 수 없음) : 그림긑네여
2019. 12. 10. 04:25, 재환오빠 : 넌왜아직도안자ㅋㅋㅋ
2019. 12. 10. 07:31, (알 수 없음) : 일이잇어서3시에마체가지곸ㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 07:31, (알 수 없음) : 50분만더자야징...
2019. 12. 10. 07:31, 재환오빠 : 여기 저녁 열시반
2019. 12. 10. 09:14, 정우 : ㅎㅇㅎㅇ
2019. 12. 10. 09:14, 정우 : 와우 개이쁘다 리얼
2019. 12. 10. 09:15, 재환오빠 : ㅎㅇㅎㅇ
2019. 12. 10. 09:15, 경민 : 오빠는
2019. 12. 10. 09:15, 경민 : 왜안잠
2019. 12. 10. 09:24, (알 수 없음) : 아개피곤하다
2019. 12. 10. 09:25, (알 수 없음) : 휴게실에사좀자야지락겨가면
2019. 12. 10. 09:26, 재환오빠 : 여기 지금 밤 열두시반
2019. 12. 10. 09:26, 재환오빠 : 나빼고 다 디짐
2019. 12. 10. 09:26, 재환오빠 : 어떰
2019. 12. 10. 09:28, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 09:28, (알 수 없음) : 개섹다능역시
2019. 12. 10. 09:28, (알 수 없음) : 술얼마치
2019. 12. 10. 09:28, (알 수 없음) : 클리어샛슴가
2019. 12. 10. 09:28, (알 수 없음) : 햇슴가
2019. 12. 10. 09:28, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 09:30, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 09:30, 경민 : 이모티콘 
2019. 12. 10. 09:43, Sekwang Ludan : 파일: 2019_채용공고(전부문).pdf
2019. 12. 10. 09:43, Sekwang Ludan : @이정우 ㄱㄱㄱ
2019. 12. 10. 09:48, 원준오빠 : 금공
2019. 12. 10. 09:48, 원준오빠 : 강
2019. 12. 10. 09:52, 정우 : 어우 어려운데네
2019. 12. 10. 09:52, 정우 : 잘알지도못하는데 평가라니
2019. 12. 10. 09:52, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 09:53, 정우 : 일단ㄱㅅㄱㅅ
2019. 12. 10. 09:53, Sekwang Ludan : ㅋㅋㅋㅋㅋ 신입이 뭘 알겠냐 걍 쓰는거지뭐
2019. 12. 10. 09:53, Sekwang Ludan : 나도 모름 ㅋㅋㅋ 대체투자 쓸라고 저기
2019. 12. 10. 09:53, 정우 : 올
2019. 12. 10. 09:53, 정우 : 개꿀
2019. 12. 10. 09:53, Sekwang Ludan : 너~~는 평가 나아~~는 대체
2019. 12. 10. 09:57, 원준오빠 : 노동요야?
2019. 12. 10. 09:58, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 노동요래
2019. 12. 10. 09:58, Sekwang Ludan : 요즘 유산슬에 꽂힘
2019. 12. 10. 10:02, 원준오빠 : 쇠질요
2019. 12. 10. 10:02, 원준오빠 : 끄응차 끄응차
2019. 12. 10. 10:03, 원준오빠 : 앗 유산슬 조아
2019. 12. 10. 10:04, Sekwang Ludan : 싹다하~~~ 갈아엎어 벌여 요호~~
2019. 12. 10. 10:11, 경민 : 유산슬한번도
2019. 12. 10. 10:11, 경민 : 안들어봄
2019. 12. 10. 10:11, 경민 : 어떰
2019. 12. 10. 10:13, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 10:13, 원준오빠 : 어떰 뭔데 개눗기넼ㅋㅋㅋ케
2019. 12. 10. 10:14, 경민 : 이모티콘 
2019. 12. 10. 10:14, 경민 : 그렇다면 ㄱㅅ
2019. 12. 10. 10:15, (알 수 없음) : 나성실의오재훈이라고불러주셈
2019. 12. 10. 10:15, 경민 : 왜
2019. 12. 10. 10:15, (알 수 없음) : 3달동안3시간쉼 2시간은 여권받는거임 심지어
2019. 12. 10. 10:15, 경민 : 출근함?
2019. 12. 10. 10:15, 경민 : 오
2019. 12. 10. 10:15, (알 수 없음) : 노지각
2019. 12. 10. 10:15, 경민 : 굳
2019. 12. 10. 10:16, 경민 : 지각 개념있음 너?
2019. 12. 10. 10:16, 경민 : 그냥찍은시간이
2019. 12. 10. 10:16, 경민 : 출근시간아님
2019. 12. 10. 10:16, 경민 : ?
2019. 12. 10. 10:16, (알 수 없음) : 10시30분보다늦으면
2019. 12. 10. 10:16, (알 수 없음) : 바로지각
2019. 12. 10. 10:16, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 10:16, 경민 : 아하
2019. 12. 10. 10:16, 경민 : ㅇㅋ
2019. 12. 10. 10:16, 경민 : 널널하네그래도
2019. 12. 10. 10:16, (알 수 없음) : 그렇다
2019. 12. 10. 10:17, (알 수 없음) : 나알람3개맞추는데
2019. 12. 10. 10:17, (알 수 없음) : 오늘2개못들어서
2019. 12. 10. 10:17, (알 수 없음) : 진짜식곱
2019. 12. 10. 10:20, 경민 : ㅋㅋㅋㅋ
2019. 12. 10. 10:20, 경민 : 다행다행
2019. 12. 10. 10:21, (알 수 없음) : ;교수님협업하는시람
2019. 12. 10. 10:21, (알 수 없음) : 최고학회에서튜토리얼하네;
2019. 12. 10. 10:21, (알 수 없음) : 존나신기하군
2019. 12. 10. 10:21, (알 수 없음) : 열일해재훈아
2019. 12. 10. 10:21, (알 수 없음) : ㅠ
2019. 12. 10. 10:21, (알 수 없음) : 이모티콘 
2019. 12. 10. 10:22, (알 수 없음) : 토
2019. 12. 10. 10:22, (알 수 없음) : 오
2019. 12. 10. 10:22, (알 수 없음) : 지각아니다
2019. 12. 10. 10:22, 정우 : 오성실
2019. 12. 10. 10:22, 정우 : 오
2019. 12. 10. 10:22, (알 수 없음) : 신호긍타밍굿굿
2019. 12. 10. 10:22, 원준오빠 : 오상실 ㅎㅇ
2019. 12. 10. 10:22, 원준오빠 : 성실
2019. 12. 10. 10:23, (알 수 없음) : ㅎㅇ
2019. 12. 10. 10:27, Sekwang Ludan : ㅇㅈㅋㅋㅋ
2019. 12. 10. 10:28, (알 수 없음) : 오늘개덥네 ㅅㅂ
2019. 12. 10. 10:30, 원준오빠 : ㅇㅈㅇㅈ
2019. 12. 10. 10:36, 경민 : 우리근데
2019. 12. 10. 10:36, 경민 : 모이는거
2019. 12. 10. 10:36, 경민 : 27임 28임?
2019. 12. 10. 10:37, 경민 : 토욜에모이면 일요일 없어지니까
2019. 12. 10. 10:37, 경민 : 금욜에놀려고한건데
2019. 12. 10. 10:37, 경민 : 원준오빠약속있음
2019. 12. 10. 10:37, 경민 : 토욜에해도 노상관임나는
2019. 12. 10. 10:37, 경민 : 언능정하고 땅땅땅 하자
2019. 12. 10. 10:51, Sekwang Ludan : 그니까 난 다돼서 둘다투표했는데
2019. 12. 10. 10:51, (알 수 없음) : 굿아이디어가능?
2019. 12. 10. 10:51, (알 수 없음) : 토욜낮부터놀고
2019. 12. 10. 10:51, (알 수 없음) : 토욜밤에헤어지는거어떰?
2019. 12. 10. 10:51, (알 수 없음) : ^^
2019. 12. 10. 10:51, (알 수 없음) : 나도 대전가고
2019. 12. 10. 10:51, (알 수 없음) : 토욜12시-토욜9시각
2019. 12. 10. 10:52, Sekwang Ludan : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 금욜 밤부터 놀아도 토욜밤에 헤여지지않냐능?
2019. 12. 10. 10:52, (알 수 없음) : ㅡㅡ
2019. 12. 10. 10:52, (알 수 없음) : 쓰레기냐진짜
2019. 12. 10. 10:52, (알 수 없음) : 명허네
2019. 12. 10. 10:52, (알 수 없음) : 명불허전
2019. 12. 10. 10:52, Sekwang Ludan : 왬마
2019. 12. 10. 10:52, (알 수 없음) : 즐
2019. 12. 10. 10:52, Sekwang Ludan : ㅋㅋㅋ 한두번도 아니고
2019. 12. 10. 10:52, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 11:52, 원준오빠 : 근데
2019. 12. 10. 11:52, 원준오빠 : 나 금욜에 약속일찍 아러
2019. 12. 10. 11:52, 원준오빠 : 끝나고 가면 댈거같은댑??
2019. 12. 10. 11:52, 원준오빠 : 금욜 고고해 일욜없어지는거 시륨 ㅠ
2019. 12. 10. 11:52, (알 수 없음) : ㅇㅋ
2019. 12. 10. 11:55, 원준오빠 : 차트 1,2위 아이유네
2019. 12. 10. 11:55, 원준오빠 : 멋져
2019. 12. 10. 11:58, (알 수 없음) : ㅠㅠ
2019. 12. 10. 11:58, (알 수 없음) : 애플뮤ㄷ직또안나와
2019. 12. 10. 11:58, (알 수 없음) : 하짜증
2019. 12. 10. 12:21, 원준오빠 : 솔절훼
2019. 12. 10. 12:42, (알 수 없음) : 방금
2019. 12. 10. 12:42, (알 수 없음) : 이정우친구봄
2019. 12. 10. 12:43, (알 수 없음) : 방금 e2-1오른쪽 문으로 나감
2019. 12. 10. 12:44, 원준오빠 : 왜 아는척 안함
2019. 12. 10. 12:48, (알 수 없음) : 붂흐러워서,,
2019. 12. 10. 12:59, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 12:59, (알 수 없음) : 내가지켜보고있었다고
2019. 12. 10. 12:59, (알 수 없음) : 전달좀
2019. 12. 10. 13:00, (알 수 없음) : 친구분이랑 나가시던데
2019. 12. 10. 13:06, 정우 : 이야
2019. 12. 10. 13:07, 정우 : 친구도있고
2019. 12. 10. 13:07, 정우 : 다행이네
2019. 12. 10. 13:07, 경민 : 주식
2019. 12. 10. 13:07, 경민 : 떡상했는데
2019. 12. 10. 13:07, 경민 : 팔까멀까
2019. 12. 10. 13:09, (알 수 없음) : zr
2019. 12. 10. 13:09, (알 수 없음) : ㄱ
2019. 12. 10. 13:09, (알 수 없음) : 팕
2019. 12. 10. 13:11, 경민 : 주식겨우본전메꿧다 ㅅㅂ
2019. 12. 10. 13:11, 정우 : 오
2019. 12. 10. 13:11, 정우 : ㅊㅋㅊㅋ
2019. 12. 10. 13:14, (알 수 없음) : 왈
2019. 12. 10. 13:14, (알 수 없음) : 리얼
2019. 12. 10. 13:14, (알 수 없음) : 똑상
2019. 12. 10. 13:14, (알 수 없음) : 했나보네
2019. 12. 10. 13:15, (알 수 없음) : 아시밬ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 13:15, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ내가개웃긴거
2019. 12. 10. 13:15, (알 수 없음) : 얘기해줄까
2019. 12. 10. 13:15, (알 수 없음) : 사진
2019. 12. 10. 13:15, (알 수 없음) : reminder라 해야하ㅏ는데
2019. 12. 10. 13:16, (알 수 없음) : ㅅㅂ reainder
2019. 12. 10. 13:16, (알 수 없음) : 교수들이한심하게보겠네
2019. 12. 10. 13:16, (알 수 없음) : 흐ㅜ
2019. 12. 10. 13:16, 경민 : ㅋㅋㅋㅋㅋ
2019. 12. 10. 13:17, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 13:17, 정우 : 아니
2019. 12. 10. 13:17, 정우 : 근데
2019. 12. 10. 13:17, 정우 : 파티하냐?
2019. 12. 10. 13:17, (알 수 없음) : 그냥
2019. 12. 10. 13:17, (알 수 없음) : 점심
2019. 12. 10. 13:17, (알 수 없음) : 피자시켜주는듯
2019. 12. 10. 13:17, (알 수 없음) : 송ㅇ녀노히;
2019. 12. 10. 13:17, (알 수 없음) : 26일에
2019. 12. 10. 13:17, (알 수 없음) : 근데 니
2019. 12. 10. 13:17, (알 수 없음) : 오냐?
2019. 12. 10. 13:17, (알 수 없음) : 이번주뭐어케허ㅓ녀
2019. 12. 10. 13:18, 정우 : 이번주
2019. 12. 10. 13:18, 정우 : 는 못갈거 같은데요
2019. 12. 10. 13:18, 정우 : ㅠ
2019. 12. 10. 13:18, 정우 : 갈까했는데
2019. 12. 10. 13:18, 정우 : 내일 동생 쉬는날이라고
2019. 12. 10. 13:18, 정우 : 지가 소고기가준다고
2019. 12. 10. 13:18, 정우 : 다같이 저녁먹자길래
2019. 12. 10. 13:18, 정우 : ㅎㅎ;;;;;
2019. 12. 10. 13:18, 경민 : 이번주는또모여
2019. 12. 10. 13:18, (알 수 없음) : ㅡㅡ
2019. 12. 10. 13:19, (알 수 없음) : 동생
2019. 12. 10. 13:19, 정우 : 나그냥 심심해서 대전갈까했는데
2019. 12. 10. 13:19, (알 수 없음) : 철들었네
2019. 12. 10. 13:19, (알 수 없음) : 사진
2019. 12. 10. 13:19, (알 수 없음) : 원준이형
2019. 12. 10. 13:19, 정우 : 고기가이김
2019. 12. 10. 13:19, (알 수 없음) : non-autoregressive
2019. 12. 10. 13:19, (알 수 없음) : 그림임
2019. 12. 10. 13:19, (알 수 없음) : 오른쪽
2019. 12. 10. 13:19, (알 수 없음) : 아니
2019. 12. 10. 13:19, (알 수 없음) : 니좀어이업네
2019. 12. 10. 13:19, (알 수 없음) : 울집에도 소고기있음
2019. 12. 10. 13:19, 정우 : 왜
2019. 12. 10. 13:19, (알 수 없음) : 오늘와서먹고가셈
2019. 12. 10. 13:19, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 13:19, 정우 : ㅅㅂ그럴거면 목요일에가지
2019. 12. 10. 13:19, 정우 : 오늘왜가먀
2019. 12. 10. 13:19, (알 수 없음) : 니트를 바지에 넣었더니
2019. 12. 10. 13:19, (알 수 없음) : 존나
2019. 12. 10. 13:19, (알 수 없음) : 힘드네
2019. 12. 10. 13:19, (알 수 없음) : 숨쉬기
2019. 12. 10. 13:20, (알 수 없음) : 내가
2019. 12. 10. 13:20, (알 수 없음) : 희소식알려줌
2019. 12. 10. 13:20, (알 수 없음) : 66.8 ㅗㅁ
2019. 12. 10. 13:20, (알 수 없음) : 봄
2019. 12. 10. 13:20, (알 수 없음) : 오늘아침에
2019. 12. 10. 13:20, (알 수 없음) : 근데저녁되면찌니까
2019. 12. 10. 13:20, (알 수 없음) : 아니 근데
2019. 12. 10. 13:20, (알 수 없음) : 66.8 ;이것도;
2019. 12. 10. 13:20, (알 수 없음) : 개쪗네
2019. 12. 10. 13:20, (알 수 없음) : ㅅㅂ
2019. 12. 10. 13:20, (알 수 없음) : 70을기준으로
2019. 12. 10. 13:20, (알 수 없음) : 잡으면안됨
2019. 12. 10. 13:20, (알 수 없음) : 더빼고등장함
2019. 12. 10. 13:22, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 13:22, 정우 : 소고기국밥
2019. 12. 10. 13:22, 정우 : 먹으러왔다
2019. 12. 10. 13:24, (알 수 없음) : ㅊㅋㅊㅋ
2019. 12. 10. 13:25, (알 수 없음) : 난학식
2019. 12. 10. 13:25, (알 수 없음) : 조젓음
2019. 12. 10. 13:25, 정우 : ㅊㅋㅊㅋ
2019. 12. 10. 13:26, (알 수 없음) : 놀리냐?
2019. 12. 10. 13:26, (알 수 없음) : 짜증나게
2019. 12. 10. 13:30, (알 수 없음) : ㅅㅂ!
2019. 12. 10. 13:30, (알 수 없음) : 다음주 26주적금완료임
2019. 12. 10. 13:30, (알 수 없음) : ㅠ
2019. 12. 10. 13:31, (알 수 없음) : 사진
2019. 12. 10. 13:31, 경민 : ㅊㅋㅊㅋ
2019. 12. 10. 13:32, (알 수 없음) : 사진
2019. 12. 10. 13:32, (알 수 없음) : 하나는20쥬차
2019. 12. 10. 13:32, 경민 : 욜
2019. 12. 10. 13:33, (알 수 없음) : 엥
2019. 12. 10. 13:33, (알 수 없음) : 근데민식이법
2019. 12. 10. 13:33, (알 수 없음) : 이거좀
2019. 12. 10. 13:33, 경민 : 사진
2019. 12. 10. 13:33, 경민 : 예
2019. 12. 10. 13:33, (알 수 없음) : 그렇네
2019. 12. 10. 13:33, (알 수 없음) : ?
2019. 12. 10. 13:33, 경민 : 나도다음주
2019. 12. 10. 13:33, (알 수 없음) : 애가갑자기
2019. 12. 10. 13:33, (알 수 없음) : 튀어나온거라는데
2019. 12. 10. 13:33, (알 수 없음) : 차속도 23.6km/s
2019. 12. 10. 13:33, (알 수 없음) : 였꼬
2019. 12. 10. 13:33, (알 수 없음) : 30km 밑이면
2019. 12. 10. 13:33, (알 수 없음) : 애기보호지역에서도
2019. 12. 10. 13:33, (알 수 없음) : 다니는속도아닌가?
2019. 12. 10. 13:34, (알 수 없음) : 엥미친
2019. 12. 10. 13:34, (알 수 없음) : 엄빠가
2019. 12. 10. 13:34, (알 수 없음) : 과속이라고 구라쳐서 청원받기
2019. 12. 10. 13:34, (알 수 없음) : 시작한거였네
2019. 12. 10. 13:37, 경민 : 사진
2019. 12. 10. 13:37, 경민 : 하나는또내일만기쥬
2019. 12. 10. 13:37, 경민 : 이모티콘 
2019. 12. 10. 13:37, 경민 : 허
2019. 12. 10. 13:37, 경민 : 구라엿움?
2019. 12. 10. 13:40, (알 수 없음) : 샵검색: #민식이법 23km
2019. 12. 10. 13:40, (알 수 없음) : 23km엿고
2019. 12. 10. 13:40, (알 수 없음) : 갑자기튀어나온걸
2019. 12. 10. 13:40, (알 수 없음) : 진짜차주가더 억울하겟는데;,,?
2019. 12. 10. 13:41, 경민 : 그러게,,,
2019. 12. 10. 13:41, (알 수 없음) : 뭐야;;
2019. 12. 10. 13:41, (알 수 없음) : 흐으미네
2019. 12. 10. 13:45, 정우 : 엥;;;;;
2019. 12. 10. 13:45, (알 수 없음) : 난
2019. 12. 10. 13:45, (알 수 없음) : 또
2019. 12. 10. 13:45, (알 수 없음) : 과속 존나한줄알았는데
2019. 12. 10. 13:45, (알 수 없음) : 뭐야이거
2019. 12. 10. 13:48, 정우 : 나도 꼼꼼히 본적없는데
2019. 12. 10. 13:48, 정우 : 집가서 제대로봐야지
2019. 12. 10. 13:48, 정우 : 그나저나 국밥맛집이군
2019. 12. 10. 13:53, 경민 : http://www.ssodam.com/content/797719/?prev=1&prev_content=/today
2019. 12. 10. 13:53, 경민 : 우리학교개판이네
2019. 12. 10. 13:54, 경민 : 총장이랑 이사회랑 싸우고있는데 학생들만모른대
2019. 12. 10. 13:54, 경민 : ㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 13:54, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 13:54, (알 수 없음) : 개웃기네
2019. 12. 10. 14:07, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 14:07, 부그뷰 : 맥주리뷰촬영하는데
2019. 12. 10. 14:07, 부그뷰 : 벌써취함
2019. 12. 10. 14:07, 부그뷰 : 어캄?
2019. 12. 10. 14:07, 정우 : 갯귤
2019. 12. 10. 14:29, Sekwang Ludan : 사진
2019. 12. 10. 14:29, Sekwang Ludan : 갯귤 나도 벌써 취함
2019. 12. 10. 14:31, 경민 : 오우세광오빠
2019. 12. 10. 14:31, 경민 : 회사는어쩌고..
2019. 12. 10. 14:44, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 14:54, 양우성 : 대낮에 플렉싱하네
2019. 12. 10. 14:54, 양우성 : ㄷㄷ
2019. 12. 10. 14:54, 양우성 : 맥주맛잇겟다 ㅠ
2019. 12. 10. 14:59, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 개웃기넴
2019. 12. 10. 15:00, 원준오빠 : 어우 이 맥주는 취하는데엽?
2019. 12. 10. 15:00, 원준오빠 : 커어ㅓㅓ
2019. 12. 10. 15:00, 원준오빠 : 왼쪽꺼는 x가 y에 영향을 미치는거고 오른쪽은 걍 따로 갈길간다는 뜻임??
2019. 12. 10. 15:11, (알 수 없음) : 예스예스
2019. 12. 10. 15:11, (알 수 없음) : 완전 개씨발딩동댕
2019. 12. 10. 15:21, (알 수 없음) : 노우!!!!!!!!노우!!!!!!!!!!!!!!
2019. 12. 10. 15:21, (알 수 없음) : 어?
2019. 12. 10. 15:21, (알 수 없음) : 담주화욜출장각인가?
2019. 12. 10. 15:21, 경민 : r
2019. 12. 10. 15:21, (알 수 없음) : 아니 노우.....
2019. 12. 10. 15:21, (알 수 없음) : 돈 안준단말이야 ㅠ
2019. 12. 10. 15:23, 경민 : https://naekkeo.startupbridgeva.com/view/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD-%EC%A7%81%EC%9E%A5%EC%9D%B8-%ED%8F%89%EA%B7%A0-jpg
2019. 12. 10. 15:24, (알 수 없음) : ㅅㅂ
2019. 12. 10. 15:24, (알 수 없음) : ㅠ
2019. 12. 10. 15:26, 정우 : ㅠ
2019. 12. 10. 15:26, (알 수 없음) : 택시왔다갔따 2만원인데
2019. 12. 10. 15:26, (알 수 없음) : 돈안주나
2019. 12. 10. 15:26, (알 수 없음) : ㅠ;
2019. 12. 10. 15:26, 정우 : 어디가는데
2019. 12. 10. 15:26, (알 수 없음) : 대전 뭐
2019. 12. 10. 15:26, (알 수 없음) : 연말평가 가야하는듯
2019. 12. 10. 15:26, 정우 : 갯귤
2019. 12. 10. 15:26, (알 수 없음) : 교수님 ;
2019. 12. 10. 15:26, (알 수 없음) : 일있어서
2019. 12. 10. 15:27, (알 수 없음) : 대타뜀
2019. 12. 10. 15:27, (알 수 없음) : ㅅㅂ;
2019. 12. 10. 15:27, 정우 : 이야
2019. 12. 10. 15:27, 정우 : 교수대타
2019. 12. 10. 15:27, 정우 : 니
2019. 12. 10. 15:27, 정우 : 좀 힘있네
2019. 12. 10. 15:27, (알 수 없음) : ;
2019. 12. 10. 15:27, (알 수 없음) : ㅎ;
2019. 12. 10. 15:27, (알 수 없음) : (하하)
2019. 12. 10. 15:27, (알 수 없음) : 좋아하니까
2019. 12. 10. 15:27, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 15:27, (알 수 없음) : 힘있는거
2019. 12. 10. 15:27, (알 수 없음) : 좀
2019. 12. 10. 15:27, (알 수 없음) : ㄴ려봄
2019. 12. 10. 15:27, (알 수 없음) : 뉴료봄
2019. 12. 10. 15:27, 정우 : ㄱ
2019. 12. 10. 15:27, (알 수 없음) : ㅎㅋㅎㅋ
2019. 12. 10. 15:27, 정우 : 교수알박기
2019. 12. 10. 15:27, 정우 : ㄱ
2019. 12. 10. 15:30, (알 수 없음) : 하
2019. 12. 10. 15:30, (알 수 없음) : 근데무슨 ppt 자료가
2019. 12. 10. 15:30, (알 수 없음) : 145MB?
2019. 12. 10. 15:30, (알 수 없음) : 뭘또수정하라고시켰나
2019. 12. 10. 15:30, (알 수 없음) : 후
2019. 12. 10. 15:36, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 16:07, Sekwang Ludan : 회사사람들이랑 마심 ㅋㅋㅋ
2019. 12. 10. 16:09, 정우 : 갯귤
2019. 12. 10. 16:11, (알 수 없음) : 아
2019. 12. 10. 16:11, (알 수 없음) : 교수님이
2019. 12. 10. 16:11, (알 수 없음) : 직접가신단다
2019. 12. 10. 16:11, (알 수 없음) : 갯귤
2019. 12. 10. 16:11, (알 수 없음) : !
2019. 12. 10. 16:12, 정우 : 갯귤
2019. 12. 10. 16:12, Sekwang Ludan : 하.. 퇴근 두시간 남았는데 일이 쏟아지기 시작하쥬
2019. 12. 10. 16:13, 정우 : 아
2019. 12. 10. 16:13, 정우 : 술먹고일함?
2019. 12. 10. 16:13, 정우 : 진짜갯귤이네
2019. 12. 10. 16:13, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 16:13, Sekwang Ludan : ㅋㅋㅋ 딱 두병 마심 ㅋㅋㅋ
2019. 12. 10. 16:13, Sekwang Ludan : 한잠자고 깼음
2019. 12. 10. 16:13, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 존나 심쿵이넵
2019. 12. 10. 16:13, 원준오빠 : 아 맥조날드 존나 멀어ㅠ
2019. 12. 10. 16:14, 경민 : ㅋㅋㅋㅋㅋ
2019. 12. 10. 16:14, 경민 : 1일1맥
2019. 12. 10. 16:14, 경민 : 실천중?
2019. 12. 10. 16:15, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 16:15, 원준오빠 : 놉 ㅠ
2019. 12. 10. 16:15, 원준오빠 : 멀어서 포기함 ㅠ
2019. 12. 10. 16:16, 원준오빠 : 연대앞까지 언제가지,,
2019. 12. 10. 16:16, (알 수 없음) : 마
2019. 12. 10. 16:16, (알 수 없음) : 그것도 못가나?
2019. 12. 10. 16:16, (알 수 없음) : 마!
2019. 12. 10. 16:16, (알 수 없음) : 아갑자기 좀 여유로운데?
2019. 12. 10. 16:16, (알 수 없음) : 뭘까갑자기 이여유
2019. 12. 10. 16:18, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 16:19, 정우 : 포기한거
2019. 12. 10. 16:19, 정우 : 아니냐
2019. 12. 10. 16:25, 원준오빠 : 윽
2019. 12. 10. 16:25, 원준오빠 : 갈까
2019. 12. 10. 16:25, 원준오빠 : 갈까?
2019. 12. 10. 16:25, 원준오빠 : 시바 간다
2019. 12. 10. 16:25, 원준오빠 : 아냐 ㅠ 아무래도 넘멀어
2019. 12. 10. 16:27, 경민 : ㅋㅋㅋ겨울이라
2019. 12. 10. 16:27, 경민 : 추어
2019. 12. 10. 16:34, 정우 : ㅇㅈㅇㅈ
2019. 12. 10. 16:48, (알 수 없음) : 졸립다
2019. 12. 10. 16:48, (알 수 없음) : 아니니?
2019. 12. 10. 16:55, 원준오빠 : 지환이 만남
2019. 12. 10. 16:55, 원준오빠 : 석준이 만났다고 함
2019. 12. 10. 16:56, 이석준 : 방금만났음
2019. 12. 10. 16:56, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 12. 10. 16:56, 원준오빠 : 어 그분 만났어요 하길래
