Talk_2021.8.24 13:11-36.txt
저장한 날짜 : 2021. 8. 24. 13:11



2019년 2월 17일 일요일
2019. 2. 17. 21:33, Sekwang Ludan : 라틴 뮤직!!!!
2019. 2. 28. 16:24, (알 수 없음) : 도덕적
2019. 2. 28. 16:24, 경민 : 이모티콘 
2019. 2. 28. 16:25, (알 수 없음) : 의식수준
2019. 2. 28. 16:25, 원준오빠 : 저상태로 평소에 잘했으면 아무도 모르게 계속 나쁜짓 하고있었울거잖아
2019. 2. 28. 16:25, 원준오빠 : 근데님들
2019. 2. 28. 16:25, (알 수 없음) : 네
2019. 2. 28. 16:25, 원준오빠 : 빌게이츠
2019. 2. 28. 16:25, (알 수 없음) : 진짜
2019. 2. 28. 16:25, (알 수 없음) : 처맞아야해
2019. 2. 28. 16:25, 원준오빠 : ㅇㅋ
2019. 2. 28. 16:25, (알 수 없음) : 아니
2019. 2. 28. 16:25, 원준오빠 : 빌게이츠 쳐맞고
2019. 2. 28. 16:25, (알 수 없음) : 승리
2019. 2. 28. 16:25, (알 수 없음) : ㅠ
2019. 2. 28. 16:25, (알 수 없음) : 응
2019. 2. 28. 16:25, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 16:25, 원준오빠 : 빌게이츠 세금 얼마내는지 앎?
2019. 2. 28. 16:25, (알 수 없음) : 조단위
2019. 2. 28. 16:25, (알 수 없음) : 아닐까
2019. 2. 28. 16:25, 원준오빠 : 100억달러
2019. 2. 28. 16:25, 원준오빠 : 11조원래
2019. 2. 28. 16:25, (알 수 없음) : ㅁㅊ
2019. 2. 28. 16:25, 정우 : ㅎ
2019. 2. 28. 16:25, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 16:26, 정우 : ㅁ친
2019. 2. 28. 16:26, 원준오빠 : 이모티콘 
2019. 2. 28. 16:26, (알 수 없음) : 죽이고싶다
2019. 2. 28. 16:26, (알 수 없음) : 빌게이츠죽이고!
2019. 2. 28. 16:26, (알 수 없음) : 가겟습니다
2019. 2. 28. 16:26, 정우 : 돌았다 진짜
2019. 2. 28. 16:26, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 16:26, (알 수 없음) : ㅜ
2019. 2. 28. 16:26, 경민 : 슈
2019. 2. 28. 16:26, 경민 : 만수르개
2019. 2. 28. 16:26, 경민 : 만수르가더부자아님
2019. 2. 28. 16:26, (알 수 없음) : 아니
2019. 2. 28. 16:26, 경민 : 저번에
2019. 2. 28. 16:26, 정우 : 11억도 감도안오는데
2019. 2. 28. 16:26, 경민 : 올려준거
2019. 2. 28. 16:26, (알 수 없음) : ㅠ
2019. 2. 28. 16:26, (알 수 없음) : 그거
2019. 2. 28. 16:26, (알 수 없음) : 지금따지는거의미옵다
2019. 2. 28. 16:26, (알 수 없음) : 울사람구한다
2019. 2. 28. 16:26, (알 수 없음) : 이모티콘 
2019. 2. 28. 16:26, 정우 : 왜움
2019. 2. 28. 16:26, (알 수 없음) : 마음아프니까
2019. 2. 28. 16:26, 정우 : 하지만 일단 움
2019. 2. 28. 16:26, 정우 : 이모티콘 
2019. 2. 28. 16:27, (알 수 없음) : 이모티콘 
2019. 2. 28. 16:27, (알 수 없음) : 내일빠빠빨간날
2019. 2. 28. 16:27, 정우 : 아이고 의미없다
2019. 2. 28. 16:27, (알 수 없음) : 왜
2019. 2. 28. 16:27, 원준오빠 : 이모티콘 
2019. 2. 28. 16:27, (알 수 없음) : 이모티콘 
2019. 2. 28. 16:27, 원준오빠 : 이모티콘 
2019. 2. 28. 16:27, 정우 : 나는 맨날 빨간날이니까
2019. 2. 28. 16:27, (알 수 없음) : 빠빠빨간날
2019. 2. 28. 16:27, (알 수 없음) : 아니근데빨간맛
2019. 2. 28. 16:27, (알 수 없음) : 이 스트로베리임?
2019. 2. 28. 16:27, 정우 : 오늘 목요일인거 오늘앎
2019. 2. 28. 16:27, (알 수 없음) : 아무생각없엇는데
2019. 2. 28. 16:27, (알 수 없음) : 빨간맛존나고추장
2019. 2. 28. 16:27, 정우 : 아님
2019. 2. 28. 16:27, (알 수 없음) : 아니냐원래
2019. 2. 28. 16:27, 정우 : 빨간맛
2019. 2. 28. 16:27, 정우 : 은
2019. 2. 28. 16:27, 정우 : 빨간맛
2019. 2. 28. 16:28, (알 수 없음) : 그래서
2019. 2. 28. 16:28, (알 수 없음) : 그런느낌
2019. 2. 28. 16:28, (알 수 없음) : 생각하면서
2019. 2. 28. 16:28, (알 수 없음) : 빨간맛
2019. 2. 28. 16:28, (알 수 없음) : 들으면느낌이상함
2019. 2. 28. 16:28, (알 수 없음) : ;;
2019. 2. 28. 16:28, (알 수 없음) : 이모티콘 
2019. 2. 28. 16:28, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 16:28, 정우 : 존나
2019. 2. 28. 16:28, 정우 : 상상력 풍부한거보소
2019. 2. 28. 16:28, (알 수 없음) : 티페인
2019. 2. 28. 16:28, (알 수 없음) : 미국복면가왕우승자래
2019. 2. 28. 16:29, (알 수 없음) : 샵검색: #티페인
2019. 2. 28. 16:29, (알 수 없음) : 얘가우승햇나바
2019. 2. 28. 16:29, 정우 : ㅁㅊ
2019. 2. 28. 16:29, 정우 : 가면
2019. 2. 28. 16:29, 빠충 : 티페인
2019. 2. 28. 16:29, (알 수 없음) : 오토튠
2019. 2. 28. 16:29, 빠충 : 노래 개잘함
2019. 2. 28. 16:29, 원준오빠 : 옹
2019. 2. 28. 16:29, 정우 : 복면수준보소
2019. 2. 28. 16:29, (알 수 없음) : 기계안줘도
2019. 2. 28. 16:29, (알 수 없음) : 자동오툐툰
2019. 2. 28. 16:29, (알 수 없음) : 아니냐
2019. 2. 28. 16:29, 원준오빠 : 저기선 오토튠 안했겠디??
2019. 2. 28. 16:29, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋzzz
2019. 2. 28. 16:29, 빠충 : 오히려 그래서
2019. 2. 28. 16:29, 빠충 : 목소리 몰랏을듯
2019. 2. 28. 16:30, 빠충 : 티페인 오토튠 안한 목소리 모르자나
2019. 2. 28. 16:30, (알 수 없음) : 샵검색: #도니 오즈먼드
2019. 2. 28. 16:30, (알 수 없음) : 얘도노래잘하던데
2019. 2. 28. 16:30, (알 수 없음) : 공작새
2019. 2. 28. 16:30, 정우 : 근데왜사진은 프듀
2019. 2. 28. 16:30, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 16:30, (알 수 없음) : 미방이래
2019. 2. 28. 16:31, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 16:31, (알 수 없음) : 미리보기방지
2019. 2. 28. 16:31, 원준오빠 : 갑분프
2019. 2. 28. 16:31, (알 수 없음) : 샵검색: #티패인 나이
2019. 2. 28. 16:31, 정우 : 개상큼
2019. 2. 28. 16:31, 원준오빠 : 엥
2019. 2. 28. 16:31, 원준오빠 : 개어리네;;
2019. 2. 28. 16:31, (알 수 없음) : 샵검색: #태연 나이
2019. 2. 28. 16:31, 정우 : ㄹㅇ;;;;
2019. 2. 28. 16:31, 정우 : 개어리네
2019. 2. 28. 16:31, 원준오빠 : 쉬벌
2019. 2. 28. 16:31, (알 수 없음) : ..
2019. 2. 28. 16:31, 원준오빠 : 님들
2019. 2. 28. 16:31, 원준오빠 : 나 프사 바뀐것 몰랐지
2019. 2. 28. 16:31, (알 수 없음) : 알앗옹
2019. 2. 28. 16:32, 원준오빠 : 헐
2019. 2. 28. 16:32, 원준오빠 : 이모티콘 
2019. 2. 28. 16:32, 원준오빠 : 이모티콘 
2019. 2. 28. 16:32, 정우 : ㅁㅊ
2019. 2. 28. 16:32, (알 수 없음) : 빨간거뜨거든
2019. 2. 28. 16:32, 원준오빠 : 어케일았지
2019. 2. 28. 16:32, 정우 : 저걸어케알아
2019. 2. 28. 16:32, 원준오빠 : 아나
2019. 2. 28. 16:32, 원준오빠 : 그랬군..
2019. 2. 28. 16:32, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 16:32, 경민 : 하트존귀네
2019. 2. 28. 16:32, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 16:32, 경민 : 저임티ㄹㅇ찰떡이야
2019. 2. 28. 16:32, (알 수 없음) : 이모티콘 
2019. 2. 28. 16:32, (알 수 없음) : ㄹㅇ
2019. 2. 28. 16:32, (알 수 없음) : 원준이형이야저건
2019. 2. 28. 16:32, 원준오빠 : ㅁㅊ 저것도 오재 찰떡인긋
2019. 2. 28. 16:32, 원준오빠 : 움성지원됨
2019. 2. 28. 16:32, 경민 : ㄹㅇ
2019. 2. 28. 16:32, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 16:33, (알 수 없음) : ㅋㅌㅋㅌㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 16:33, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ케
2019. 2. 28. 16:33, (알 수 없음) : 이모티콘 
2019. 2. 28. 16:33, 정우 : 아
2019. 2. 28. 16:33, (알 수 없음) : 오늘아침
2019. 2. 28. 16:33, (알 수 없음) : 이엇다
2019. 2. 28. 16:33, 정우 : 공부해야되는데
2019. 2. 28. 16:33, (알 수 없음) : 수업2개들으니시간이러냐
2019. 2. 28. 16:33, 정우 : 12시부터 하나도안했네
2019. 2. 28. 16:33, (알 수 없음) : 교수님
2019. 2. 28. 16:33, 원준오빠 : ㅠ
2019. 2. 28. 16:33, (알 수 없음) : 아니
2019. 2. 28. 16:33, (알 수 없음) : 2월월간보고작성해야하는데
2019. 2. 28. 16:33, (알 수 없음) : 한명휴가라서
2019. 2. 28. 16:33, (알 수 없음) : 담주까지하자고 미륨
2019. 2. 28. 16:33, (알 수 없음) : 어떰
2019. 2. 28. 16:33, (알 수 없음) : 박력잇음?
2019. 2. 28. 16:33, 정우 : 원래 월간보고서가
2019. 2. 28. 16:34, 정우 : 그렇게 막
2019. 2. 28. 16:34, (알 수 없음) : 그럼쉬고담주에하자고함
2019. 2. 28. 16:34, 정우 : 이월되고
2019. 2. 28. 16:34, 정우 : 그런거임?
2019. 2. 28. 16:34, 빠충 : 그러게
2019. 2. 28. 16:34, (알 수 없음) : 아니&
2019. 2. 28. 16:34, (알 수 없음) : 안돠는데
2019. 2. 28. 16:34, 빠충 : 휴가인 사람 하라고 하는 건
2019. 2. 28. 16:34, (알 수 없음) : 그냥미룸
2019. 2. 28. 16:34, (알 수 없음) : 드치
2019. 2. 28. 16:34, 빠충 : 노박력임?
2019. 2. 28. 16:34, (알 수 없음) : 안됨
2019. 2. 28. 16:34, 빠충 : ㅇㅋ
2019. 2. 28. 16:34, (알 수 없음) : 그럼내가휴가일때
2019. 2. 28. 16:34, (알 수 없음) : 누군가가날건드려도
2019. 2. 28. 16:34, (알 수 없음) : 할말업기때문에
2019. 2. 28. 16:34, 빠충 : 당해벌이네
2019. 2. 28. 16:34, 빠충 : ㅇㅋ
2019. 2. 28. 16:34, 빠충 : 나 존나
2019. 2. 28. 16:34, 정우 : 나는박대니까
2019. 2. 28. 16:34, 정우 : 하셈
2019. 2. 28. 16:34, (알 수 없음) : ㅁㅊ
2019. 2. 28. 16:34, 빠충 : 지금 배불러서
2019. 2. 28. 16:34, (알 수 없음) : 그러다문점박대당함
2019. 2. 28. 16:34, 빠충 : 기분 좋음
2019. 2. 28. 16:34, 빠충 : 어캄
2019. 2. 28. 16:34, (알 수 없음) : 라면
2019. 2. 28. 16:34, (알 수 없음) : 하나더먹어주셈
2019. 2. 28. 16:35, 정우 : 공부좀대신해주셈
2019. 2. 28. 16:35, 빠충 : 다시 일하러 왓는데...?
2019. 2. 28. 16:35, (알 수 없음) : 라면먹고싶은날임
2019. 2. 28. 16:35, (알 수 없음) : 뭔지알지
2019. 2. 28. 16:35, (알 수 없음) : 공부대신해줌
2019. 2. 28. 16:35, 빠충 : 로비 데스크에서
2019. 2. 28. 16:35, 정우 : 어제보낸문제 풀어주셈
2019. 2. 28. 16:35, 빠충 : 컵라면먹으면서
2019. 2. 28. 16:35, 빠충 : 공부하면
2019. 2. 28. 16:35, 빠충 : 됨?
2019. 2. 28. 16:35, 빠충 : 개쪼네
2019. 2. 28. 16:35, 정우 : 개이득
2019. 2. 28. 16:35, (알 수 없음) : 샵검색: #스팸 치약
2019. 2. 28. 16:35, (알 수 없음) : 치약맛나는 스팸 vs 스팸맛나는 치약
2019. 2. 28. 16:36, 빠충 : 죽음
2019. 2. 28. 16:37, 정우 : 저런거할바에
2019. 2. 28. 16:37, 정우 : 치킨맛나는 오이
2019. 2. 28. 16:37, 정우 : 이런거나좀 만들어라
2019. 2. 28. 16:37, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋzzzz
2019. 2. 28. 16:37, 정우 : 건강도챙기고 맛도챙기고
2019. 2. 28. 16:37, 정우 : 하게
2019. 2. 28. 16:37, (알 수 없음) : 아니
2019. 2. 28. 16:37, (알 수 없음) : 그럼건강안좋아짐
2019. 2. 28. 16:37, (알 수 없음) : 오잉
2019. 2. 28. 16:37, 정우 : 건강챙기자
2019. 2. 28. 16:37, (알 수 없음) : 야
2019. 2. 28. 16:37, (알 수 없음) : 이정우
2019. 2. 28. 16:37, 정우 : ㅇㅇ
2019. 2. 28. 16:37, (알 수 없음) : 그
2019. 2. 28. 16:37, (알 수 없음) : 오늘언제까지쉼
2019. 2. 28. 16:37, 정우 : 공부할랬는데
2019. 2. 28. 16:37, 정우 : 왜
2019. 2. 28. 16:38, (알 수 없음) : 나이킾
2019. 2. 28. 16:38, (알 수 없음) : 페스티벌보내주셈
2019. 2. 28. 16:38, 정우 : 40분부터 할까했는데 들어봄
2019. 2. 28. 16:38, (알 수 없음) : 싸이도옴
2019. 2. 28. 16:38, 정우 : ?
2019. 2. 28. 16:38, 정우 : 가셈
2019. 2. 28. 16:38, (알 수 없음) : 45분부터
2019. 2. 28. 16:38, (알 수 없음) : 해주면안대삼?
2019. 2. 28. 16:38, 정우 : ㅇㅋ
2019. 2. 28. 16:38, (알 수 없음) : 리를빗
2019. 2. 28. 16:38, 정우 : 그거저번에 간다한거아니냐
2019. 2. 28. 16:38, 정우 : 가셈
2019. 2. 28. 16:38, (알 수 없음) : 휴식몰필뇨
2019. 2. 28. 16:38, (알 수 없음) : 맞음
2019. 2. 28. 16:38, (알 수 없음) : 샵검색: #나이키 페스티벌 티켓
2019. 2. 28. 16:38, 정우 : 고고고고
2019. 2. 28. 16:39, (알 수 없음) : 각ㄱ아아아악
2019. 2. 28. 16:39, (알 수 없음) : 근데끄럼또서울가야하네
2019. 2. 28. 16:39, (알 수 없음) : 아니그데나담주서울가냐
2019. 2. 28. 16:39, 정우 : 저거갈라면
2019. 2. 28. 16:39, 정우 : 와야겠자
2019. 2. 28. 16:39, 정우 : 겠지
2019. 2. 28. 16:40, (알 수 없음) : 샵검색: #스윙스 띠예
2019. 2. 28. 16:40, (알 수 없음) : ㅅㅂ
2019. 2. 28. 16:40, (알 수 없음) : 얜또왜이래
2019. 2. 28. 16:40, (알 수 없음) : ㅠ
2019. 2. 28. 16:40, 정우 : 띠예는또누구야
2019. 2. 28. 16:40, (알 수 없음) : 샵검색: #띠예
2019. 2. 28. 16:40, (알 수 없음) : 어린이유투버
2019. 2. 28. 16:40, 정우 : 아
2019. 2. 28. 16:40, 정우 : ㅁㅊ
2019. 2. 28. 16:40, (알 수 없음) : ㅁㅊ저거댓글봐
2019. 2. 28. 16:40, 경민 : 띠예나암
2019. 2. 28. 16:40, 경민 : 댓글개웃
2019. 2. 28. 16:40, (알 수 없음) : 댓글들존나
2019. 2. 28. 16:40, (알 수 없음) : 주접개떰
2019. 2. 28. 16:40, 정우 : 돌았네
2019. 2. 28. 16:41, 정우 : 진짜 유투브는
2019. 2. 28. 16:41, 정우 : 언제까지갈까
2019. 2. 28. 16:41, (알 수 없음) : 유투브
2019. 2. 28. 16:41, (알 수 없음) : 이제시작이지않을까
2019. 2. 28. 16:41, (알 수 없음) : 승리스케줄다취소네
2019. 2. 28. 16:41, (알 수 없음) : 샵검색: #승리 해외 투어
2019. 2. 28. 16:41, 정우 : 양심이있으면
2019. 2. 28. 16:41, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋ아니
2019. 2. 28. 16:41, 정우 : 저번에 얘
2019. 2. 28. 16:41, 정우 : 버닝썬터지고
2019. 2. 28. 16:41, 정우 : 말레이시아 추가공연한다고 올려서
2019. 2. 28. 16:41, (알 수 없음) : ㄹㅇ
2019. 2. 28. 16:41, 정우 : 진짜 오지게 욕쳐먹지않았냐
2019. 2. 28. 16:41, (알 수 없음) : 인스타에올렷을때
2019. 2. 28. 16:42, (알 수 없음) : 쟨진짜미친놈인가
2019. 2. 28. 16:42, (알 수 없음) : 햇는데
2019. 2. 28. 16:42, 정우 : 진짜
2019. 2. 28. 16:42, 정우 : 낯짝에 고기도구울듯
2019. 2. 28. 16:42, 정우 : 존나두꺼워ㅅㅂ
2019. 2. 28. 16:43, (알 수 없음) : ㄹㅇ
2019. 2. 28. 16:43, (알 수 없음) : 이정우캐그한거보바봐
2019. 2. 28. 16:43, (알 수 없음) : 존나웃김
2019. 2. 28. 16:43, 정우 : 봤음
2019. 2. 28. 16:43, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 16:44, (알 수 없음) : 이모티콘 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 16:44, (알 수 없음) : dksl
2019. 2. 28. 16:44, (알 수 없음) : ㅏ니이모티콘갑자기
2019. 2. 28. 16:44, (알 수 없음) : 이거왜나감
2019. 2. 28. 16:44, 정우 : 변태같애
2019. 2. 28. 16:44, 정우 : 아이제
2019. 2. 28. 16:44, 정우 : 공부한다
2019. 2. 28. 16:44, 정우 : 진짜 좀 해야할때가온듯
2019. 2. 28. 16:44, 정우 : 이모티콘 
2019. 2. 28. 16:46, (알 수 없음) : 흐음
2019. 2. 28. 16:46, (알 수 없음) : 나도가야겟다연구실로
2019. 2. 28. 16:46, (알 수 없음) : 주택청약통장
2019. 2. 28. 16:47, (알 수 없음) : 샵검색: #우리은행 주택청약통장
2019. 2. 28. 16:48, (알 수 없음) : 흐음
2019. 2. 28. 16:49, 원준오빠 : 어 나 저거 있윰
2019. 2. 28. 16:51, 경민 : 나도이미잇음
2019. 2. 28. 16:51, (알 수 없음) : 나이번에
2019. 2. 28. 16:51, 경민 : 주택청약다들하지안음
2019. 2. 28. 16:51, (알 수 없음) : 자취
2019. 2. 28. 16:51, (알 수 없음) : 보증금땜에
2019. 2. 28. 16:51, (알 수 없음) : 깨고만들엇는ㄷ
2019. 2. 28. 16:51, (알 수 없음) : 아니근데이거통장에
2019. 2. 28. 16:51, (알 수 없음) : 얼마이상못넣는그런것도잇나
2019. 2. 28. 16:51, (알 수 없음) : 이모티콘 
2019. 2. 28. 17:08, 원준오빠 : 공차 언니 보고오
2019. 2. 28. 17:08, 원준오빠 : ㅁ
2019. 2. 28. 17:08, 원준오빠 : 사진
2019. 2. 28. 17:08, 원준오빠 : 엿 샀음
2019. 2. 28. 17:09, 양우성 : 빅엿
2019. 2. 28. 17:10, 원준오빠 : 포인트는
2019. 2. 28. 17:10, 원준오빠 : 다시 와이어이어폰의 세계로 회귀한
2019. 2. 28. 17:10, 원준오빠 : 나 ㅠ
2019. 2. 28. 17:10, 양우성 : 또루룩ㅠㅠ
2019. 2. 28. 17:11, (알 수 없음) : ㅁㅊ
2019. 2. 28. 17:11, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 17:11, (알 수 없음) : 엿산거
2019. 2. 28. 17:11, (알 수 없음) : 존나
2019. 2. 28. 17:11, (알 수 없음) : 큐
2019. 2. 28. 17:13, 원준오빠 : 심지어 이거
2019. 2. 28. 17:13, 원준오빠 : 가평 잣 엿임
2019. 2. 28. 17:13, 원준오빠 : 가평 잣엿이 아니었으면 안샀을지도 모름
2019. 2. 28. 17:13, (알 수 없음) : 가평사람
2019. 2. 28. 17:13, (알 수 없음) : 등판하라
2019. 2. 28. 17:13, (알 수 없음) : 업네
2019. 2. 28. 17:13, (알 수 없음) : ㅠ
2019. 2. 28. 17:13, 경민 : 오빠
2019. 2. 28. 17:13, 원준오빠 : 아니야 사실 가평 잣 엿이 아니었아도 샀을거야 ㅠ
2019. 2. 28. 17:13, 원준오빠 : 응
2019. 2. 28. 17:13, 경민 : 잘생겨졋네
2019. 2. 28. 17:13, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 17:13, 원준오빠 : ㄱㅅ
2019. 2. 28. 17:14, 원준오빠 : 마스크 잔뜩 사놨음
2019. 2. 28. 17:14, 경민 : ㅋㅌㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 17:34, Sekwang Ludan : 사진
2019. 2. 28. 17:34, Sekwang Ludan : ㅋㅋㅋ 북한여행 견적받음 
2019. 2. 28. 17:34, 재환오빠 : ㄷㄷ
2019. 2. 28. 17:34, Sekwang Ludan : 4월부터 금강산도 열린다던데 시바 오늘 결렬돼서 안되는거 아님?
2019. 2. 28. 17:35, 경민 : 정은이암살좀 ㅠ
2019. 2. 28. 17:35, (알 수 없음) : 북한인증샷됨?
2019. 2. 28. 17:35, 재환오빠 : 예비군안가도될줄알고쫌설렛는데
2019. 2. 28. 17:36, 재환오빠 : 정은이개새기
2019. 2. 28. 17:36, Sekwang Ludan : ㅋㅋㅋ 사진은 지정된 곳에서만 찍게 한다던데?
2019. 2. 28. 17:36, Sekwang Ludan : ㅋㅋㅋㅋㅋ 예비군... 
2019. 2. 28. 17:37, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 17:37, (알 수 없음) : 뭐할거처럼하든만 결렬됐넴
2019. 2. 28. 17:37, (알 수 없음) : 이제서야기사좀봤다
2019. 2. 28. 17:37, (알 수 없음) : 엥지진남
2019. 2. 28. 17:37, Sekwang Ludan : 헐 지진??
2019. 2. 28. 17:38, Sekwang Ludan : ㅋㅋㅋㅋ 바로 지하핵실험 한거 아님?
2019. 2. 28. 17:38, (알 수 없음) : 아니네
2019. 2. 28. 17:38, (알 수 없음) : 어제지진났었네
2019. 2. 28. 17:38, (알 수 없음) : 백령도에
2019. 2. 28. 17:38, Sekwang Ludan : 아 ㅇㅋㅇㅋ 
2019. 2. 28. 17:39, Sekwang Ludan : 아놔 ㅅㅂ 평양은 못갈수도 있다는데?
2019. 2. 28. 17:40, (알 수 없음) : ㅂㅇ,,
2019. 2. 28. 17:40, (알 수 없음) : 평양,,,ㅂㅇ,,,,
2019. 2. 28. 17:46, 양우성 : 평양냉면 먹어야되눈디ㅠ
2019. 2. 28. 17:46, 양우성 : ㄲㅂ
2019. 2. 28. 17:50, Sekwang Ludan : 아니야 아닐꺼야 좀더기다려 봐야지 ㅋㅋ 정세에 따라서 워낙에 변동이 많으니까 
2019. 2. 28. 18:05, 원준오빠 : 퓨
2019. 2. 28. 18:34, 정우 : 뭐야미친 결렬됐네
2019. 2. 28. 18:34, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 18:34, 정우 : 이제알았네....
2019. 2. 28. 18:48, 원준오빠 : 김빠지쥬..
2019. 2. 28. 19:02, 정우 : 글게....
2019. 2. 28. 19:02, 정우 : 그렇게 대난리를치더니
2019. 2. 28. 19:02, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 19:02, 정우 : 그런의미에서
2019. 2. 28. 19:02, 정우 : 저녁추천좀
2019. 2. 28. 19:02, 빠충 : 짬뽕
2019. 2. 28. 19:02, 정우 : 매운거패스
2019. 2. 28. 19:02, 정우 : 요즘 매운거많이먹었더니 장안좋음
2019. 2. 28. 19:02, 빠충 : 백짬뽕
2019. 2. 28. 19:02, 정우 : 이모티콘 
2019. 2. 28. 19:02, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 19:03, 빠충 : 삼선짬뽕...?
2019. 2. 28. 19:03, 빠충 : 아
2019. 2. 28. 19:03, 정우 : 않이.......
2019. 2. 28. 19:03, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 19:03, 빠충 : 매니저님 나간 틈 타서
2019. 2. 28. 19:03, 빠충 : 노래 목록에
2019. 2. 28. 19:03, 빠충 : 알앤비 좀 넣어놨다
2019. 2. 28. 19:03, 빠충 : 아 드럼소리 들리니까 좀 낫네
2019. 2. 28. 19:03, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 19:04, 빠충 : 여기 너무 늘어지는 노래만 나와서
2019. 2. 28. 19:04, 빠충 : 흐느적잼
2019. 2. 28. 19:04, 정우 : 잠오겠다
2019. 2. 28. 19:04, 정우 : 잠각
2019. 2. 28. 19:04, 빠충 : ㅇㅇㅇ
2019. 2. 28. 19:04, 빠충 : 디 인터넷 노래 넣어놓음
2019. 2. 28. 19:04, 빠충 : 몰래몰래
2019. 2. 28. 19:04, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2019. 2. 28. 19:04, 정우 : 개이득
2019. 2. 28. 19:04, 정우 : 아 저녁
2019. 2. 28. 19:04, 빠충 : 다음엔 앤더슨팩 노래 넣어야지
2019. 2. 28. 19:04, 정우 : 원래
2019. 2. 28. 19:04, 빠충 : 저녁 그거 드셈
2019. 2. 28. 19:04, 정우 : 고기아니면 회에
2019. 2. 28. 19:04, 정우 : 소주였는데
2019. 2. 28. 19:04, 빠충 : ㅇㅇ
2019. 2. 28. 19:04, 정우 : ㅠ
2019. 2. 28. 19:04, 정우 : 날아감
2019. 2. 28. 19:04, 빠충 : 회덮밥
2019. 2. 28. 19:05, 빠충 : 육회비빔밥
2019. 2. 28. 19:05, 정우 : 어제먹음
2019. 2. 28. 19:05, 빠충 : ㅇㅋ
2019. 2. 28. 19:05, 빠충 : 탕수육에 짜장면
2019. 2. 28. 19:05, 정우 : 어
2019. 2. 28. 19:05, 정우 : 괜찮은데
2019. 2. 28. 19:05, 빠충 : 귯
2019. 2. 28. 19:05, 정우 : 근데동생이 먹으려나
2019. 2. 28. 19:05, 빠충 : 먹음먹음
2019. 2. 28. 19:05, 정우 : 하 성가신놈
2019. 2. 28. 19:05, 빠충 : 내가 물어봄
2019. 2. 28. 19:05, 재환오빠 : 김치찜
2019. 2. 28. 19:05, 정우 : 오 김치찜 맛있겠다
2019. 2. 28. 19:05, 빠충 : 갈비찜
2019. 2. 28. 19:05, 정우 : 갈비찜 맛있겠다
2019. 2. 28. 19:06, 정우 : 갈비찜덮밥
2019. 2. 28. 19:06, 정우 : 생각나네
2019. 2. 28. 19:06, 빠충 : ?!
2019. 2. 28. 19:06, 재환오빠 : 갈비김치찜 ㄱ
