Talk_2021.8.24 13:11-79.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 1월 20일 수요일
2021. 1. 20. 10:56, 경민 : 10점받고싶누
2021. 2. 4. 13:37, 부그뷰 : yoja붙여!
2021. 2. 4. 13:37, abyss오재 : 부경보요자
2021. 2. 4. 13:37, 부그뷰 : 미노이
2021. 2. 4. 13:37, 부그뷰 : 이모티콘 
2021. 2. 4. 13:37, abyss오재 : 미노이요자
2021. 2. 4. 14:26, 경민 : 아니
2021. 2. 4. 14:26, 경민 : 만으로해도
2021. 2. 4. 14:26, 경민 : 왜케나이많아ㅠ
2021. 2. 4. 14:26, 경민 : 짜증나게ㅠ
2021. 2. 4. 14:38, abyss오재 : 안많아
2021. 2. 4. 14:38, abyss오재 : 뭐가많아
2021. 2. 4. 14:40, 경민 : 많자나ㅠ
2021. 2. 4. 14:41, abyss오재 : 개어림
2021. 2. 4. 14:41, abyss오재 : 사회에서
2021. 2. 4. 14:41, 경민 : 안어리뮾
2021. 2. 4. 14:41, abyss오재 : 막내잖아
2021. 2. 4. 14:41, abyss오재 : 니 막내아님?
2021. 2. 4. 14:41, 경민 : 맞음
2021. 2. 4. 14:41, 경민 : 근데
2021. 2. 4. 14:41, abyss오재 : 그럼 어림
2021. 2. 4. 14:41, 경민 : 메생에서개늙은이임
2021. 2. 4. 14:41, 경민 : ';
2021. 2. 4. 14:41, abyss오재 : ㅇㅈ
2021. 2. 4. 14:41, 경민 : 다들
2021. 2. 4. 14:41, 경민 : 자기나이많다해놓고
2021. 2. 4. 14:41, 경민 : 까보면 ㅅㅂ 내가젤만아
2021. 2. 4. 14:41, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 14:41, 경민 : 짱나게
2021. 2. 4. 14:42, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 14:43, 빠충 : 나도 비슷했는데 처음 입사하고
2021. 2. 4. 14:43, 빠충 : 나이 슬쩍 들었는데 우리 팀이서 내가 두번째로 많아벌이고
2021. 2. 4. 14:43, 경민 : ?ㄹㅇ?
2021. 2. 4. 14:43, 경민 : 거기오ㅓㅐ케
2021. 2. 4. 14:43, 경민 : 어림?
2021. 2. 4. 14:43, 빠충 : 한국에 있는 팀원 한정이긴 함
2021. 2. 4. 14:44, 빠충 : 미국에 있는 사람들은 나이가 좀 더 있음
2021. 2. 4. 14:44, 정우 : 영하네
2021. 2. 4. 14:45, abyss오재 : 짱어리네
2021. 2. 4. 14:47, 빠충 : 그거 알지
2021. 2. 4. 14:47, 빠충 : 그래서 에너지 못따라가겠음
2021. 2. 4. 14:47, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 14:48, abyss오재 : 오호홍
2021. 2. 4. 14:48, 빠충 : 어후 열심히들이여
2021. 2. 4. 14:48, abyss오재 : 낼세미나취소됐다
2021. 2. 4. 14:48, 빠충 : 하는 생각
2021. 2. 4. 14:48, abyss오재 : 다만들어놨는데 2주내내 꿀빨수잇군
2021. 2. 4. 14:48, 빠충 : 아좋겠다
2021. 2. 4. 14:48, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 14:48, 경민 : -메- ㄱ
2021. 2. 4. 14:48, 빠충 : -메-
2021. 2. 4. 14:49, 빠충 : 야 근데 그거 좀 재밌음
2021. 2. 4. 14:49, 빠충 : QA하고 지라티켓끊는거
2021. 2. 4. 14:49, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 14:49, 빠충 : 약간 퀘스트 주는 npc된 느낌
2021. 2. 4. 14:49, 경민 : ㅇㅈ
2021. 2. 4. 14:49, 경민 : 나는
2021. 2. 4. 14:49, 경민 : 쿠ㅔ스트받고깨는거
2021. 2. 4. 14:49, 경민 : 주로함;
2021. 2. 4. 14:49, 경민 : 절대안줌
2021. 2. 4. 14:49, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 14:49, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ나는 못 깨니까
2021. 2. 4. 14:49, 빠충 : 스샷찍어서 올리고 시킴
2021. 2. 4. 16:35, 부그뷰 : 오늘 일찍퇴근각이다
2021. 2. 4. 16:35, 부그뷰 : 각본다
2021. 2. 4. 16:39, 정우 : ㅊㅋㅊㅋ
2021. 2. 4. 16:39, 빠충 : 회사 사람들 눈치보는거 좀 웃기네
2021. 2. 4. 16:39, 정우 : 나도 퇴근해야지
2021. 2. 4. 16:40, 빠충 : 스케쥴 공유 바란다고 한 글에 네시간째 아무도 답장 없다가
2021. 2. 4. 16:40, 빠충 : 내가 답글 하나 달고 10분내로 와르르 다 다는거
2021. 2. 4. 16:40, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 16:40, 빠충 : 쩝스
2021. 2. 4. 16:40, 부그뷰 : 스케줄 공유함?
2021. 2. 4. 16:41, 부그뷰 : 휴가만 공유하먄되지않누
2021. 2. 4. 16:41, 빠충 : ㄴㄴ이번에 새로 업데이트 되는 기능 쓰는 이벤트 일정
2021. 2. 4. 16:41, 빠충 : 물어보는 거였음
2021. 2. 4. 16:41, 빠충 : 나는 지나가면서 이거 기획중이다만 들어서
2021. 2. 4. 16:42, 빠충 : 담당자 소환해놓고 감
2021. 2. 4. 16:43, 이석준 : 빠충 바보
2021. 2. 4. 16:43, 빠충 : 아 자존감 떨어져있는데
2021. 2. 4. 16:43, 빠충 : 더 떨구네 새기가
2021. 2. 4. 16:43, 이석준 : 헐
2021. 2. 4. 16:43, 경민 : 이석준이나빴누
2021. 2. 4. 16:44, 이석준 : ㄹㅇ
2021. 2. 4. 16:44, 경민 : ㅉㅉ반성해라
2021. 2. 4. 16:44, 경민 : ㄽㅈ
2021. 2. 4. 16:49, 부그뷰 : 빠충천재
2021. 2. 4. 16:50, 빠충 : ❤
2021. 2. 4. 16:50, 경민 : 아니빠충
2021. 2. 4. 16:50, 경민 : ㄹㅇ
2021. 2. 4. 16:50, 경민 : 똑ㄱ똒해버리는데
2021. 2. 4. 16:51, 경민 : 왜떨어져있누!
2021. 2. 4. 16:51, 빠충 : ㄴㄴ멍청해부러
2021. 2. 4. 16:51, 경민 : 지식왕빠충아니ㅜㄴ?
2021. 2. 4. 16:51, 빠충 : 영어만 잘하는데
2021. 2. 4. 16:51, 빠충 : 마케팅하라고 데려다놓으니
2021. 2. 4. 16:51, 빠충 : 당황
2021. 2. 4. 16:51, 빠충 : ㅎ
2021. 2. 4. 16:52, 부그뷰 : bj 가자
2021. 2. 4. 16:52, 빠충 : 슈벌
2021. 2. 4. 16:53, 빠충 : 그거 머라하지
2021. 2. 4. 16:53, 빠충 : 샵검색: #임포스터 신드롬
2021. 2. 4. 16:53, 빠충 : 이거 약간 옴 요새
2021. 2. 4. 16:53, 경민 : 빠충너
2021. 2. 4. 16:53, 경민 : 임포냐?
2021. 2. 4. 16:54, 빠충 : ㅁㅈ
2021. 2. 4. 16:54, 빠충 : 벤트충임
2021. 2. 4. 16:54, 경민 : 왜주겨써~
2021. 2. 4. 16:55, 빠충 : 아 꼴받게하자너~
2021. 2. 4. 16:56, 이석준 : 다 주겨버려~
2021. 2. 4. 16:56, 빠충 : 슬랙 dm올때마다 진심 하고싶자너~
2021. 2. 4. 16:56, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 16:57, 경민 : ㄹㅇ
2021. 2. 4. 16:57, 경민 : dm오면 ;;;개쫄려
2021. 2. 4. 16:57, 경민 : 놀고있는데
2021. 2. 4. 16:57, 빠충 : 진심
2021. 2. 4. 16:57, 빠충 : 안녕하세요! 오면
2021. 2. 4. 16:57, 빠충 : 심장이 빠운스
2021. 2. 4. 16:58, 이석준 : 니가 갑인척하는거야
2021. 2. 4. 16:58, 이석준 : 무슨일이신데요?
2021. 2. 4. 16:58, 이석준 : 무슨일을 시키게요?
2021. 2. 4. 16:58, 이석준 : 이거요?
2021. 2. 4. 16:58, 이석준 : 제가요?
2021. 2. 4. 16:58, 빠충 : 🤷🏽
2021. 2. 4. 16:58, 빠충 : 저게 이거임 딱
2021. 2. 4. 16:58, 빠충 : 제가요?🤷🏽
2021. 2. 4. 17:06, 정우 : ㅌㅌㄱㄸ
2021. 2. 4. 17:16, 경민 : ㅊㅋㅊㅋ
2021. 2. 4. 17:16, 정우 : ㄱㅅㄱㅅ
2021. 2. 4. 17:16, 정우 : 와오늘은
2021. 2. 4. 17:16, 정우 : 지하철에
2021. 2. 4. 17:16, 정우 : 햄버거빌런있어
2021. 2. 4. 17:16, 정우 : 앞자리할머니 햄버거먹어
2021. 2. 4. 17:17, 정우 : ㅡㅡ
2021. 2. 4. 17:17, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 17:17, 경민 : 너왜맨날
2021. 2. 4. 17:17, 경민 : 집갈때마다
2021. 2. 4. 17:17, 경민 : 빌런있누?
2021. 2. 4. 17:17, 정우 : 몰라
2021. 2. 4. 17:17, 정우 : 다이나믹퇴근길
2021. 2. 4. 17:17, 정우 : 다이나믹3호선
2021. 2. 4. 17:34, 부그뷰 : 후후 퇴근
2021. 2. 4. 17:34, 부그뷰 : 머리자르러가야지
2021. 2. 4. 17:42, 정우 : ㅊㅋㅊㅋ
2021. 2. 4. 18:23, 원준오빠 : 와
2021. 2. 4. 18:23, 원준오빠 : ㅎㅇㅎㅇ
2021. 2. 4. 18:23, 원준오빠 : 지금인난거 실화?
2021. 2. 4. 18:25, 빠충 : 엥
2021. 2. 4. 18:25, 빠충 : ㅎㅇㅎㅇ
2021. 2. 4. 18:25, 빠충 : 겨울은 어두워서
2021. 2. 4. 18:25, 빠충 : 그럴수도 있긴 해
2021. 2. 4. 18:29, 부그뷰 : 아침 6시인가봐
2021. 2. 4. 18:30, 원준오빠 : 어휴 다행이다
2021. 2. 4. 18:30, 원준오빠 : 밤인줄알았자나
2021. 2. 4. 18:37, 부그뷰 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 18:48, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 18:58, abyss오재 : ㅎㅇㅎㅇ
2021. 2. 4. 18:59, abyss오재 : 오늘학교일찍가야지
2021. 2. 4. 18:59, 빠충 : ㅎㅇ
2021. 2. 4. 18:59, 빠충 : 배고픔
2021. 2. 4. 19:00, 빠충 : 재택 퇴근하고 여자친구 보러 나옴
2021. 2. 4. 19:00, 정우 : ㅊㅋㅊㅋ
2021. 2. 4. 19:10, abyss오재 : 퇴근한다
2021. 2. 4. 19:10, abyss오재 : 이제여기올일없다
2021. 2. 4. 19:10, abyss오재 : ㅅㅂ
2021. 2. 4. 19:15, abyss오재 : 개봐.....
2021. 2. 4. 19:15, abyss오재 : 사진
2021. 2. 4. 19:18, 원준오빠 : 므악
2021. 2. 4. 19:18, 원준오빠 : 행복하갰덩
2021. 2. 4. 19:30, 원준오빠 : 아침부터 코인캐고 하루를 시작해볼까
2021. 2. 4. 19:31, 부그뷰 : 부지런하네 형
2021. 2. 4. 19:31, 부그뷰 : 사진
2021. 2. 4. 19:31, 부그뷰 : 이거도전 ㄱ
2021. 2. 4. 20:11, 정우 : ㅊㅋㅊㅋ
2021. 2. 4. 20:11, 정우 : 내일휴가임?
2021. 2. 4. 20:20, abyss오재 : ㅇㅇㅇㅇ
2021. 2. 4. 20:20, abyss오재 : 바이바이,,,
2021. 2. 4. 20:21, abyss오재 : 사진
2021. 2. 4. 20:33, abyss오재 : 삼년반자리끝난거다
2021. 2. 4. 20:35, abyss오재 : ㅁㅊㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 20:35, abyss오재 : 석궁 앱솔랩스 7백만웡실화냐
2021. 2. 4. 20:35, abyss오재 : 아니5백마넌이넼ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 20:37, 경민 : 일리움건
2021. 2. 4. 20:37, 경민 : 100마넌임
2021. 2. 4. 20:47, 부그뷰 : 사진
2021. 2. 4. 20:47, 부그뷰 : 평택시 왜 이뤔
2021. 2. 4. 20:47, abyss오재 : 뱃나넝ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 20:47, abyss오재 : 저거어디나라말이얔ㅋㅋ
2021. 2. 4. 20:49, 원준오빠 : ㅂㅇㅂㅇ
2021. 2. 4. 20:49, 원준오빠 : 아련돋네
2021. 2. 4. 20:49, 원준오빠 : 똥이라도 싸지르고 나오라!
2021. 2. 4. 20:49, 원준오빠 : ㅈㅅ
2021. 2. 4. 20:52, abyss오재 : 형언제나감
2021. 2. 4. 20:54, 원준오빠 : 나 버닝썹으로 옴
2021. 2. 4. 20:54, abyss오재 : 누가요새
2021. 2. 4. 20:54, abyss오재 : 버닝에서키우나ㅡㅠㅡ
2021. 2. 4. 20:55, abyss오재 : 형 백찍엇름
2021. 2. 4. 20:55, abyss오재 : 형님늬은혜덕분입니다
2021. 2. 4. 20:55, 원준오빠 : 호홍
2021. 2. 4. 20:56, 원준오빠 : 난 버닝에서 키워서 가야지 신귱
2021. 2. 4. 20:56, 정우 : 신구웅신구웅
2021. 2. 4. 20:56, 원준오빠 : 아 재로키워야지
2021. 2. 4. 20:56, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 21:06, abyss오재 : 70퍼 4연속실패함
2021. 2. 4. 21:06, abyss오재 : ㅅㅂ;;?
2021. 2. 4. 21:07, abyss오재 : 아이캐릭터개똥캐네 ㅅㅂ
2021. 2. 4. 21:08, abyss오재 : 1성실패두번실화냐
2021. 2. 4. 21:10, abyss오재 : 와칠십퍼세벋중두번실퍀ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 21:10, abyss오재 : 개망캐릭터야
2021. 2. 4. 21:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 21:12, 정우 : ㅊㅋㅊㅋ
2021. 2. 4. 21:24, abyss오재 : 아허리아파서
2021. 2. 4. 21:24, abyss오재 : 등에기대서하는중
2021. 2. 4. 21:24, abyss오재 : 이정도거리감좋네
2021. 2. 4. 21:24, 정우 : 의지가
2021. 2. 4. 21:24, abyss오재 : 사진
2021. 2. 4. 21:24, 정우 : 강력하네
2021. 2. 4. 21:24, 정우 : 오구웅오구웅
2021. 2. 4. 21:24, abyss오재 : 백십오이
2021. 2. 4. 21:25, 정우 : 빠르네이
2021. 2. 4. 21:28, abyss오재 : 오늘 140만하고꺼야지
2021. 2. 4. 22:05, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 22:05, 원준오빠 : 보는내가 붕편
2021. 2. 4. 22:05, 원준오빠 : 르네ㅗ이드 겥!
2021. 2. 4. 22:14, abyss오재 : 아오안보여서130찍고끔
2021. 2. 4. 22:15, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 22:15, 원준오빠 : ㅅㄱㅅㄱ
2021. 2. 4. 22:18, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 4. 22:18, abyss오재 : 오구웅오구웅
2021. 2. 4. 22:18, abyss오재 : 이모티콘 
2021. 2. 4. 22:38, 원준오빠 : 217!!
2021. 2. 4. 22:41, 경민 : 올~~~~~
2021. 2. 4. 22:41, 경민 : 개잘해~~~
2021. 2. 4. 22:41, 경민 : 아니나 ㅅㅂ ;
2021. 2. 4. 22:41, 경민 : 뾰족귀여우마을에서
2021. 2. 4. 22:41, 경민 : 디졋어 ㅜㅎ;
2021. 2. 4. 22:47, 원준오빠 : 엉
2021. 2. 4. 22:47, 원준오빠 : 은월의 제2고향 아니뉴
2021. 2. 4. 22:51, 정우 : 아 치킨존맛이네
2021. 2. 4. 22:53, 원준오빠 : ㅁㅊ
2021. 2. 4. 22:53, 원준오빠 : 나도 시킴;;
2021. 2. 4. 22:54, 정우 : 개굿;;;;
2021. 2. 4. 22:54, 정우 : 잘통하누
2021. 2. 4. 22:54, 정우 : 이모티콘 
2021. 2. 4. 23:01, 원준오빠 : 아잇 눈 안녹아서
2021. 2. 4. 23:01, 원준오빠 : 취소당함 ;
2021. 2. 4. 23:04, 정우 : ㅠㅠ
2021. 2. 4. 23:04, 정우 : ㄲㅂ

2021년 2월 5일 금요일
2021. 2. 5. 00:34, 원준오빠 : 사진
2021. 2. 5. 00:34, 원준오빠 : 점심 조졋다
2021. 2. 5. 00:45, 재환오빠 : 오 재민이형 결혼하셨었네
2021. 2. 5. 00:47, 경민 : ㅅㅂ
2021. 2. 5. 00:47, 경민 : ㅈ개존맛이겟다
2021. 2. 5. 00:51, abyss오재 : 저녁에만나형
2021. 2. 5. 01:00, 원준오빠 : 씨야!
2021. 2. 5. 01:07, 이석준 : 갑자기?!
2021. 2. 5. 02:04, 재환오빠 : 생일이라 카톡에떴는데 와이프분 계시길래 ㅎㅎ
2021. 2. 5. 02:34, 이석준 : 오우 쒯....
2021. 2. 5. 10:11, abyss오재 : 사진
2021. 2. 5. 10:11, 정우 : ㅎㅇㅎㅇ
2021. 2. 5. 10:11, 원준오빠 : ㅝ여 얘는
2021. 2. 5. 10:12, 정우 : 그러고보니 아침인사를안했네
2021. 2. 5. 10:12, 원준오빠 : ㅎㅇㅎㅇ
2021. 2. 5. 10:12, 정우 : 원준이형 지금 밤임?
2021. 2. 5. 10:12, 원준오빠 : 3시간 잤음 ㅎ..
2021. 2. 5. 10:12, 정우 : 어우
2021. 2. 5. 10:12, abyss오재 : 사진
2021. 2. 5. 10:12, 정우 : 시차적응쉽지않네
2021. 2. 5. 10:13, 정우 : 뭐하냐오재훈
2021. 2. 5. 10:13, abyss오재 : 라인프렌즈랑
2021. 2. 5. 10:13, abyss오재 : 잇지랑
2021. 2. 5. 10:13, 정우 : 출근안한다고
2021. 2. 5. 10:13, 원준오빠 : ㅇ..ㅇ..0
2021. 2. 5. 10:13, 정우 : 자랑하냐
2021. 2. 5. 10:13, abyss오재 : 콜라보햇는데
2021. 2. 5. 10:13, abyss오재 : 절라귀여웡
2021. 2. 5. 10:13, 원준오빠 : 아
2021. 2. 5. 10:13, 원준오빠 : 대박
2021. 2. 5. 10:13, 정우 : 아
2021. 2. 5. 10:13, 정우 : ㅁㅊ
2021. 2. 5. 10:13, abyss오재 : 리아존나닮앗지
2021. 2. 5. 10:13, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 5. 10:13, 정우 : ㅁㅊ알고보니까
2021. 2. 5. 10:13, 원준오빠 : ㅇㅇㅇㅇㅇ
2021. 2. 5. 10:13, 정우 : 존나똑같네
2021. 2. 5. 10:13, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ자기가자기그림
2021. 2. 5. 10:13, 정우 : 아
2021. 2. 5. 10:13, 정우 : 리아가 그린거임?
2021. 2. 5. 10:13, 정우 : 잘그리네
2021. 2. 5. 10:13, abyss오재 : 샵검색: #Itzy 라인
2021. 2. 5. 10:13, abyss오재 : 햇 저건 예지
2021. 2. 5. 10:13, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 5. 10:14, abyss오재 : 다자기같이그림
2021. 2. 5. 10:14, abyss오재 : 샵검색: #Itzy 라인
2021. 2. 5. 10:14, abyss오재 : 유나
2021. 2. 5. 10:14, abyss오재 : 샵검색: #Itzy 라인
2021. 2. 5. 10:14, abyss오재 : 류진
2021. 2. 5. 10:14, abyss오재 : 샵검색: #Itzy 라인
2021. 2. 5. 10:14, abyss오재 : 채령
2021. 2. 5. 10:14, abyss오재 : 샵검색: #Itzy 라인
2021. 2. 5. 10:14, abyss오재 : ㅇㅇ다얘네들이초안그리고
2021. 2. 5. 10:14, abyss오재 : 안에디자이너들이 작업햇대
2021. 2. 5. 10:14, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ종나귀여워
2021. 2. 5. 10:15, abyss오재 : 원준니형
2021. 2. 5. 10:15, abyss오재 : 아까8시에한잔하기로햇는대
2021. 2. 5. 10:15, abyss오재 : 나도자고형도잠
2021. 2. 5. 10:15, abyss오재 : 얘가젤귀여어
2021. 2. 5. 10:16, 정우 : ㅇㅈ
2021. 2. 5. 10:16, 정우 : ㅁㅊ
2021. 2. 5. 10:18, abyss오재 : 님들이거봄
2021. 2. 5. 10:19, abyss오재 : 샵검색: #
2021. 2. 5. 10:19, abyss오재 : 갸웃김
2021. 2. 5. 10:19, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 5. 10:19, abyss오재 : 귀여워
2021. 2. 5. 10:30, 원준오빠 : 후 맞누
2021. 2. 5. 10:30, 원준오빠 : 일단 지금 아침인데
2021. 2. 5. 10:31, 원준오빠 : 오후에 잠들면
2021. 2. 5. 10:31, 원준오빠 : 다시 미국가는거여
2021. 2. 5. 10:32, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 5. 10:32, 정우 : ㅁㅊ개웃기네
2021. 2. 5. 10:33, abyss오재 : 손쉽게
2021. 2. 5. 10:33, abyss오재 : 미국가고좋은데
2021. 2. 5. 10:33, abyss오재 : 천잰가봐역시형은
2021. 2. 5. 10:33, abyss오재 : 미국동안들이고가는방법아네
2021. 2. 5. 10:35, 원준오빠 : 마..
2021. 2. 5. 10:35, 원준오빠 : 세계여행 여럽지 않습니다 여러분..
2021. 2. 5. 10:35, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 5. 10:36, abyss오재 : 5분치우고5️⃣
2021. 2. 5. 10:36, abyss오재 : 십분눕고
2021. 2. 5. 10:36, abyss오재 : 반복중
2021. 2. 5. 10:36, abyss오재 : 이모티콘 
2021. 2. 5. 10:41, abyss오재 : 샵검색: #대한항공 46R
2021. 2. 5. 10:41, 원준오빠 : 뭐야
2021. 2. 5. 10:41, abyss오재 : 샵검색: #대한항공 46R
2021. 2. 5. 10:42, abyss오재 : 유상증자가뭐야 ㅅㅂ
2021. 2. 5. 10:42, abyss오재 : 어료운거나왓다
2021. 2. 5. 10:42, abyss오재 : 글읽고옴 ㅠ
2021. 2. 5. 10:43, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋ켕ㅋㅇ케
2021. 2. 5. 10:44, abyss오재 : 사진 2장
2021. 2. 5. 10:44, abyss오재 : 신주를받을까 매도할까
2021. 2. 5. 10:44, abyss오재 : 흐으으으음
2021. 2. 5. 10:44, abyss오재 : 저쯤고민해봐야겟균
2021. 2. 5. 10:45, 경민 : ㅁㅁㅁㅁ
2021. 2. 5. 10:45, 경민 : ㅋㅋㅋㅋㅋ
2021. 2. 5. 10:45, 경민 : 쥬식왕이누?
2021. 2. 5. 10:45, 원준오빠 : 아한
2021. 2. 5. 10:45, 원준오빠 : 아항
2021. 2. 5. 10:45, 경민 : 난옜날에
2021. 2. 5. 10:45, 경민 : 다른주식저런거
2021. 2. 5. 10:45, 경민 : 받은적있는ㄷ
2021. 2. 5. 10:46, 경민 : 아침에폭등하더니
2021. 2. 5. 10:46, 경민 : 그때팔았는데그이후떢락개꿀
2021. 2. 5. 10:47, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 5. 10:47, abyss오재 : 신주식도받아놔야겟다
2021. 2. 5. 10:47, abyss오재 : 대한항공주주를
2021. 2. 5. 10:47, abyss오재 : 더늘리겟어
2021. 2. 5. 10:52, 원준오빠 : 좋아
2021. 2. 5. 10:56, abyss오재 : 아니다
2021. 2. 5. 10:56, abyss오재 : 팔아야지
2021. 2. 5. 10:56, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 5. 10:56, abyss오재 : 월급받은거 조금더넣어야겟당
2021. 2. 5. 10:57, abyss오재 : 아 ㅁㅊ
2021. 2. 5. 10:57, abyss오재 : 에스케이티들어갈라고해ㅛ는데
2021. 2. 5. 10:57, abyss오재 : 오늘사퍼올랏네
2021. 2. 5. 10:57, abyss오재 : 대기들어가야지...
2021. 2. 5. 10:59, abyss오재 : 김경민
2021. 2. 5. 10:59, abyss오재 : 에스케이티 매달 4주씩사서
2021. 2. 5. 10:59, abyss오재 : 연말에 36마넌배당금받는거꿀딱?
2021. 2. 5. 11:19, 경민 : ㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 5. 11:19, 경민 : 연말에
2021. 2. 5. 11:19, 경민 : ㄷ떨어짐
2021. 2. 5. 11:19, 경민 : skt절대안올라진자ㅉ;
2021. 2. 5. 11:22, abyss오재 : 뭐그냥
2021. 2. 5. 11:22, abyss오재 : 배당금장사
2021. 2. 5. 11:23, abyss오재 : 올해36내년72
2021. 2. 5. 11:23, abyss오재 : 내ㅗㅜ년100
2021. 2. 5. 11:23, abyss오재 : 이렇게...
2021. 2. 5. 11:23, abyss오재 : 에스케이티배당금의역사는 김,
2021. 2. 5. 11:23, abyss오재 : ?
2021. 2. 5. 11:23, abyss오재 : 엉제부터 배당금저렇게줫대
2021. 2. 5. 11:28, 경민 : 길걸?
2021. 2. 5. 11:28, 경민 : 몰겠누?
2021. 2. 5. 11:28, 경민 : 쌀때사서모으는게이득이긴한데
2021. 2. 5. 11:28, 경민 : 지금비쌎ㄶ우
2021. 2. 5. 11:31, abyss오재 : 그렇긴해
2021. 2. 5. 11:31, abyss오재 : 근데지금보니
2021. 2. 5. 11:31, abyss오재 : 상승세각이긴한데
2021. 2. 5. 11:32, abyss오재 : 걍가격신경안쓰고
2021. 2. 5. 11:32, abyss오재 : 배당금만노릴래
2021. 2. 5. 11:32, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 2. 5. 11:32, 경민 : ㅇㅋ
2021. 2. 5. 11:32, abyss오재 : 몇년내내매달사다보면
2021. 2. 5. 11:32, 경민 : 그러셈
2021. 2. 5. 11:32, abyss오재 : 거기서 거기로 물타기되지
2021. 2. 5. 11:32, abyss오재 : 않을까란생각
2021. 2. 5. 11:32, 경민 : 군대'
2021. 2. 5. 11:32, 경민 : 근데
2021. 2. 5. 11:32, 경민 : 우리호ㅣ사요새
2021. 2. 5. 11:32, 경민 : 분사이슈있음
2021. 2. 5. 11:32, 경민 : 참고하셈
