Talk_2021.8.24 13:11-70.txt
저장한 날짜 : 2021. 8. 24. 13:13



2020년 5월 27일 수요일
2020. 5. 27. 13:22, 빠충 : 니 뭐했는데 이래 물렸냐
2020. 6. 3. 17:45, (알 수 없음) : 이러게되는데
2020. 6. 3. 17:45, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 17:45, (알 수 없음) : 얌전히허리를돌려봄
2020. 6. 3. 17:45, (알 수 없음) : 그럼
2020. 6. 3. 17:45, 원준오빠 : 치타 앨범도 갠춘하네
2020. 6. 3. 17:45, 재환오빠 : 빵댕이 돌려주셈
2020. 6. 3. 17:45, 원준오빠 : 허리?
2020. 6. 3. 17:45, (알 수 없음) : 오케
2020. 6. 3. 17:45, 원준오빠 : ㄷㄷㄷㅈ
2020. 6. 3. 17:45, (알 수 없음) : 빵댕이도돌려
2020. 6. 3. 17:45, 재환오빠 : 이모티콘 
2020. 6. 3. 17:45, (알 수 없음) : 치타
2020. 6. 3. 17:45, (알 수 없음) : 치타근데
2020. 6. 3. 17:45, (알 수 없음) : 뭔가
2020. 6. 3. 17:45, 원준오빠 : 이모티콘 
2020. 6. 3. 17:45, (알 수 없음) : 너무다똑같아
2020. 6. 3. 17:45, (알 수 없음) : 그 특색이 너무 쏀데
2020. 6. 3. 17:45, (알 수 없음) : 그래서다똑같아보임;
2020. 6. 3. 17:45, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 17:46, (알 수 없음) : 걔네가너로살아봣냐!
2020. 6. 3. 17:46, (알 수 없음) : 아니잖아
2020. 6. 3. 17:46, (알 수 없음) : 아님니가걔네로살아봤냐!
2020. 6. 3. 17:46, (알 수 없음) : 아니잖아
2020. 6. 3. 17:46, (알 수 없음) : !
2020. 6. 3. 17:46, (알 수 없음) : 그냥갈길가~이사람저사람이러큥저러큥
2020. 6. 3. 17:46, 원준오빠 : 이번에 째지한 앨범인데
2020. 6. 3. 17:46, (알 수 없음) : 귀엽네
2020. 6. 3. 17:46, (알 수 없음) : 오구래?
2020. 6. 3. 17:46, 원준오빠 : 둘어봄?
2020. 6. 3. 17:46, (알 수 없음) : 블랙
2020. 6. 3. 17:46, 재환오빠 : 모라해도 상관말고
2020. 6. 3. 17:46, (알 수 없음) : 뭐 그거
2020. 6. 3. 17:46, (알 수 없음) : 이앨범인가
2020. 6. 3. 17:46, (알 수 없음) : 찾아보고옴
2020. 6. 3. 17:46, 원준오빠 : 앨범이름이
2020. 6. 3. 17:46, 원준오빠 : 째지
2020. 6. 3. 17:46, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 17:46, 원준오빠 : ㅂㄱㅂ가 좋어합니다
2020. 6. 3. 17:46, 재환오빠 : 째지팩트나 앨범내면 좋겠는데
2020. 6. 3. 17:46, (알 수 없음) : 째지 미스핏
2020. 6. 3. 17:46, (알 수 없음) : 함들어보겟삼니다
2020. 6. 3. 17:47, (알 수 없음) : 좋아할거같네
2020. 6. 3. 17:47, (알 수 없음) : 듣자마자
2020. 6. 3. 17:47, (알 수 없음) : urr
2020. 6. 3. 17:47, 정우 : 재지팩트 lifes like
2020. 6. 3. 17:47, (알 수 없음) : 틀자마자
2020. 6. 3. 17:47, 정우 : 명반
2020. 6. 3. 17:47, (알 수 없음) : 부경보좋아하겟네
2020. 6. 3. 17:47, (알 수 없음) : 생각함
2020. 6. 3. 17:47, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 17:47, (알 수 없음) : 좋네;
2020. 6. 3. 17:47, (알 수 없음) : 좋네;;......
2020. 6. 3. 17:47, (알 수 없음) : ㄱㅅ
2020. 6. 3. 17:48, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 17:49, 원준오빠 : 샵검색: #life's like
2020. 6. 3. 17:49, 원준오빠 : 아하
2020. 6. 3. 17:49, 원준오빠 : 오?
2020. 6. 3. 17:49, 원준오빠 : 놀라움
2020. 6. 3. 17:49, 원준오빠 : 이 앨범에 아는 노래
2020. 6. 3. 17:49, 원준오빠 : 아까워 밖에 없음
2020. 6. 3. 17:49, 원준오빠 : 돌리고 옴
2020. 6. 3. 17:51, (알 수 없음) : 와;
2020. 6. 3. 17:51, (알 수 없음) : 뭐지
2020. 6. 3. 17:51, (알 수 없음) : 치타앨범
2020. 6. 3. 17:51, (알 수 없음) : 조운데?
2020. 6. 3. 17:51, (알 수 없음) : 좁밥재즈랑
2020. 6. 3. 17:51, (알 수 없음) : 느낌이다르네
2020. 6. 3. 17:51, (알 수 없음) : 돈쓴느낌나네
2020. 6. 3. 17:51, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 17:51, (알 수 없음) : 근데 목소리가
2020. 6. 3. 17:51, (알 수 없음) : 내서타일은아니다
2020. 6. 3. 17:51, (알 수 없음) : 쩝
2020. 6. 3. 17:52, (알 수 없음) : 구래도들을거같긴하다
2020. 6. 3. 17:52, (알 수 없음) : 좋네;;
2020. 6. 3. 17:52, 원준오빠 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 17:52, 원준오빠 : 귯귯
2020. 6. 3. 17:53, (알 수 없음) : https://www.quasarzone.com/bbs/qb_saleinfo/views/130660
2020. 6. 3. 18:00, 재환오빠 : 샵검색: #jazzyfact
2020. 6. 3. 18:00, 재환오빠 : 이거도 조음
2020. 6. 3. 18:15, 빠충 : Always Awake
2020. 6. 3. 18:15, 빠충 : 이 앨범인가
2020. 6. 3. 18:18, 재환오빠 : 그건 빈지노앨범임
2020. 6. 3. 18:19, 재환오빠 : 샵검색: #always awake
2020. 6. 3. 18:19, 재환오빠 : 오
2020. 6. 3. 18:20, 재환오빠 : 샵검색: #always awake
2020. 6. 3. 18:20, 재환오빠 : 얘도있지만 다른앨범임
2020. 6. 3. 18:20, 재환오빠 : ㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 18:23, 빠충 : ㅇㅎ
2020. 6. 3. 18:23, 빠충 : 그거 도끼 버전도 좋은데
2020. 6. 3. 19:00, 정우 : 엥
2020. 6. 3. 19:00, 정우 : 처음듣는듯
2020. 6. 3. 19:00, 정우 : always awake 진짜
2020. 6. 3. 19:00, 정우 : 최고야
2020. 6. 3. 19:28, 원준오빠 : ㄹㅇ
2020. 6. 3. 19:28, 원준오빠 : ㅆㅇㅈ
2020. 6. 3. 19:30, (알 수 없음) : 오늘의명곡
2020. 6. 3. 19:31, (알 수 없음) : ㅎㅇ
2020. 6. 3. 19:32, (알 수 없음) : 재범목소리
2020. 6. 3. 19:32, (알 수 없음) : 너무좋다;
2020. 6. 3. 19:32, (알 수 없음) : 아
2020. 6. 3. 19:32, (알 수 없음) : 28분노실분
2020. 6. 3. 19:35, 양우성 : 뭐하고놈
2020. 6. 3. 19:35, (알 수 없음) : 트와이스보면서
2020. 6. 3. 19:35, (알 수 없음) : 노는중임
2020. 6. 3. 19:35, (알 수 없음) : 우떰
2020. 6. 3. 19:35, 양우성 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:35, (알 수 없음) : 부끄러워서
2020. 6. 3. 19:35, 양우성 : 신곡뮤비
2020. 6. 3. 19:35, (알 수 없음) : 문닫앗다
2020. 6. 3. 19:35, 양우성 : 지금봐야게따
2020. 6. 3. 19:36, (알 수 없음) : 난무대보는중
2020. 6. 3. 19:36, (알 수 없음) : 확실히 무대 보는게 재밌어
2020. 6. 3. 19:36, (알 수 없음) : 뮤비보다
2020. 6. 3. 19:36, (알 수 없음) : 꿜꿜
2020. 6. 3. 19:36, (알 수 없음) : https://www.youtube.com/watch?v=MHbm4TvQGwg
2020. 6. 3. 19:36, (알 수 없음) : 이쁜트와이스데려옴
2020. 6. 3. 19:37, 양우성 : https://youtu.be/B9NRtF9BjY0
2020. 6. 3. 19:37, 양우성 : 난오늘요거봣엇눈데
2020. 6. 3. 19:37, 양우성 : 개좋
2020. 6. 3. 19:38, (알 수 없음) : d오늘빈지노데이네
2020. 6. 3. 19:38, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:38, 정우 : 놀자놀자
2020. 6. 3. 19:39, 정우 : 오재훈놀자
2020. 6. 3. 19:39, (알 수 없음) : ㅇㅋ
2020. 6. 3. 19:39, (알 수 없음) : 필스페셜틀었다
2020. 6. 3. 19:39, 정우 : 좋아
2020. 6. 3. 19:39, 정우 : 유메잌미삘 스페셜
2020. 6. 3. 19:39, 정우 : ~
2020. 6. 3. 19:39, (알 수 없음) : 그런날이있어
2020. 6. 3. 19:40, (알 수 없음) : 아진짜
2020. 6. 3. 19:40, (알 수 없음) : 필스페셜 팬시
2020. 6. 3. 19:40, 정우 : 그런날이있ㅈ
2020. 6. 3. 19:40, (알 수 없음) : 명곡 ㅇㅈ;
2020. 6. 3. 19:40, 정우 : 그럼그럼
2020. 6. 3. 19:40, 정우 : 그래 필스페셜
2020. 6. 3. 19:40, 정우 : 얼마나 노래같아
2020. 6. 3. 19:40, (알 수 없음) : 진짜
2020. 6. 3. 19:40, (알 수 없음) : 필스페셜 팬시 댄스더나잇
2020. 6. 3. 19:40, (알 수 없음) : 3개
2020. 6. 3. 19:40, (알 수 없음) : 뽑습니다
2020. 6. 3. 19:40, (알 수 없음) : ㅇㅈ?
2020. 6. 3. 19:40, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:40, (알 수 없음) : 안 ㅇㅈ해도
2020. 6. 3. 19:40, (알 수 없음) : 어쩔숭벗어
2020. 6. 3. 19:40, 정우 : 벗어?
2020. 6. 3. 19:40, (알 수 없음) : 나연이쁘니까
2020. 6. 3. 19:40, 정우 : 그건
2020. 6. 3. 19:40, 정우 : ㅆㅇㅈ
2020. 6. 3. 19:40, (알 수 없음) : https://www.youtube.com/watch?v=ThrgLGJrerY
2020. 6. 3. 19:40, 정우 : 개쌉인정
2020. 6. 3. 19:41, (알 수 없음) : 나연 진짜
2020. 6. 3. 19:41, 정우 : 인정따리인정따
2020. 6. 3. 19:41, (알 수 없음) : 유진
2020. 6. 3. 19:41, (알 수 없음) : 느낌쩌러
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, (알 수 없음) : 토끼따리
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, 정우 : 나연
2020. 6. 3. 19:41, 정우 : 나언
2020. 6. 3. 19:41, 정우 : 나연
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, 정우 : 나연
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, (알 수 없음) : 난둘돠
2020. 6. 3. 19:41, 정우 : 나연
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, (알 수 없음) : 바보들아
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, 정우 : 나연
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, (알 수 없음) : 둘돠해
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, 이석준 : 싫어
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, 이석준 : 다현
2020. 6. 3. 19:41, 정우 : 싫어
2020. 6. 3. 19:41, 이석준 : 좋아
2020. 6. 3. 19:41, (알 수 없음) : 다현도너싫어
2020. 6. 3. 19:41, 이석준 : ?
2020. 6. 3. 19:41, (알 수 없음) : ?
2020. 6. 3. 19:41, 이석준 : 나도 너 싫어
2020. 6. 3. 19:41, (알 수 없음) : 맞아
2020. 6. 3. 19:41, (알 수 없음) : 난 좋아
2020. 6. 3. 19:41, 정우 : ㅊㅋㅊㅋ
2020. 6. 3. 19:41, (알 수 없음) : 난좋아 들어야지
2020. 6. 3. 19:41, 정우 : 아
2020. 6. 3. 19:41, 정우 : 슬퍼
2020. 6. 3. 19:41, (알 수 없음) : 왜
2020. 6. 3. 19:41, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:41, 정우 : 짝사랑
2020. 6. 3. 19:41, 정우 : 하네
2020. 6. 3. 19:41, (알 수 없음) : 성시경노래중에
2020. 6. 3. 19:41, 정우 : 오재훈
2020. 6. 3. 19:41, (알 수 없음) : 난좋아라는
2020. 6. 3. 19:41, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:41, (알 수 없음) : 노래있지않나
2020. 6. 3. 19:41, (알 수 없음) : 아닌가
2020. 6. 3. 19:41, 정우 : 샵검색: #난 좋아 성시경
2020. 6. 3. 19:41, (알 수 없음) : 있네
2020. 6. 3. 19:41, (알 수 없음) : ㅎㅎ;
2020. 6. 3. 19:42, 정우 : 역시
2020. 6. 3. 19:42, 정우 : 노잘알
2020. 6. 3. 19:42, 정우 : 여기어디냐
2020. 6. 3. 19:42, 이석준 : 끼요오오오옷
2020. 6. 3. 19:42, (알 수 없음) : 정연
2020. 6. 3. 19:42, (알 수 없음) : 이쁘다
2020. 6. 3. 19:42, 이석준 : 왜 에러뜨지
2020. 6. 3. 19:42, 정우 : 그래도 꽤
2020. 6. 3. 19:42, 정우 : 온거같은데
2020. 6. 3. 19:42, 이석준 : 힝
2020. 6. 3. 19:42, 이석준 : 힝구힝구
2020. 6. 3. 19:42, (알 수 없음) : 힝구탱
2020. 6. 3. 19:42, (알 수 없음) : ㅠ
2020. 6. 3. 19:42, 정우 : 구힝
2020. 6. 3. 19:42, (알 수 없음) : 필스페셜보는중
2020. 6. 3. 19:42, (알 수 없음) : 이제 팬시랑
2020. 6. 3. 19:42, (알 수 없음) : 댇ㄴ스너아ㅣㅅ
2020. 6. 3. 19:42, (알 수 없음) : 보고 공부해야지
2020. 6. 3. 19:42, 정우 : 아니
2020. 6. 3. 19:42, 정우 : 아직안돼
2020. 6. 3. 19:42, (알 수 없음) : 왜조
2020. 6. 3. 19:42, (알 수 없음) : 얘네 춤이
2020. 6. 3. 19:43, 정우 : 오
2020. 6. 3. 19:43, 정우 : ㅁㅊ
2020. 6. 3. 19:43, (알 수 없음) : 어느순간부터
2020. 6. 3. 19:43, 정우 : 님
2020. 6. 3. 19:43, (알 수 없음) : 개빡세졌다?
2020. 6. 3. 19:43, (알 수 없음) : ?
2020. 6. 3. 19:43, 정우 : 환승소리 들리길래
2020. 6. 3. 19:43, 정우 : 아 을3쯤왔나
2020. 6. 3. 19:43, 정우 : 하고봤는데
2020. 6. 3. 19:43, 정우 : 연신내
2020. 6. 3. 19:43, 정우 : 개쌉이득
2020. 6. 3. 19:43, 이석준 : 볼탱탱
2020. 6. 3. 19:43, 이석준 : 팅팅
2020. 6. 3. 19:43, 이석준 : 탱탱
2020. 6. 3. 19:43, (알 수 없음) : ㅊㅋ
2020. 6. 3. 19:43, (알 수 없음) : 왜
2020. 6. 3. 19:43, 정우 : ㄱㅅ
2020. 6. 3. 19:43, 이석준 : 후라이팬놀이
2020. 6. 3. 19:43, (알 수 없음) : 담에후라이팬으로
2020. 6. 3. 19:43, (알 수 없음) : 때려줌
2020. 6. 3. 19:43, 정우 : 아
2020. 6. 3. 19:43, 정우 : 다음주월요일
2020. 6. 3. 19:43, (알 수 없음) : 놀자
2020. 6. 3. 19:43, 정우 : 한잔쌔린다
2020. 6. 3. 19:43, (알 수 없음) : ㅇㅋ
2020. 6. 3. 19:43, (알 수 없음) : 좋겟다
2020. 6. 3. 19:43, (알 수 없음) : 임마
2020. 6. 3. 19:43, 정우 : 또 단체로
2020. 6. 3. 19:44, 정우 : 한잔쌔림
2020. 6. 3. 19:44, 이석준 : 탱탱탱탱탱구쓰
2020. 6. 3. 19:44, 정우 : 육회각
2020. 6. 3. 19:44, 이석준 : 짜라빠빠
2020. 6. 3. 19:44, 이석준 : 오 ㅐ에러뜰까
2020. 6. 3. 19:44, 이석준 : 이석준 병신새끼야
2020. 6. 3. 19:44, 이석준 : 잘좀해라
2020. 6. 3. 19:44, 이석준 : ㅡㅡ
2020. 6. 3. 19:44, 이석준 : 개빡치네
2020. 6. 3. 19:44, (알 수 없음) : 쯔위존예세요
2020. 6. 3. 19:44, 정우 : 잘하자!
2020. 6. 3. 19:44, (알 수 없음) : 잘좀해
2020. 6. 3. 19:44, 정우 : 난오늘 스터디
2020. 6. 3. 19:44, (알 수 없음) : 퐨쉬
2020. 6. 3. 19:44, (알 수 없음) : 유우
2020. 6. 3. 19:44, 정우 : 캐리했다
2020. 6. 3. 19:44, 정우 : ㅎ
2020. 6. 3. 19:44, (알 수 없음) : 굿
2020. 6. 3. 19:44, (알 수 없음) : 훌륭하다
2020. 6. 3. 19:44, 이석준 : 왜 비긴어게인 2기부터 넷플에 없냐
2020. 6. 3. 19:44, 정우 : 훌륭하지 임마
2020. 6. 3. 19:44, (알 수 없음) : 그거
2020. 6. 3. 19:44, 정우 : 보지말라고
2020. 6. 3. 19:44, (알 수 없음) : 로이킴땜에
2020. 6. 3. 19:45, (알 수 없음) : 없음
2020. 6. 3. 19:45, 이석준 : ㅇㅎ
2020. 6. 3. 19:45, 정우 : 그거볼시간에 공부하라고
2020. 6. 3. 19:45, 이석준 : 3기는
2020. 6. 3. 19:45, (알 수 없음) : 3기는
2020. 6. 3. 19:45, 정우 : 공부해
2020. 6. 3. 19:45, (알 수 없음) : 모르겟네
2020. 6. 3. 19:45, 정우 : 공부하라고
2020. 6. 3. 19:45, (알 수 없음) : 그
2020. 6. 3. 19:45, 정우 : 과제하라고
2020. 6. 3. 19:45, (알 수 없음) : 이쁘다
2020. 6. 3. 19:45, 정우 : 시험보라고
2020. 6. 3. 19:45, 이석준 : 잠깐 멘탈나갔으니까
2020. 6. 3. 19:45, (알 수 없음) : 정연 이쁘네
2020. 6. 3. 19:45, 정우 : 나연이쁘지
2020. 6. 3. 19:45, 이석준 : 다현
2020. 6. 3. 19:45, 이석준 : 다현
2020. 6. 3. 19:45, 이석준 : 다현
2020. 6. 3. 19:45, 이석준 : 다현
2020. 6. 3. 19:45, (알 수 없음) : 쯔위도이쁘다
2020. 6. 3. 19:45, 이석준 : 다현
2020. 6. 3. 19:45, 이석준 : 다현
2020. 6. 3. 19:45, 이석준 : 다현
2020. 6. 3. 19:45, 이석준 : 다현
2020. 6. 3. 19:45, (알 수 없음) : 다현도이쁘네
2020. 6. 3. 19:45, 이석준 : 굳
2020. 6. 3. 19:45, (알 수 없음) : 그래너아팬시유
2020. 6. 3. 19:45, (알 수 없음) : 강다니엘이랑
2020. 6. 3. 19:46, 정우 : 팬시유우우
2020. 6. 3. 19:46, (알 수 없음) : 지효는아직도사귀나
2020. 6. 3. 19:46, (알 수 없음) : 헤어졋나
2020. 6. 3. 19:46, (알 수 없음) : 트와이스가 지금
2020. 6. 3. 19:46, (알 수 없음) : 여돌 탑인가?
2020. 6. 3. 19:46, 빠충 : 아 이거 노인정
2020. 6. 3. 19:46, 정우 : 그럴걸
2020. 6. 3. 19:46, (알 수 없음) : 왜노인정임
2020. 6. 3. 19:46, 빠충 : 세개 다 별로
2020. 6. 3. 19:46, 이석준 : 내마음에 별로?
2020. 6. 3. 19:46, (알 수 없음) : 엥
2020. 6. 3. 19:46, (알 수 없음) : 그럼
2020. 6. 3. 19:46, 빠충 : 내 기준 원탑 트와이스곡
2020. 6. 3. 19:46, (알 수 없음) : 뭐꼽음
2020. 6. 3. 19:46, 빠충 : 라이키
2020. 6. 3. 19:46, (알 수 없음) : 오
2020. 6. 3. 19:46, (알 수 없음) : 진짜
2020. 6. 3. 19:46, (알 수 없음) : 안맞는걸
2020. 6. 3. 19:46, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:46, 정우 : ㅅㅂ
2020. 6. 3. 19:46, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:46, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:46, 이석준 : 존나 ㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:46, (알 수 없음) : 허트쉐이커랑
2020. 6. 3. 19:46, (알 수 없음) : 라이키
2020. 6. 3. 19:46, 정우 : 존나 뻘하게웃겨 쟤
2020. 6. 3. 19:46, (알 수 없음) : 젤싫어함
2020. 6. 3. 19:46, (알 수 없음) : 오
2020. 6. 3. 19:46, 빠충 : 하트쉐커
2020. 6. 3. 19:46, 빠충 : 시러
2020. 6. 3. 19:47, (알 수 없음) : 딴거뭐잇지
2020. 6. 3. 19:47, (알 수 없음) : 근데 노래는 다알긴해
2020. 6. 3. 19:47, 빠충 : 치얼업
2020. 6. 3. 19:47, 이석준 : 맨처음 나온곡 뭐였냐
2020. 6. 3. 19:47, 정우 : 노래는
2020. 6. 3. 19:47, (알 수 없음) : 진짜얘넨망하게없다
2020. 6. 3. 19:47, 이석준 : 그건가
2020. 6. 3. 19:47, (알 수 없음) : 치얼업응ㄴ ㄱㅊ
2020. 6. 3. 19:47, 정우 : 모를수없지
2020. 6. 3. 19:47, 빠충 : 우아하게
2020. 6. 3. 19:47, (알 수 없음) : 아
2020. 6. 3. 19:47, (알 수 없음) : ㅁㅊ
2020. 6. 3. 19:47, (알 수 없음) : 우아하게가
2020. 6. 3. 19:47, 이석준 : 군대에서
2020. 6. 3. 19:47, 정우 : 얘네는 다
2020. 6. 3. 19:47, (알 수 없음) : 탑3안에
2020. 6. 3. 19:47, 정우 : 대박임
2020. 6. 3. 19:47, (알 수 없음) : 뽑혀야하는데
2020. 6. 3. 19:47, 이석준 : 매일봤는데
2020. 6. 3. 19:47, 이석준 : ㅅㅂ
2020. 6. 3. 19:47, 빠충 : 어떻게
2020. 6. 3. 19:47, 빠충 : 내가
2020. 6. 3. 19:47, (알 수 없음) : 우아하네 ㄱㅊ은데?
2020. 6. 3. 19:47, 빠충 : 또 할말이 없게
2020. 6. 3. 19:47, 정우 : 노래는 다대박났었지
2020. 6. 3. 19:47, 이석준 : 어떻계
2020. 6. 3. 19:47, 빠충 : ㅇㅇ
2020. 6. 3. 19:47, 이석준 : 께께꼐꼐
2020. 6. 3. 19:47, 정우 : ㅇㅇㅇㅇㅎㄱㅁㄷㅇㅈ
2020. 6. 3. 19:47, 이석준 : 깨꺨꺠깨깨꺠꺠꺠꺠꺠
2020. 6. 3. 19:47, (알 수 없음) : 마지막처럼
2020. 6. 3. 19:47, 빠충 : 난 치얼업 라이키
2020. 6. 3. 19:47, 이석준 : 깨버리고싶어
2020. 6. 3. 19:47, (알 수 없음) : 들어야함
2020. 6. 3. 19:47, (알 수 없음) : 왜 듣는지앎?
2020. 6. 3. 19:47, (알 수 없음) : 오 치얼업도
2020. 6. 3. 19:47, (알 수 없음) : 내취향아닌데
2020. 6. 3. 19:47, 이석준 : 논문 마지막이라
2020. 6. 3. 19:47, (알 수 없음) : 진짜
2020. 6. 3. 19:47, (알 수 없음) : ㅅㅂ
2020. 6. 3. 19:47, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:47, (알 수 없음) : 개웃기다
2020. 6. 3. 19:47, 빠충 : 약간 나는
2020. 6. 3. 19:47, (알 수 없음) : 포레버영
2020. 6. 3. 19:47, (알 수 없음) : 듣고옴
2020. 6. 3. 19:47, (알 수 없음) : 블핑
2020. 6. 3. 19:48, 빠충 : 무대의상이 너무 나 무대의상임 하는 곡들 시러함
2020. 6. 3. 19:48, (알 수 없음) : 아
2020. 6. 3. 19:48, (알 수 없음) : 난조아하
2020. 6. 3. 19:48, (알 수 없음) : 그런거
2020. 6. 3. 19:48, 정우 : 안그런노래가 있었나
2020. 6. 3. 19:48, 정우 : 하트쉐이커가 제일 무대의상안같았던거 같은데
2020. 6. 3. 19:48, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:48, (알 수 없음) : 하트쉐이커가뭐야
2020. 6. 3. 19:48, (알 수 없음) : 기억안나
2020. 6. 3. 19:48, (알 수 없음) : 약간그때
2020. 6. 3. 19:48, (알 수 없음) : 담토갔다가
2020. 6. 3. 19:48, (알 수 없음) : 이게요즘어린애들노랜가하고
2020. 6. 3. 19:48, (알 수 없음) : 당황했을때인데
2020. 6. 3. 19:48, 정우 : 이상하게
2020. 6. 3. 19:48, (알 수 없음) : ;;
2020. 6. 3. 19:48, 정우 : 생각해도
2020. 6. 3. 19:48, 빠충 : 하트쉐이커 그냥 흰티에 청바지
2020. 6. 3. 19:48, 빠충 : 아니냐
2020. 6. 3. 19:48, (알 수 없음) : 아하
2020. 6. 3. 19:49, 이석준 : 쉨쉨버거
2020. 6. 3. 19:49, 정우 : 어쩔수없어 반했으니까~
2020. 6. 3. 19:49, 이석준 : 붹붹버거
2020. 6. 3. 19:49, (알 수 없음) : 포레버영이나들어
2020. 6. 3. 19:49, 빠충 : 어 맞어 나 왓이즈럽도 좋아함
2020. 6. 3. 19:49, (알 수 없음) : 오
2020. 6. 3. 19:49, (알 수 없음) : 진짜
안맞아
2020. 6. 3. 19:49, 이석준 : 왓이즈럽!
2020. 6. 3. 19:49, 정우 : 어
2020. 6. 3. 19:49, (알 수 없음) : ㅋㅋㅋㅋㅋㅁㅊ
2020. 6. 3. 19:49, 이석준 : 위 캔 플라이
2020. 6. 3. 19:49, (알 수 없음) : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:49, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:49, (알 수 없음) : 개웃기다
2020. 6. 3. 19:49, (알 수 없음) : 뻘하게웃기네진짜
2020. 6. 3. 19:49, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:49, 정우 : ㄹㅇ
2020. 6. 3. 19:49, 빠충 : 너 약간
2020. 6. 3. 19:49, (알 수 없음) : 와진짴ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 6. 3. 19:49, 이석준 : 걸웬유 필미
2020. 6. 3. 19:49, 빠충 : 내 동생이랑 취향
2020. 6. 3. 19:49, (알 수 없음) : 비슷하냐
2020. 6. 3. 19:49, 이석준 : 트와이스
2020. 6. 3. 19:49, 빠충 : 비슷하네
2020. 6. 3. 19:49, 이석준 : 투투투투투투
2020. 6. 3. 19:49, 이석준 : 투투투
