Talk_2021.8.24 13:11-67.txt
저장한 날짜 : 2021. 8. 24. 13:13



2020년 4월 22일 수요일
2020. 4. 22. 21:13, 이석준 : 2년계약...
2020. 4. 30. 00:12, 정우 : 작두탈순없잖아
2020. 4. 30. 00:12, 부그뷰 : 왜 남자가 배야
2020. 4. 30. 00:12, 정우 : 가능하누
2020. 4. 30. 00:12, 부그뷰 : 항구할래
2020. 4. 30. 00:12, (알 수 없음) : ㅠ
2020. 4. 30. 00:12, (알 수 없음) : 심수봉노래라누
2020. 4. 30. 00:12, (알 수 없음) : 남자는배 여자는항구
2020. 4. 30. 00:12, (알 수 없음) : 울엄마노래라누;
2020. 4. 30. 00:12, 정우 : 아니
2020. 4. 30. 00:12, 정우 : 작두
2020. 4. 30. 00:12, (알 수 없음) : ㅠ
2020. 4. 30. 00:12, 정우 : 타타타누
2020. 4. 30. 00:12, (알 수 없음) : ㅅ
2020. 4. 30. 00:12, (알 수 없음) : 이모티콘 도랏ㄴ
2020. 4. 30. 00:12, (알 수 없음) : 타타타누
2020. 4. 30. 00:12, (알 수 없음) : 존나웃기네
2020. 4. 30. 00:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 30. 00:12, (알 수 없음) : 지에서홈자
2020. 4. 30. 00:12, (알 수 없음) : 샹들리에부르고잇누
2020. 4. 30. 00:13, 정우 : 아~~~~~~~~~~~~
2020. 4. 30. 00:13, 정우 : 썩어문드러졌누
2020. 4. 30. 00:13, (알 수 없음) : ㅌㅌㅌㅌ퓨
2020. 4. 30. 00:13, (알 수 없음) : 담에노래방가면
2020. 4. 30. 00:13, (알 수 없음) : 샹들리에도하겟누ㅡㅡ
2020. 4. 30. 00:14, (알 수 없음) : 첫너가
2020. 4. 30. 00:14, (알 수 없음) : 너무마니불러서이제
2020. 4. 30. 00:14, 정우 : 자하누ㅡㅡ
2020. 4. 30. 00:14, (알 수 없음) : 안부르고싶은데부를너래가업누
2020. 4. 30. 00:14, 정우 : 아니근데
2020. 4. 30. 00:14, 정우 : 첫너가
2020. 4. 30. 00:14, (알 수 없음) : ㅇㅇ
2020. 4. 30. 00:14, 정우 : 우리말고
2020. 4. 30. 00:14, 정우 : 다른데가서
2020. 4. 30. 00:14, 정우 : 하셈
2020. 4. 30. 00:14, 정우 : 그럼리엉
2020. 4. 30. 00:14, (알 수 없음) : 어디서함
2020. 4. 30. 00:14, (알 수 없음) : 아무도나랑
2020. 4. 30. 00:14, (알 수 없음) : 안놀아주는데
2020. 4. 30. 00:14, (알 수 없음) : ㅅㅂ
2020. 4. 30. 00:14, 정우 : 노래잘하는중
2020. 4. 30. 00:14, 정우 : 알듯
2020. 4. 30. 00:14, 정우 : 나 생일날
2020. 4. 30. 00:14, (알 수 없음) : ㅅㅂ
2020. 4. 30. 00:14, 정우 : 립싱크좀
2020. 4. 30. 00:14, (알 수 없음) : ㅇㅇㅇ
2020. 4. 30. 00:14, 정우 : 해주라
2020. 4. 30. 00:14, (알 수 없음) : ㅇㅋ
2020. 4. 30. 00:14, (알 수 없음) : 회식가자
2020. 4. 30. 00:14, (알 수 없음) : 5월7일이누
2020. 4. 30. 00:14, 정우 : ㅇ
2020. 4. 30. 00:14, 정우 : ㅇㅋ
2020. 4. 30. 00:14, 정우 : ㅇㅇㅇㅇ
2020. 4. 30. 00:15, (알 수 없음) : 8일어버이보러간다고
2020. 4. 30. 00:15, (알 수 없음) : 휴가내고가겟누
2020. 4. 30. 00:15, 정우 : 그날
2020. 4. 30. 00:15, 정우 : 거기서놀고
2020. 4. 30. 00:15, 정우 : 신림올까 생각중
2020. 4. 30. 00:15, 정우 : 어떰
2020. 4. 30. 00:15, (알 수 없음) : 개굴닥이누...진짜
2020. 4. 30. 00:15, (알 수 없음) : 박세광부경보
2020. 4. 30. 00:15, 정우 : ㅇㅈ?
2020. 4. 30. 00:15, (알 수 없음) : 어머니블랙리스트
2020. 4. 30. 00:15, 정우 : ㅇㅇㅈ
2020. 4. 30. 00:15, (알 수 없음) : 올라가는기중이누
2020. 4. 30. 00:15, 정우 : 오 누구옴
2020. 4. 30. 00:15, (알 수 없음) : 쾌속열차탓누
2020. 4. 30. 00:15, (알 수 없음) : 밗광 ㅎㅇ
2020. 4. 30. 00:15, 정우 : 세광이형
2020. 4. 30. 00:15, 정우 : ㅎㅇ
2020. 4. 30. 00:16, (알 수 없음) : ㅎㅇㅎㅇ
2020. 4. 30. 00:16, 정우 : 사진
2020. 4. 30. 00:16, 정우 : 아니
2020. 4. 30. 00:16, (알 수 없음) : 잘놀아라이제다시
2020. 4. 30. 00:16, 정우 : 존멋이자누
2020. 4. 30. 00:16, 정우 : 정장세광
2020. 4. 30. 00:16, (알 수 없음) : ㅎㅇㅎㅇ반갑누
2020. 4. 30. 00:16, (알 수 없음) : 팔터지겟누 ㅅㅂ
2020. 4. 30. 00:16, (알 수 없음) : 담에노래방가면
2020. 4. 30. 00:17, (알 수 없음) : 워너비도불러야겟누
2020. 4. 30. 00:17, (알 수 없음) : 어깨털고끝
2020. 4. 30. 00:21, 정우 : 세광이형
2020. 4. 30. 00:21, 정우 : 샤때하러갔누
2020. 4. 30. 00:23, 이석준 : 으
2020. 4. 30. 00:23, 이석준 : 친구 옆방으로 여친이랑 전화하러감
2020. 4. 30. 00:23, 이석준 : ㅅㅂ
2020. 4. 30. 00:23, 이석준 : ㅡㅡ
2020. 4. 30. 00:24, (알 수 없음) : 오우
2020. 4. 30. 00:25, (알 수 없음) : 아직도하고잇누;;
2020. 4. 30. 00:26, 부그뷰 : 나이제출발
2020. 4. 30. 00:27, 원준오빠 : 와씨 몸 개커
2020. 4. 30. 00:27, (알 수 없음) : ㄹㅇ
2020. 4. 30. 00:27, (알 수 없음) : 팔뚝터지는중이누
2020. 4. 30. 00:33, 원준오빠 : 오쟈
2020. 4. 30. 00:33, 원준오빠 : 오재
2020. 4. 30. 00:37, (알 수 없음) : 와부르누
2020. 4. 30. 00:41, 이석준 : 볼빵빵
2020. 4. 30. 00:41, (알 수 없음) : 와부르누니는
2020. 4. 30. 00:50, 부그뷰 : 굼방갈겡
2020. 4. 30. 01:06, 부그뷰 : 사진
2020. 4. 30. 01:07, (알 수 없음) : 우위시
2020. 4. 30. 01:07, (알 수 없음) : 재밋겟네너네ㅡㅡ
2020. 4. 30. 01:08, 원준오빠 : 뭐야 이석준한테 돈 줘야 하는줄 알았네
2020. 4. 30. 01:08, 원준오빠 : 공지
2020. 4. 30. 01:08, 이석준 : 정우가 해달래서 해줌 ㅎㅎ
2020. 4. 30. 01:08, (알 수 없음) : ㅋㅌㅋㅌㅋ
2020. 4. 30. 01:08, 원준오빠 : 정우가 공지 해달라고 한건 아니거만
2020. 4. 30. 01:08, 이석준 : 나한테 줘도 상관없음 사실 ㅎㅎ
2020. 4. 30. 01:08, 원준오빠 : 다 보고옴
2020. 4. 30. 01:09, (알 수 없음) : 개굴훼이크띠
2020. 4. 30. 01:09, (알 수 없음) : 와근데
2020. 4. 30. 01:09, (알 수 없음) : 저거누르면 ㄹㅇ
2020. 4. 30. 01:09, (알 수 없음) : 이석준이한말처럼뜨는구나
2020. 4. 30. 01:09, 원준오빠 : 이석분한테주고 정우야 난 줬다~
2020. 4. 30. 01:09, (알 수 없음) : 말딴사람이하고
2020. 4. 30. 01:09, 이석준 : 그러게
2020. 4. 30. 01:09, 이석준 : 이제 알았네
2020. 4. 30. 01:09, (알 수 없음) : 딴사람이공지하면
2020. 4. 30. 01:09, (알 수 없음) : 저렇게뜨네
2020. 4. 30. 01:09, (알 수 없음) : 톡게시판 '공지': 공지
2020. 4. 30. 01:09, (알 수 없음) : 오
2020. 4. 30. 01:09, (알 수 없음) : 신기해
2020. 4. 30. 01:10, (알 수 없음) : 갑분기능발견,,;;;
2020. 4. 30. 01:10, 정우 : 받음
2020. 4. 30. 01:10, 정우 : ㄱㅅ
2020. 4. 30. 01:10, 원준오빠 : ㅎㅎㅎ
2020. 4. 30. 01:10, (알 수 없음) : 형
2020. 4. 30. 01:10, (알 수 없음) : 나도조야함
2020. 4. 30. 01:10, (알 수 없음) : 우쉬
2020. 4. 30. 01:10, (알 수 없음) : 잠도안자고
2020. 4. 30. 01:10, (알 수 없음) : 누워잇기만4시감째임
2020. 4. 30. 01:10, (알 수 없음) : 이모티콘 
2020. 4. 30. 01:11, (알 수 없음) : 강변
2020. 4. 30. 01:11, (알 수 없음) : 나도
2020. 4. 30. 01:11, (알 수 없음) : 강변
2020. 4. 30. 01:11, (알 수 없음) : 이모티콘 
2020. 4. 30. 01:11, (알 수 없음) : 이모티콘 아근데
2020. 4. 30. 01:11, (알 수 없음) : 이모티콘 
2020. 4. 30. 01:11, (알 수 없음) : 아니
2020. 4. 30. 01:11, (알 수 없음) : ㅅㅂ왜케눌려
2020. 4. 30. 01:11, (알 수 없음) : 형요기왜부른거
2020. 4. 30. 01:12, 이석준 : 요기요
2020. 4. 30. 01:12, 원준오빠 : 욕할리구
2020. 4. 30. 01:12, 원준오빠 : 내가 뭐 줘야하지???
2020. 4. 30. 01:13, (알 수 없음) : 모르겟어
2020. 4. 30. 01:13, (알 수 없음) : 욕
2020. 4. 30. 01:13, (알 수 없음) : 주면됨
2020. 4. 30. 01:13, 원준오빠 : 즐
2020. 4. 30. 01:13, (알 수 없음) : 형
2020. 4. 30. 01:13, (알 수 없음) : 뭐함
2020. 4. 30. 01:13, (알 수 없음) : ㄷㄷㄷㅈ?
2020. 4. 30. 01:14, 이석준 : 오재훈 삼행시 ㄱ
2020. 4. 30. 01:14, 이석준 : 오
2020. 4. 30. 01:14, (알 수 없음) : 오이건뭐야
2020. 4. 30. 01:14, 이석준 : 재
2020. 4. 30. 01:14, (알 수 없음) : 재미업을거같은데
2020. 4. 30. 01:14, 이석준 : 훈나야지그럼
2020. 4. 30. 01:14, (알 수 없음) : ㅡㅡ
2020. 4. 30. 01:15, 이석준 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 30. 01:15, (알 수 없음) : 내가할러고햇는데
2020. 4. 30. 01:15, (알 수 없음) : ㅇ업네
2020. 4. 30. 01:15, (알 수 없음) : 아니
2020. 4. 30. 01:15, (알 수 없음) : 새벽까지과제
2020. 4. 30. 01:15, (알 수 없음) : 빨리과제나해라임마
2020. 4. 30. 01:15, 이석준 : 밤샘이다 샛기야
2020. 4. 30. 01:15, (알 수 없음) : ;;;
2020. 4. 30. 01:15, (알 수 없음) : 수고가많소?
2020. 4. 30. 01:15, (알 수 없음) : 그래그랫엇지'
2020. 4. 30. 01:15, (알 수 없음) : 성시경노래알앤비처럼부르기
2020. 4. 30. 01:15, (알 수 없음) : 연습해도됨?
2020. 4. 30. 01:16, 이석준 : ㄴ
2020. 4. 30. 01:16, (알 수 없음) : ;;;;
2020. 4. 30. 01:16, (알 수 없음) : 잔다
2020. 4. 30. 01:16, (알 수 없음) : 눈감아야지
2020. 4. 30. 01:17, 원준오빠 : ㅇㅇ....
2020. 4. 30. 01:17, 원준오빠 : ㅎ
2020. 4. 30. 01:17, 원준오빠 : 조인!
2020. 4. 30. 01:17, 원준오빠 : ㅂㅇ
2020. 4. 30. 01:18, (알 수 없음) : ㅋㅋㅋㅋㅋ열궴!
2020. 4. 30. 01:19, 이석준 : 아
2020. 4. 30. 01:19, 이석준 : 과제
2020. 4. 30. 01:19, 이석준 : 으으으으으
2020. 4. 30. 01:19, 이석준 : 너무 재씨다
2020. 4. 30. 01:19, 이석준 : 재밌어
2020. 4. 30. 01:19, 이석준 : 술도 안떙김
2020. 4. 30. 01:22, (알 수 없음) : 과제재밋지
2020. 4. 30. 01:22, (알 수 없음) : 이모티콘 
2020. 4. 30. 01:22, (알 수 없음) : 이모티콘 
2020. 4. 30. 01:42, 이석준 : ㅋ
2020. 4. 30. 01:54, (알 수 없음) : 아뭐야잠도안와
2020. 4. 30. 01:54, (알 수 없음) : 이모티콘 
2020. 4. 30. 01:55, 이석준 : ㄷㄷㄷㅈ이나하셈
2020. 4. 30. 01:56, (알 수 없음) : 일어나기도귀촨
2020. 4. 30. 01:57, 이석준 : 폰으로하셈
2020. 4. 30. 01:58, (알 수 없음) : ㄴㄴ
2020. 4. 30. 01:58, (알 수 없음) : 폰으로는안한다
2020. 4. 30. 01:58, (알 수 없음) : 껼꾤
2020. 4. 30. 02:14, 부그뷰 : 배훌ㄹ러
2020. 4. 30. 09:08, (알 수 없음) : 눈떠지네
2020. 4. 30. 09:23, (알 수 없음) : 벅해하일세광
2020. 4. 30. 09:24, (알 수 없음) : ㅇㅈㅇㅇㅈㅇ
2020. 4. 30. 09:26, 정우 : ㅇㅈㅎㅇㅈㅎ
2020. 4. 30. 09:27, (알 수 없음) : 나도일해봄ㅁ
2020. 4. 30. 09:27, (알 수 없음) : 하나더돌리고옴
2020. 4. 30. 09:27, 정우 : 와
2020. 4. 30. 09:27, 정우 : 다들
2020. 4. 30. 09:27, 정우 : 열심히사네
2020. 4. 30. 09:28, 부그뷰 : ㅇㅈㅇㅈ
2020. 4. 30. 09:28, (알 수 없음) : 코딩이나해야지
2020. 4. 30. 09:28, (알 수 없음) : 므ㅓ하겟누?~
2020. 4. 30. 09:37, 정우 : 뭐하겠누~~~~~~
2020. 4. 30. 09:37, 정우 : 뭐하누~~~~~~~~~~~
2020. 4. 30. 09:37, 정우 : 집가기귀찮누~~~~~~~~~~~~~~~~
2020. 4. 30. 09:38, (알 수 없음) : 가지마누
2020. 4. 30. 09:38, (알 수 없음) : 점심저녁
2020. 4. 30. 09:38, (알 수 없음) : 다먹누
2020. 4. 30. 09:38, (알 수 없음) : 11시에뭐시키지
2020. 4. 30. 09:38, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 30. 09:38, 정우 : 엄마걱정하시누
2020. 4. 30. 09:38, 정우 : 가야하누
2020. 4. 30. 09:38, 정우 : 님도쌀국수
2020. 4. 30. 09:38, 정우 : 먹는거어떻누
2020. 4. 30. 09:39, (알 수 없음) : 싫누!
2020. 4. 30. 09:39, (알 수 없음) : 빨래돌리기오기가능하겠누
2020. 4. 30. 09:43, (알 수 없음) : 다시누웟누
2020. 4. 30. 09:44, 정우 : 좋누
2020. 4. 30. 09:44, 정우 : 아진짜
2020. 4. 30. 09:44, 정우 : 세상귀찮누
2020. 4. 30. 09:45, (알 수 없음) : ㄹㅇ
2020. 4. 30. 09:45, (알 수 없음) : 소리한범질러ㅓ
2020. 4. 30. 09:46, (알 수 없음) : 형들정신깨워주라누ㅜ
2020. 4. 30. 09:48, 정우 : 형들
2020. 4. 30. 09:48, 정우 : 정신차렸누
2020. 4. 30. 09:48, 정우 : 나만안차렸누
2020. 4. 30. 09:53, (알 수 없음) : ㄱㅊ누
2020. 4. 30. 09:53, (알 수 없음) : 1년있다가차리누
2020. 4. 30. 09:56, 정우 : ㅇㅋㅇㅋ
2020. 4. 30. 09:56, (알 수 없음) : 11시쯤
2020. 4. 30. 09:56, (알 수 없음) : 배달시키기가능하누
2020. 4. 30. 09:56, 정우 : ㄱㄴㄱㄴ
2020. 4. 30. 10:02, (알 수 없음) : 머먹을지한시간동안고민구경함
2020. 4. 30. 10:05, 정우 : ㅇㅈㅇㅈ
2020. 4. 30. 10:09, (알 수 없음) : 다 술안주처럼보여
2020. 4. 30. 10:12, 정우 : 한잔해
2020. 4. 30. 10:13, (알 수 없음) : 내일낮30도라는데요
2020. 4. 30. 10:15, 빠충 : ?
2020. 4. 30. 10:15, 빠충 : 왜그런대
2020. 4. 30. 10:16, (알 수 없음) : 잘모르겟다요
2020. 4. 30. 10:16, 정우 : ?
2020. 4. 30. 10:16, 정우 : 26도인데
2020. 4. 30. 10:16, 정우 : 어쨋든
2020. 4. 30. 10:16, 정우 : 왜그러는거야 진짜
2020. 4. 30. 10:16, 정우 : 벌써부터
2020. 4. 30. 10:16, 정우 : ?
2020. 4. 30. 10:17, (알 수 없음) : 샵검색: #내일 대구 날씨
2020. 4. 30. 10:17, (알 수 없음) : 대구엿다요
2020. 4. 30. 10:17, 정우 : 도랐누
2020. 4. 30. 10:17, (알 수 없음) : 불타누
2020. 4. 30. 10:17, 정우 : ㅎㅇ
2020. 4. 30. 10:17, 정우 : ㄹㅇ
2020. 4. 30. 10:18, 정우 : 대프리카누
2020. 4. 30. 10:18, (알 수 없음) : 이번년도
2020. 4. 30. 10:18, (알 수 없음) : 쌉더울예절이누
2020. 4. 30. 10:19, (알 수 없음) : 간만에리아나
2020. 4. 30. 10:19, (알 수 없음) : 노래조지게듣는둥인데
2020. 4. 30. 10:19, (알 수 없음) : 이쉑목소리지리누
2020. 4. 30. 10:19, (알 수 없음) : 괜히조진게아니엇누
2020. 4. 30. 10:21, 부그뷰 : 무슨일이오
2020. 4. 30. 10:21, (알 수 없음) : ㅎㅇ
2020. 4. 30. 10:21, (알 수 없음) : 부슨일이오
2020. 4. 30. 10:21, 부그뷰 : 오재가 탁자 부슨일이오
2020. 4. 30. 10:22, 부그뷰 : ?
2020. 4. 30. 10:22, (알 수 없음) : ㅎ
2020. 4. 30. 10:22, 정우 : 무슨일이누
2020. 4. 30. 10:22, (알 수 없음) : 살찐일이누
2020. 4. 30. 10:23, (알 수 없음) : 연구실형
2020. 4. 30. 10:23, (알 수 없음) : 코로나 때문에 옢측
2020. 4. 30. 10:23, (알 수 없음) : 하는거뭐나갓는데
2020. 4. 30. 10:23, (알 수 없음) : 4명이라는데
2020. 4. 30. 10:23, 정우 : 살쪘누
2020. 4. 30. 10:23, (알 수 없음) : 예측하기
2020. 4. 30. 10:23, (알 수 없음) : 함들겟누
2020. 4. 30. 10:23, (알 수 없음) : 스냥10명띡어도되겟누
2020. 4. 30. 10:23, (알 수 없음) : ㅅㅂ
2020. 4. 30. 10:23, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 30. 10:23, (알 수 없음) : 이번휴가지나고
2020. 4. 30. 10:23, (알 수 없음) : 터질각이지않누
2020. 4. 30. 10:23, (알 수 없음) : ?
2020. 4. 30. 10:23, 정우 : ㅠ
2020. 4. 30. 10:23, 정우 : 그런말
2020. 4. 30. 10:24, (알 수 없음) : 걱정이되누
2020. 4. 30. 10:24, 정우 : 하면안되누
2020. 4. 30. 10:24, (알 수 없음) : 조신해야하누
2020. 4. 30. 10:24, 정우 : 나진짜
2020. 4. 30. 10:24, 정우 : 휴가끝나고
2020. 4. 30. 10:24, 정우 : 마스크쓰면
2020. 4. 30. 10:24, 정우 : 울거누
2020. 4. 30. 10:24, (알 수 없음) : 리아나
2020. 4. 30. 10:24, (알 수 없음) : 미친
2020. 4. 30. 10:24, (알 수 없음) : 노래조재는거왜케만누
2020. 4. 30. 10:24, (알 수 없음) : 마스크써야하누
2020. 4. 30. 10:24, 정우 : 조지누
2020. 4. 30. 10:24, (알 수 없음) : 아이제택시출근이
2020. 4. 30. 10:24, 정우 : 싫누
2020. 4. 30. 10:24, (알 수 없음) : 겨의확실시되어가고잇다
2020. 4. 30. 10:24, 정우 : 니
2020. 4. 30. 10:24, (알 수 없음) : 돈아꺼야겟누
2020. 4. 30. 10:25, (알 수 없음) : 와부르누
2020. 4. 30. 10:25, 정우 : 학교가누
2020. 4. 30. 10:25, (알 수 없음) : 아니
2020. 4. 30. 10:25, (알 수 없음) : 다음주얘기
2020. 4. 30. 10:25, (알 수 없음) : 지금해봣누;?
2020. 4. 30. 10:27, 정우 : 아
2020. 4. 30. 10:27, 정우 : 너무갔누
2020. 4. 30. 10:27, (알 수 없음) : 미안하누
2020. 4. 30. 10:27, (알 수 없음) : 왜케잠만자고일어나면
2020. 4. 30. 10:27, (알 수 없음) : 컷물이나누
2020. 4. 30. 10:27, (알 수 없음) : 3일간에거쳐청소를할예정이누
2020. 4. 30. 10:27, (알 수 없음) : 어떻누?
2020. 4. 30. 10:33, 정우 : 좋누
2020. 4. 30. 10:37, (알 수 없음) : 오늘
2020. 4. 30. 10:37, (알 수 없음) : 올해의삼붐의일지점이느
2020. 4. 30. 10:37, (알 수 없음) : 존나시간미첫뉴
2020. 4. 30. 10:37, (알 수 없음) : 점심덕복이시켜서
2020. 4. 30. 10:37, (알 수 없음) : 저녁까지조져야겟누
2020. 4. 30. 10:38, 부그뷰 : 코로나가 삼분의일 날렸누
2020. 4. 30. 10:38, 부그뷰 : 쌀국수 시킴
2020. 4. 30. 10:38, 정우 : 코로나
2020. 4. 30. 10:38, 정우 : 씨발
2020. 4. 30. 10:38, 정우 : 좆같누 진짜
2020. 4. 30. 10:38, 정우 : !
2020. 4. 30. 10:38, 부그뷰 : 똥싸면서 카톡하지마라
2020. 4. 30. 10:38, 정우 : 그럼뭐함
2020. 4. 30. 10:38, 부그뷰 : 눈팅만해
2020. 4. 30. 10:38, 정우 : 싫어
2020. 4. 30. 10:38, 부그뷰 : 으디으디
2020. 4. 30. 10:38, 정우 : 일해라절해라하지마
2020. 4. 30. 10:38, 부그뷰 : 일해라 정우
2020. 4. 30. 10:38, 정우 : 일좀주라
2020. 4. 30. 10:39, 부그뷰 : 내과제졈
2020. 4. 30. 10:39, 정우 : 싫엉
2020. 4. 30. 10:39, (알 수 없음) : ㅡㅡ
2020. 4. 30. 10:39, (알 수 없음) : 둘이모하누
2020. 4. 30. 10:39, 부그뷰 : 째파랑입고 누워있누
2020. 4. 30. 10:40, 정우 : 똥싸누
2020. 4. 30. 10:40, 정우 : tmi
2020. 4. 30. 10:40, 정우 : 대방출
2020. 4. 30. 10:42, (알 수 없음) : 쨍파랑
2020. 4. 30. 10:42, (알 수 없음) : 반팔로
2020. 4. 30. 10:42, (알 수 없음) : 하나마련해야겟눙
2020. 4. 30. 10:53, 정우 : 좋누
2020. 4. 30. 10:53, 정우 : 쌀국수
2020. 4. 30. 10:53, 정우 : 왔누
2020. 4. 30. 10:53, 정우 : 먹누
2020. 4. 30. 10:57, (알 수 없음) : 왜
2020. 4. 30. 10:57, (알 수 없음) : 안힘들어하누
2020. 4. 30. 10:57, (알 수 없음) : 어제마니안먹엇누
2020. 4. 30. 10:58, (알 수 없음) : 사진
2020. 4. 30. 10:58, (알 수 없음) : 크러쉬랑두유존귀구;
2020. 4. 30. 10:59, (알 수 없음) : 크러쉬네갱얼쥐한마리더늘어낫뉴
2020. 4. 30. 11:09, 정우 : 졸귀누
2020. 4. 30. 11:11, (알 수 없음) : 떡볶이집
2020. 4. 30. 11:11, (알 수 없음) : 운영시작을안하누;;
2020. 4. 30. 11:11, (알 수 없음) : 하누
2020. 4. 30. 11:12, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 30. 11:16, (알 수 없음) : 시켯다
2020. 4. 30. 11:21, 정우 : 잘했다
2020. 4. 30. 11:21, 정우 : 우린다먹음
2020. 4. 30. 11:22, (알 수 없음) : 3시간만더기달려
2020. 4. 30. 11:23, 정우 : 왜
2020. 4. 30. 11:23, 부그뷰 : 오재
2020. 4. 30. 11:23, 부그뷰 : 사진
2020. 4. 30. 11:24, 부그뷰 : 볼 먹앙
2020. 4. 30. 11:25, 정우 : 볼먹엉
2020. 4. 30. 11:26, (알 수 없음) : 사조
2020. 4. 30. 11:26, (알 수 없음) : 먹을게
2020. 4. 30. 11:27, 정우 : 세광이형
2020. 4. 30. 11:27, 정우 : 전화함
2020. 4. 30. 11:28, 정우 : 이사님ㅇ랑
2020. 4. 30. 11:28, 정우 : 소리지르고싶다
2020. 4. 30. 11:28, (알 수 없음) : ㅁㅊ빨간날에
2020. 4. 30. 11:28, 정우 : 아ㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏㅏ
2020. 4. 30. 11:28, (알 수 없음) : 삽극혐충이네
2020. 4. 30. 11:28, 정우 : 이형
2020. 4. 30. 11:28, 정우 : 눈뜨자마자
2020. 4. 30. 11:28, 정우 : 계속일하는중임
2020. 4. 30. 11:28, (알 수 없음) : ㅠ
2020. 4. 30. 11:28, 정우 : 삽극혐
2020. 4. 30. 11:30, (알 수 없음) : 떡복
2020. 4. 30. 11:30, (알 수 없음) : 다먹고
2020. 4. 30. 11:30, (알 수 없음) : 외주뛰기시작함
2020. 4. 30. 11:30, (알 수 없음) : ㄱㄴ?
2020. 4. 30. 11:31, 정우 : ㄱㄴ
2020. 4. 30. 11:31, 정우 : 좀쉬다
2020. 4. 30. 11:31, 정우 : 하셈
2020. 4. 30. 11:31, (알 수 없음) : ㅇㅋㅇㅋ
2020. 4. 30. 11:31, 정우 : 국
2020. 4. 30. 11:31, 정우 : 굿
2020. 4. 30. 11:32, 부그뷰 : https://youtu.be/90lREWfo8Yk
2020. 4. 30. 11:33, 부그뷰 : 찌환이형 찌리보이 신곡
2020. 4. 30. 11:33, 정우 : 찌리보이
2020. 4. 30. 11:33, (알 수 없음) : 찌린거
2020. 4. 30. 11:33, (알 수 없음) : 빨음?
2020. 4. 30. 11:35, 정우 : 그런듯
2020. 4. 30. 11:35, 정우 : 찌리보이
2020. 4. 30. 11:35, 정우 : 발라드하는데?
2020. 4. 30. 11:35, 정우 : ;;;;;
2020. 4. 30. 11:35, 재환오빠 : 이미들어봣지
2020. 4. 30. 11:35, 부그뷰 : 별루임
2020. 4. 30. 11:36, 재환오빠 : ㅇㅇ걍그럼
2020. 4. 30. 11:36, 부그뷰 : 형 다음공연언제야
2020. 4. 30. 11:36, (알 수 없음) : ;;
2020. 4. 30. 11:36, 재환오빠 : 몰라;
2020. 4. 30. 11:36, 재환오빠 : 코로나쉑
2020. 4. 30. 11:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 30. 11:37, 정우 : ㅠ
2020. 4. 30. 11:37, 부그뷰 : 니하오~
2020. 4. 30. 11:37, 부그뷰 : 한국분이세요?
2020. 4. 30. 11:37, 정우 : 니하오~
2020. 4. 30. 11:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 30. 11:37, 부그뷰 : 저딜로이트한국에 박세광이라합니다
2020. 4. 30. 11:38, 정우 : 혹쉬
2020. 4. 30. 11:38, 부그뷰 : 혹시 엠디에이파일보내셨나요?
2020. 4. 30. 11:38, 부그뷰 : 위챗추가
2020. 4. 30. 11:38, 부그뷰 : 구독
2020. 4. 30. 11:38, 부그뷰 : 좋아요
2020. 4. 30. 11:38, 정우 : 회사명함
2020. 4. 30. 11:38, 부그뷰 : 알람까지
2020. 4. 30. 11:43, 정우 : 세광이형
2020. 4. 30. 11:43, 정우 : 통화짱많ㅇ해
2020. 4. 30. 11:43, 정우 : 떠들지도못하넵
2020. 4. 30. 11:43, 정우 : 쩝
2020. 4. 30. 11:43, 부그뷰 : 눈치보여
2020. 4. 30. 11:43, 정우 : ㅠ
2020. 4. 30. 11:43, 정우 : 세탁기만
2020. 4. 30. 11:43, 정우 : 열심히돌아감
2020. 4. 30. 11:43, 빠충 : 닥쳐요 신림의숲
2020. 4. 30. 11:43, 정우 : ㅠ
2020. 4. 30. 11:43, 정우 : 리얼 닥치고있는중
2020. 4. 30. 11:43, 부그뷰 : 나비보벳따우
2020. 4. 30. 11:43, 빠충 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2020. 4. 30. 11:43, 부그뷰 : 뽀뽀벳삐
2020. 4. 30. 11:43, 정우 : 끝났다
2020. 4. 30. 11:43, 정우 : 끼야
2020. 4. 30. 11:43, 부그뷰 : 빠충에뽀
2020. 4. 30. 11:43, 정우 : 소리질러
