Talk_2021.8.24 13:11-81.txt
저장한 날짜 : 2021. 8. 24. 13:13



2021년 3월 21일 일요일
2021. 3. 21. 19:27, abyss오재 : 미텻음어제꺼보고잇음?
2021. 3. 30. 14:04, abyss오재 : 너네심심하면
2021. 3. 30. 14:04, abyss오재 : 일기쓰듯이보내셈
2021. 3. 30. 14:04, 정우 : 인편이나
2021. 3. 30. 14:04, 정우 : 알아봐줌
2021. 3. 30. 14:04, abyss오재 : 나도그냥읽고답장안하게
2021. 3. 30. 14:04, abyss오재 : ㅇㅇ
2021. 3. 30. 14:04, 정우 : 제목
2021. 3. 30. 14:04, abyss오재 : 너네어케사나보고해
2021. 3. 30. 14:04, 정우 : 위대한 수령동지의 혁명과업 완수를 위해
2021. 3. 30. 14:04, 정우 : 노력하는
2021. 3. 30. 14:04, 정우 : 이남 땅의 오재훈 동무에게
2021. 3. 30. 14:04, 정우 : 이런거어떰
2021. 3. 30. 14:04, abyss오재 : ;;
2021. 3. 30. 14:05, abyss오재 : 극혐이지물어뭥함
2021. 3. 30. 14:05, 정우 : 해보고싶다
2021. 3. 30. 14:05, abyss오재 : 제가간첩을안다고
2021. 3. 30. 14:05, abyss오재 : 잡아오겟다고함
2021. 3. 30. 14:05, abyss오재 : 검열돼서
2021. 3. 30. 14:05, abyss오재 : 니한테바로연락갈듯
2021. 3. 30. 14:05, abyss오재 : ㅎ
2021. 3. 30. 14:05, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:05, abyss오재 : 랼루
2021. 3. 30. 14:06, 양우성 : 인편으로 논문보내는거
2021. 3. 30. 14:06, 양우성 : 갯웃기누
2021. 3. 30. 14:06, 경민 : zㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:06, 경민 : 인편으로
2021. 3. 30. 14:06, 경민 : 메이플간담회
2021. 3. 30. 14:06, 경민 : 보내기가능;
2021. 3. 30. 14:06, 양우성 : ㄱㄴㄱㄴ
2021. 3. 30. 14:07, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ
2021. 3. 30. 14:07, 경민 : 간담회도 곧이노
2021. 3. 30. 14:15, abyss오재 : 지갑을
2021. 3. 30. 14:15, abyss오재 : 걍안들고 카드만 들고가면되나
2021. 3. 30. 14:15, abyss오재 : (?)
2021. 3. 30. 14:15, 부그뷰 : 오재 아무것도 안챙겨가도 됌
2021. 3. 30. 14:15, abyss오재 : 그럴거같아
2021. 3. 30. 14:15, 경민 : qn
2021. 3. 30. 14:15, 경민 : 부오랜만
2021. 3. 30. 14:15, 경민 : ㅅㅁㅅ?
2021. 3. 30. 14:15, abyss오재 : ㅎㅇ
2021. 3. 30. 14:15, 부그뷰 : 지갑만 챙겨
2021. 3. 30. 14:16, abyss오재 : 아 지갑만챙기면돼
2021. 3. 30. 14:16, 부그뷰 : ㄴㄴ 담타
2021. 3. 30. 14:16, 부그뷰 : 다줌거기서
2021. 3. 30. 14:16, abyss오재 : 그러니까
2021. 3. 30. 14:16, 정우 : 그래도
2021. 3. 30. 14:16, 정우 : 좋은거있음 챙겨가
2021. 3. 30. 14:16, 정우 : 담배그만펴
2021. 3. 30. 14:16, 부그뷰 : ㅅㄹ
2021. 3. 30. 14:16, 정우 : ㅠ
2021. 3. 30. 14:16, abyss오재 : 면도크림
2021. 3. 30. 14:16, abyss오재 : 일회용짜리
2021. 3. 30. 14:16, abyss오재 : 있는데
2021. 3. 30. 14:16, abyss오재 : 들고가서써도됨?
2021. 3. 30. 14:16, 부그뷰 : 비누 써 걍
2021. 3. 30. 14:16, abyss오재 : 아파
2021. 3. 30. 14:16, 정우 : 뭐 니네 말하는거보니까
2021. 3. 30. 14:16, abyss오재 : ㅇㅇ;
2021. 3. 30. 14:16, 정우 : 다써도될거같은데
2021. 3. 30. 14:16, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:16, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅅㅂ
2021. 3. 30. 14:16, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:17, 정우 : 그리고
2021. 3. 30. 14:17, 정우 : 가서 비누써보면
2021. 3. 30. 14:17, 정우 : 아
2021. 3. 30. 14:17, 정우 : 폼클렌징이 확실히좋구나
2021. 3. 30. 14:17, 정우 : 존나느낌
2021. 3. 30. 14:17, abyss오재 : 근데 올인원이
2021. 3. 30. 14:17, abyss오재 : 샴푸/폼클/바디
2021. 3. 30. 14:17, abyss오재 : 이게 올인원인가
2021. 3. 30. 14:17, 정우 : 그렇지않나
2021. 3. 30. 14:17, abyss오재 : 아까재환이형
2021. 3. 30. 14:17, abyss오재 : 말해준거
2021. 3. 30. 14:17, abyss오재 : 맞지
2021. 3. 30. 14:17, abyss오재 : 개ㅈ꿀;
2021. 3. 30. 14:17, abyss오재 : ㅇㅋ,,
2021. 3. 30. 14:17, 부그뷰 : 라떼는 로션만챙겨갔는데
2021. 3. 30. 14:18, 부그뷰 : 쓸데없는거챙기면 혼나고 뺏겼음
2021. 3. 30. 14:18, 부그뷰 : 로션이랑 선크림
2021. 3. 30. 14:18, abyss오재 : 션크림바르기귀찮아
2021. 3. 30. 14:18, abyss오재 : 휴
2021. 3. 30. 14:18, 정우 : 발라라
2021. 3. 30. 14:18, 정우 : 선크림
2021. 3. 30. 14:18, 정우 : 임마
2021. 3. 30. 14:18, 부그뷰 : 선크림도 귀찮아서 안바르게됌
2021. 3. 30. 14:18, 정우 : 됨
2021. 3. 30. 14:18, 부그뷰 : 됨임?
2021. 3. 30. 14:18, 정우 : ㅇㅇ
2021. 3. 30. 14:18, abyss오재 : ㅇㅇ
2021. 3. 30. 14:18, 부그뷰 : ㅅㅂ
2021. 3. 30. 14:18, 부그뷰 : 멀라알아서알아들어
2021. 3. 30. 14:18, 정우 : ㅇㅋ
2021. 3. 30. 14:18, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:19, 부그뷰 : 프로젝트 존나 재촉해대서
2021. 3. 30. 14:19, 부그뷰 : 짜증나서 올라옴
2021. 3. 30. 14:19, 부그뷰 : ㅅㅂ 자료없어서 내가 패킷 하나하나 다따고있는데
2021. 3. 30. 14:19, 부그뷰 : 프로토콜도 틀리거나 없는거잉ㅆ음
2021. 3. 30. 14:20, abyss오재 : 죽여버려라
2021. 3. 30. 14:20, abyss오재 : 그냥
2021. 3. 30. 14:20, 양우성 : ㅈㄴ 박취누
2021. 3. 30. 14:21, abyss오재 : - 마스크: 필요없음 21일치 모두 일회용으로 챙겨주고, 면마스크도 줌, 참고로 위장면마스크라 위장크림 필요 X
[출처] [전문연구요원 훈련소 후기(3주)] - 입소 + 1주차|작성자 KQNG
2021. 3. 30. 14:21, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:21, abyss오재 : 위장도안하나봄
2021. 3. 30. 14:21, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:21, abyss오재 : 아;
2021. 3. 30. 14:21, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:21, 정우 : 아니
2021. 3. 30. 14:21, 정우 : 면마스크가
2021. 3. 30. 14:21, abyss오재 : 진짜보다뵌까
2021. 3. 30. 14:21, 정우 : 위장색임
2021. 3. 30. 14:21, abyss오재 : 웃겨죽겟다
2021. 3. 30. 14:21, abyss오재 : 아 그래
2021. 3. 30. 14:21, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:21, 정우 : 그러네 마스크끼면
2021. 3. 30. 14:21, 정우 : 위장도 안해도 되겠네
2021. 3. 30. 14:21, 정우 : 쌉꿀이다 진짜
2021. 3. 30. 14:21, abyss오재 : - 읽을 책: 나는 영단어 책을 챙겨갔는데 처음만 좀 하고 안하게 된다. 추리소설, 스도쿠, 네모네모로직이 좋아보임
[출처] [전문연구요원 훈련소 후기(3주)] - 입소 + 1주차|작성자 KQNG
2021. 3. 30. 14:21, 정우 : 야
2021. 3. 30. 14:21, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:21, 정우 : 스도쿠
2021. 3. 30. 14:21, 정우 : 네모로직
2021. 3. 30. 14:21, 정우 : 개꿀
2021. 3. 30. 14:21, 정우 : 진짜
2021. 3. 30. 14:21, abyss오재 : 아 존나챙기라네 진짜
2021. 3. 30. 14:21, 정우 : 시간존나녹여줌
2021. 3. 30. 14:21, abyss오재 : 오늘 서점가서
2021. 3. 30. 14:22, abyss오재 : 하나사봄;ㅠ;
2021. 3. 30. 14:22, 정우 : 또 쉬운거하면
2021. 3. 30. 14:22, 부그뷰 : 가서
2021. 3. 30. 14:22, 정우 : 별로 재미없으니까
2021. 3. 30. 14:22, 정우 : 어려운거사가셈
2021. 3. 30. 14:22, 부그뷰 : 분대장해줘
2021. 3. 30. 14:22, 정우 : 하지마
2021. 3. 30. 14:22, 정우 : 눈에띄는짓
2021. 3. 30. 14:22, 정우 : X
2021. 3. 30. 14:22, 부그뷰 : ㅋㅋㅋㅋㅋㄱㄱㅋㅋㅋㅋㅋㄱㅋㄱ
2021. 3. 30. 14:22, 부그뷰 : 아 왜
2021. 3. 30. 14:22, 부그뷰 : 해조
2021. 3. 30. 14:22, abyss오재 : ㄴ
2021. 3. 30. 14:22, 정우 : 진짜
2021. 3. 30. 14:22, 정우 : 하면
2021. 3. 30. 14:22, abyss오재 : 그런거 다 안함
2021. 3. 30. 14:22, 정우 : 니안그래도
2021. 3. 30. 14:22, 부그뷰 : 볼대장 앞으로 집합
2021. 3. 30. 14:22, 정우 : 성격더러운더
2021. 3. 30. 14:22, 정우 : 더버림
2021. 3. 30. 14:22, abyss오재 : 김경민이 준책 1장도 안 읽고 올듯?
2021. 3. 30. 14:22, abyss오재 : 들고갈지 내일 짐쌀때
2021. 3. 30. 14:22, abyss오재 : 존나고민할거같은데?
2021. 3. 30. 14:22, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:22, abyss오재 : ㅅㅂ;
2021. 3. 30. 14:23, 부그뷰 : 오와열 존나 외쳐주고
2021. 3. 30. 14:23, 부그뷰 : 인솔하고
2021. 3. 30. 14:23, abyss오재 : 극혐안함
2021. 3. 30. 14:23, 부그뷰 : 군가 전우 외워오셈
2021. 3. 30. 14:23, 부그뷰 : 테스트할거다
2021. 3. 30. 14:24, abyss오재 : - 1차 코로나 검사 결과가 나오기 전까지는 양치, 샤워, 손 씻기 불가능, 화장실도 분대별로 허락받고 이용

  양치는 자일리톨 껌으로 대체, 손씼기는 오직 손 소독제만 사용

- 감기를 방지하고자함인지 바닥이 너무 뜨거워서 더웠음

- 전문연구요원들 대부분 분대장보다 나이가 7~8살 이상 많은편이라그런지, 훈련소가 원래 그런건지 모르겠지만

   말을 정말 착학게 전달해줌. 기본적으로 존댓말을 사용해준다.
[출처] [전문연구요원 훈련소 후기(3주)] - 입소 + 1주차|작성자 KQNG
2021. 3. 30. 14:24, abyss오재 : ㅅㅂ
2021. 3. 30. 14:24, abyss오재 : 양치도못하네
2021. 3. 30. 14:24, 정우 : ㅁㅊ
2021. 3. 30. 14:24, 정우 : 어우
2021. 3. 30. 14:24, 정우 : 극혐
2021. 3. 30. 14:24, abyss오재 : 아이사람
2021. 3. 30. 14:24, abyss오재 : 글존나웃기네
2021. 3. 30. 14:24, abyss오재 : [1일차-2/19(금)]

​

●일정(식사는 5점 만점)

- 오전 6시: 기상

 > 나팔 안울리고 마이크로 기상하라고 방송함. 일어나면 침구류 정리 시작

​

- 오전 8시: 아침  [전투식량(쇠고기 고추장 비빔밥) / 0.1점]

 > 연속으로 먹으니 토할것 같았다
[출처] [전문연구요원 훈련소 후기(3주)] - 입소 + 1주차|작성자 KQNG
2021. 3. 30. 14:24, abyss오재 : 2일차만에 오전 0.1점
2021. 3. 30. 14:24, abyss오재 : ㅅㅂ
2021. 3. 30. 14:24, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ시발 왜 저기가서
2021. 3. 30. 14:24, abyss오재 : 맛집처럼
2021. 3. 30. 14:24, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:24, abyss오재 : 평점매기고있냐고
2021. 3. 30. 14:24, abyss오재 : ㅅㅂ
2021. 3. 30. 14:24, 정우 : 아니
2021. 3. 30. 14:25, abyss오재 : 존나웃기다 지짜
2021. 3. 30. 14:25, abyss오재 : ㅠ
2021. 3. 30. 14:25, 정우 : 쩐식?
2021. 3. 30. 14:25, 정우 : 니 뒤졌다
2021. 3. 30. 14:25, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:25, abyss오재 : http://blog.naver.com/PostView.nhn?blogId=h0609zxc&logNo=222275497626&parentCategoryNo=&categoryNo=29&viewDate=&isShowPopularPosts=true&from=search
2021. 3. 30. 14:25, 부그뷰 : 닌 맨밥먹어라
2021. 3. 30. 14:25, 정우 : 야진짜
2021. 3. 30. 14:25, 정우 : 훈련병한테 쩐식을멕이네
2021. 3. 30. 14:25, 부그뷰 : 맛다시없는 맨밥
2021. 3. 30. 14:25, 부그뷰 : ㄱ
2021. 3. 30. 14:25, abyss오재 : 쩝;
2021. 3. 30. 14:26, abyss오재 : - 오전 8시: 전투식량(쇠고기 고추장 비빔밥), 참치, 초코우유 / 0.2점

 > 참치가 있으면 훨씬 좋긴 하지만 먹기 싫다…
[출처] [전문연구요원 훈련소 후기(3주)] - 입소 + 1주차|작성자 KQNG
2021. 3. 30. 14:26, abyss오재 : 계속 오전마다 맥이나봐
2021. 3. 30. 14:26, abyss오재 : ●일정(식사는 5점 만점)

- 오전 7시: 기상

- 오전 8시: 아침 [밥, 달래장, 김치, 카레, 북어국 / 2.5점

 > 카레맛 똥 vs 똥 맛 카레 대결이 생각났다.
[출처] [전문연구요원 훈련소 후기(3주)] - 입소 + 1주차|작성자 KQNG
2021. 3. 30. 14:26, abyss오재 : 아씨바 말하는거
2021. 3. 30. 14:26, abyss오재 : ㅅㅂ
2021. 3. 30. 14:26, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아존나웃기네
2021. 3. 30. 14:26, abyss오재 : ㅠ
2021. 3. 30. 14:26, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:27, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:27, abyss오재 : - 아직 식당에 안가서 분대장들이 직접 밥을 퍼주는데 너무 많이 퍼준다. 절반만 달라고 꼭 말하는게 좋다.
[출처] [전문연구요원 훈련소 후기(3주)] - 입소 + 1주차|작성자 KQNG
2021. 3. 30. 14:27, abyss오재 : 어우
2021. 3. 30. 14:28, abyss오재 : 저거어케말해;
2021. 3. 30. 14:28, 정우 : 반만 주십쇼!
2021. 3. 30. 14:28, 정우 : ※특이 사항

- 나가서 몸쓰는 훈련을 안하는데 부식을 계속 준다. 살 뺄 수 있는 환경은 아닌 것 같다.
[출처] [전문연구요원 훈련소 후기(3주)] - 입소 + 1주차|작성자 KQNG
2021. 3. 30. 14:28, 정우 : ㅃㅇ
2021. 3. 30. 14:28, 경민 : 다나까아님
2021. 3. 30. 14:28, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:28, abyss오재 : 아씨
2021. 3. 30. 14:28, abyss오재 : 절반만주십쇼
2021. 3. 30. 14:28, abyss오재 : 제가 소화가 안돼서
2021. 3. 30. 14:28, abyss오재 : 소화제 사가야겠다나는 ㅠ
2021. 3. 30. 14:28, 부그뷰 : 쇼는 댐
2021. 3. 30. 14:28, abyss오재 : 절반만부탁드립니다~
2021. 3. 30. 14:29, abyss오재 : 소화제필요합니더
2021. 3. 30. 14:29, 정우 : ㅇㅇ쇼는ㄱㄴ
2021. 3. 30. 14:29, 정우 : 근데
2021. 3. 30. 14:29, 정우 : 저건좀 친해져야
2021. 3. 30. 14:29, 정우 : 가능이고
2021. 3. 30. 14:29, 부그뷰 : 절반만 주실수있겠습니까? 가 정석
2021. 3. 30. 14:29, 정우 : 절반만 주실수 있겠습니까
2021. 3. 30. 14:29, 정우 : 그래
2021. 3. 30. 14:29, 부그뷰 : ㅇㅇ
2021. 3. 30. 14:29, 경민 : 쇼는되는군
2021. 3. 30. 14:29, 부그뷰 : 잘아네
2021. 3. 30. 14:29, abyss오재 : 아하
2021. 3. 30. 14:29, 경민 : 다나까나쇼
2021. 3. 30. 14:29, 부그뷰 : 쇼!
2021. 3. 30. 14:29, abyss오재 : 절반만 주실수 있겠습니까
2021. 3. 30. 14:29, 부그뷰 : 끝은없는거야~
2021. 3. 30. 14:29, 정우 : 뭐하심까
2021. 3. 30. 14:29, abyss오재 : 아ㅏ나까나쇼
2021. 3. 30. 14:29, 정우 : 빨리오십쇼
2021. 3. 30. 14:29, abyss오재 : 아나까나
2021. 3. 30. 14:29, abyss오재 : 까나리
2021. 3. 30. 14:29, abyss오재 : 까나리마셍
2021. 3. 30. 14:29, 경민 : 깐나리꼬뀅
2021. 3. 30. 14:29, 경민 : 까나리액젓
2021. 3. 30. 14:29, 정우 : 이거해봐
2021. 3. 30. 14:29, 경민 : 냄새
2021. 3. 30. 14:29, 정우 : 반응궁금하다
2021. 3. 30. 14:29, 경민 : 맡아봣냐
2021. 3. 30. 14:29, abyss오재 : - 오전 9시: 2차 코로나 검사

 > !!!!!!!!!!!!!!!너 무 아 프 게 했 다. 왼쪽 콧구멍에 면봉이 들어갔다 나왔는데 왼쪽 눈까지 찔린 기분
[출처] [전문연구요원 훈련소 후기(3주)] - 입소 + 1주차|작성자 KQNG
2021. 3. 30. 14:30, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:30, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:30, 정우 : 저사람근데
2021. 3. 30. 14:30, 경민 : ㅅㅂ
2021. 3. 30. 14:30, 정우 : 기억이
2021. 3. 30. 14:30, 정우 : 굉장히 상세하네
2021. 3. 30. 14:30, 정우 : 일기써서나왔나
2021. 3. 30. 14:30, abyss오재 : 아진짜존나웃기다
2021. 3. 30. 14:30, abyss오재 : 씨발 ㅠ
2021. 3. 30. 14:30, 경민 : 일기쓰나봄
2021. 3. 30. 14:30, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ나도일기나쓰다올까
2021. 3. 30. 14:30, 정우 : ㅇㅇ
2021. 3. 30. 14:30, 정우 : 제발
2021. 3. 30. 14:30, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:30, 정우 : 그리고 풀어줘
2021. 3. 30. 14:30, 정우 : 인스타에
2021. 3. 30. 14:30, 경민 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:30, 정우 : 하루에하나씩
2021. 3. 30. 14:30, 경민 : 좋ㄴ다
2021. 3. 30. 14:30, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅅㅂ
2021. 3. 30. 14:30, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:30, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아
2021. 3. 30. 14:30, 정우 : 21
2021. 3. 30. 14:30, 정우 : 21일연재
2021. 3. 30. 14:30, abyss오재 : 생각만해도웃겨 시발;ㅠ
2021. 3. 30. 14:30, 경민 : #한달전_훈
2021. 3. 30. 14:30, 정우 : ㄱ
2021. 3. 30. 14:30, 정우 : 3주동안
2021. 3. 30. 14:30, 부그뷰 : 근데 훈련장에
2021. 3. 30. 14:30, 정우 : #21일전_훈
2021. 3. 30. 14:30, 경민 : #1일차_훈
2021. 3. 30. 14:30, 부그뷰 : 폰 가져감?
2021. 3. 30. 14:30, abyss오재 : 반납함
2021. 3. 30. 14:30, 부그뷰 : 훈련소에
2021. 3. 30. 14:30, 부그뷰 : ㅇㅎ
2021. 3. 30. 14:31, 부그뷰 : 일과끝나면 쓰게해줌?
2021. 3. 30. 14:31, abyss오재 : ㄴㄴㄴ
2021. 3. 30. 14:31, 부그뷰 : ㅇㅎ
2021. 3. 30. 14:31, abyss오재 : 첫주차는 코로나 2차검사까지 하는걸로 마무리된다. 특별한 훈련이 없어서 시간이 정말 안간다.

어렵지만 분대원들과 빨리 친해지는게 이 시간을 잘 보내는 방법인 것 같다.

우리 분대는 다들 너무 착하고, 개그맨이 아닐까 의심스러울 정도로 재밌는 사람이 있어서 

이 시간을 잘 버텼던 것 같다.

​
[출처] [전문연구요원 훈련소 후기(3주)] - 입소 + 1주차|작성자 KQNG
2021. 3. 30. 14:31, abyss오재 : 아 시바 아니 이사람 존나웃겨
2021. 3. 30. 14:31, abyss오재 : 미친놈같네
2021. 3. 30. 14:31, abyss오재 : 지가 개그맨같은데
2021. 3. 30. 14:31, 정우 : 근데진짜
2021. 3. 30. 14:31, 정우 : 좀친해지면
2021. 3. 30. 14:31, 정우 : 그래도 시간잘가는데
2021. 3. 30. 14:31, 정우 : 처음에 시간존나안감
2021. 3. 30. 14:31, 정우 : 조오오오오오오오오온나안감
2021. 3. 30. 14:32, abyss오재 : - 오전 10시 30분: 사진촬영

 > 아미고라는 어플에 올릴 우리들의 사진을 찍는다. 베레모 각을 엄청 열심히 잡도록 소대장님도 나서서 도와줌

    그러나 반전으로 사진을 매우 대충 찍는다... 충성 손올리려는데 찍는 느낌으로 매우 스피드하게 진행된다.
[출처] [전문연구요원 훈련소 후기(3주)] - 2주차|작성자 KQNG
2021. 3. 30. 14:32, abyss오재 : 아씨발
2021. 3. 30. 14:32, abyss오재 : 진ㅉ
2021. 3. 30. 14:32, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:32, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:32, abyss오재 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아니 이사람뭔데
2021. 3. 30. 14:32, abyss오재 : 누군지알고싶다
2021. 3. 30. 14:32, abyss오재 : 존나웃기네
2021. 3. 30. 14:32, abyss오재 : 말하는거
2021. 3. 30. 14:32, 정우 : 아
2021. 3. 30. 14:32, 정우 : 추억이 새록새록하네
2021. 3. 30. 14:32, abyss오재 : ㅁㅊ 아점저설거지 6시간이래미친..
2021. 3. 30. 14:33, abyss오재 : - 오후 12시: 점심 [전투식량 / 1.5점] -> 난 애가 싫다...
[출처] [전문연구요원 훈련소 후기(3주)] - 2주차|작성자 KQNG
2021. 3. 30. 14:33, abyss오재 : ㅅㅂ
2021. 3. 30. 14:35, 정우 : 아니
2021. 3. 30. 14:35, 정우 : 쩐식..........
2021. 3. 30. 14:35, 정우 : 요즘에 또바꼈나 모르겠네
2021. 3. 30. 14:35, 정우 : 저거진짜
2021. 3. 30. 14:35, abyss오재 : 아 너무웃겨 진짜 씨바;
2021. 3. 30. 14:35, 정우 : 냄새가
2021. 3. 30. 14:35, 정우 : 허우
2021. 3. 30. 14:35, abyss오재 : 아
2021. 3. 30. 14:35, abyss오재 : 다이어리같은거 챙겨ㅇ가야겠따
2021. 3. 30. 14:35, abyss오재 : 하루하루를기억하기위해
2021. 3. 30. 14:35, 정우 : 제발
2021. 3. 30. 14:35, 정우 : 일기써줘
2021. 3. 30. 14:35, abyss오재 : 아 챙겨갈거왜케많아 ㅅㅂ
2021. 3. 30. 14:36, abyss오재 : 아 시바 식사 한끼도 안빼고
2021. 3. 30. 14:36, abyss오재 : 점수매긴게 진짜 레전드다 존나웃겨
2021. 3. 30. 14:37, 정우 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
2021. 3. 30. 14:37, 정우 : ㄹㅇ
2021. 3. 30. 14:37, 정우 : 무슨
2021. 3. 30. 14:37, 정우 : 맛집탐방간줄
2021. 3. 30. 14:37, abyss오재 : 부식
2021. 3. 30. 14:38, abyss오재 : 왜케잘챙겨줌?
2021. 3. 30. 14:38, abyss오재 : 안먹어도되는거지?;
2021. 3. 30. 14:38, 정우 : ㄴㄴ
2021. 3. 30. 14:38, 정우 : 안됨
2021. 3. 30. 14:38, abyss오재 : 엥..?
2021. 3. 30. 14:38, 정우 : 옆사람주셈
2021. 3. 30. 14:38, abyss오재 : 아 ㅇㅋㅇㅋ;
2021. 3. 30. 14:38, 정우 : 군대는
